data,cases,cured,deaths,internadosDomiciliar,internadosEnfermaria,internadosUTI,percentual_cured,percentual_deaths,percentual_internados,percentual_internadosDomiciliar,percentual_internadosEnfermaria,percentual_internadosUTI,refuses,suspects,total_internados_DB
15/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
16/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
17/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
18/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
19/03/2020,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
20/03/2020,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
21/03/2020,11,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
22/03/2020,26,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
23/03/2020,32,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
24/03/2020,47,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
25/03/2020,54,0,1,0,0,0,0,1.8518518518518512,0,0,0,0,0,0,0
26/03/2020,67,0,1,0,0,0,0,1.492537313432835,0,0,0,0,0,0,0
27/03/2020,81,0,1,0,0,0,0,1.234567901234567,0,0,0,0,0,0,0
28/03/2020,111,0,1,0,0,0,0,0.9009009009009,0,0,0,0,0,0,0
29/03/2020,140,0,1,0,0,0,0,0.7142857142857141,0,0,0,0,0,0,0
30/03/2020,151,0,1,0,0,0,0,0.662251655629139,0,0,0,0,0,0,0
31/03/2020,175,0,3,0,0,0,0,1.714285714285714,0,0,0,0,0,0,0
01/04/2020,200,0,3,0,0,0,0,1.5,0,0,0,0,0,0,0
02/04/2020,229,0,3,0,0,0,0,1.31004366812227,0,0,0,0,0,0,0
03/04/2020,260,0,7,0,0,0,0,2.692307692307692,0,0,0,0,0,0,0
04/04/2020,311,0,12,0,0,0,0,3.858520900321544,0,0,0,0,0,0,0
05/04/2020,417,0,14,0,0,0,0,3.357314148681055,0,0,0,0,0,0,0
06/04/2020,532,0,19,0,0,0,0,3.571428571428571,0,0,0,0,0,0,0
07/04/2020,636,0,23,0,0,0,0,3.616352201257861,0,0,0,0,0,0,0
08/04/2020,804,0,30,0,0,0,0,3.731343283582089,0,0,0,0,0,0,0
09/04/2020,899,0,40,0,0,0,0,4.449388209121245,0,0,0,0,0,0,0
10/04/2020,981,0,50,0,0,0,0,5.09683995922528,0,0,0,0,0,0,0
11/04/2020,1050,0,53,0,0,0,0,5.0476190476190474,0,0,0,0,0,0,0
12/04/2020,1206,0,62,0,0,0,0,5.140961857379768,0,0,0,0,0,0,0
13/04/2020,1275,0,71,0,0,0,0,0.0,0,0,0,0,0,0,0
14/04/2020,1484,0,90,0,0,0,0,0.0,0,0,0,0,0,0,0
15/04/2020,1554,0,106,0,0,0,0,0.0,0,0,0,0,0,0,0
16/04/2020,1719,0,124,0,0,0,0,0.0,0,0,0,0,0,0,0
17/04/2020,1809,0,145,0,0,0,0,0.0,0,0,0,0,0,0,0
18/04/2020,1897,0,161,0,0,0,0,0.0,0,0,0,0,0,0,0
19/04/2020,2044,0,182,0,0,0,0,0.0,0,0,0,0,0,0,0
20/04/2020,2160,0,185,0,0,0,0,0.0,0,0,0,0,0,0,0
21/04/2020,2270,0,193,0,0,0,0,0.0,0,0,0,0,0,0,0
22/04/2020,2479,0,207,0,0,0,0,0.0,0,0,0,0,0,0,0
23/04/2020,2888,0,234,0,0,0,0,0.0,0,0,0,0,0,0,0
24/04/2020,3194,0,255,0,0,0,0,0.0,0,0,0,0,0,0,0
25/04/2020,3635,0,287,0,0,0,0,0.0,0,0,0,0,0,0,0
26/04/2020,3833,0,304,0,0,0,0,0.0,0,0,0,0,0,0,0
27/04/2020,3928,0,320,0,0,0,0,0.0,0,0,0,0,0,0,0
28/04/2020,4337,0,351,0,0,0,0,0.0,0,0,0,0,0,0,0
29/04/2020,4801,0,380,0,0,0,0,0.0,0,0,0,0,0,0,0
30/04/2020,5254,0,425,0,0,0,0,0.0,0,0,0,0,0,0,0
01/05/2020,5723,0,476,0,0,0,0,0.0,0,0,0,0,0,0,0
02/05/2020,6062,0,501,0,0,0,0,0.0,0,0,0,0,0,0,0
03/05/2020,6683,0,548,0,0,0,0,0.0,0,0,0,0,0,0,0
04/05/2020,7313,0,585,0,0,0,0,0.0,0,0,0,0,0,0,0
05/05/2020,8109,0,649,0,0,0,0,0.0,0,0,0,0,0,0,0
06/05/2020,9243,0,751,0,0,0,0,0.0,0,0,0,0,0,0,0
07/05/2020,9243,0,751,0,0,0,0,0.0,0,0,0,0,0,0,0
