data,cases,cured,deaths,internadosDomiciliar,internadosEnfermaria,internadosUTI,percentual_cured,percentual_deaths,percentual_internados,percentual_internadosDomiciliar,percentual_internadosEnfermaria,percentual_internadosUTI,refuses,suspects,total_internados_DB
20/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
21/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
22/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
23/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
24/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
25/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
26/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
27/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
28/03/2020,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
29/03/2020,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
30/03/2020,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
31/03/2020,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
01/04/2020,11,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
02/04/2020,11,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
03/04/2020,19,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
04/04/2020,28,0,1,0,0,0,0,3.571428571428571,0,0,0,0,0,0,0
05/04/2020,29,0,2,0,0,0,0,6.896551724137931,0,0,0,0,0,0,0
06/04/2020,34,0,2,0,0,0,0,5.88235294117647,0,0,0,0,0,0,0
07/04/2020,48,0,2,0,0,0,0,4.166666666666666,0,0,0,0,0,0,0
08/04/2020,107,0,2,0,0,0,0,1.8691588785046722,0,0,0,0,0,0,0
09/04/2020,128,0,2,0,0,0,0,1.5625,0,0,0,0,0,0,0
10/04/2020,166,0,2,0,0,0,0,1.204819277108433,0,0,0,0,0,0,0
11/04/2020,193,0,3,0,0,0,0,1.55440414507772,0,0,0,0,0,0,0
12/04/2020,230,0,5,0,0,0,0,2.17391304347826,0,0,0,0,0,0,0
13/04/2020,242,0,5,0,0,0,0,0.0,0,0,0,0,0,0,0
14/04/2020,307,0,6,0,0,0,0,0.0,0,0,0,0,0,0,0
15/04/2020,334,0,7,0,0,0,0,0.0,0,0,0,0,0,0,0
16/04/2020,362,0,9,0,0,0,0,0.0,0,0,0,0,0,0,0
17/04/2020,370,0,10,0,0,0,0,0.0,0,0,0,0,0,0,0
18/04/2020,393,0,10,0,0,0,0,0.0,0,0,0,0,0,0,0
19/04/2020,416,0,11,0,0,0,0,0.0,0,0,0,0,0,0,0
20/04/2020,433,0,13,0,0,0,0,0.0,0,0,0,0,0,0,0
21/04/2020,457,0,13,0,0,0,0,0.0,0,0,0,0,0,0,0
22/04/2020,479,0,14,0,0,0,0,0.0,0,0,0,0,0,0,0
