data,cases,cured,deaths,internadosDomiciliar,internadosEnfermaria,internadosUTI,percentual_cured,percentual_deaths,percentual_internados,percentual_internadosDomiciliar,percentual_internadosEnfermaria,percentual_internadosUTI,refuses,suspects,total_internados_DB
06/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
07/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
08/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
09/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
10/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
11/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
12/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
13/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
14/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
15/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
16/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
17/03/2020,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
18/03/2020,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
19/03/2020,30,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
20/03/2020,33,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
21/03/2020,41,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
22/03/2020,49,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
23/03/2020,63,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
24/03/2020,76,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
25/03/2020,84,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
26/03/2020,104,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
27/03/2020,115,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
28/03/2020,127,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
29/03/2020,154,0,1,0,0,0,0,0.649350649350649,0,0,0,0,0,0,0
30/03/2020,176,0,1,0,0,0,0,0.568181818181818,0,0,0,0,0,0,0
31/03/2020,213,0,2,0,0,0,0,0.9389671361502341,0,0,0,0,0,0,0
01/04/2020,246,0,2,0,0,0,0,0.8130081300813,0,0,0,0,0,0,0
02/04/2020,267,0,3,0,0,0,0,1.123595505617977,0,0,0,0,0,0,0
03/04/2020,282,0,5,0,0,0,0,1.773049645390071,0,0,0,0,0,0,0
04/04/2020,332,0,7,0,0,0,0,2.108433734939759,0,0,0,0,0,0,0
05/04/2020,401,0,9,0,0,0,0,2.244389027431421,0,0,0,0,0,0,0
06/04/2020,431,0,10,0,0,0,0,2.320185614849188,0,0,0,0,0,0,0
07/04/2020,456,0,12,0,0,0,0,2.6315789473684212,0,0,0,0,0,0,0
08/04/2020,497,0,15,0,0,0,0,3.018108651911468,0,0,0,0,0,0,0
09/04/2020,559,0,19,0,0,0,0,3.398926654740608,0,0,0,0,0,0,0
10/04/2020,604,0,19,0,0,0,0,3.145695364238411,0,0,0,0,0,0,0
11/04/2020,635,0,21,0,0,0,0,3.307086614173228,0,0,0,0,0,0,0
12/04/2020,673,0,21,0,0,0,0,3.120356612184249,0,0,0,0,0,0,0
13/04/2020,723,0,22,0,0,0,0,0.0,0,0,0,0,0,0,0
14/04/2020,759,0,22,0,0,0,0,0.0,0,0,0,0,0,0,0
15/04/2020,807,0,27,0,0,0,0,0.0,0,0,0,0,0,0,0
16/04/2020,951,0,30,0,0,0,0,0.0,0,0,0,0,0,0,0
17/04/2020,1059,0,36,0,0,0,0,0.0,0,0,0,0,0,0,0
18/04/2020,1193,0,37,0,0,0,0,0.0,0,0,0,0,0,0,0
19/04/2020,1230,0,45,0,0,0,0,0.0,0,0,0,0,0,0,0
20/04/2020,1341,0,46,0,0,0,0,0.0,0,0,0,0,0,0,0
21/04/2020,1489,0,47,0,0,0,0,0.0,0,0,0,0,0,0,0
22/04/2020,1644,0,50,0,0,0,0,0.0,0,0,0,0,0,0,0
