data,cases,cured,deaths,internadosDomiciliar,internadosEnfermaria,internadosUTI,percentual_cured,percentual_deaths,percentual_internados,percentual_internadosDomiciliar,percentual_internadosEnfermaria,percentual_internadosUTI,refuses,suspects,total_internados_DB
14/03/2020,27,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,59,22,0
15/03/2020,33,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,59,22,0
16/03/2020,46,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,60,22,0
17/03/2020,77,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,95,211,0
18/03/2020,96,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,89,493,0
19/03/2020,143,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,118,766,0
20/03/2020,215,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,118,766,0
20/03/2020,215,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,118,766,0
21/03/2020,266,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,118,766,0
22/03/2020,328,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,118,766,0
23/03/2020,380,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
24/03/2020,449,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
25/03/2020,518,0,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
26/03/2020,606,0,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
27/03/2020,671,0,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
28/03/2020,709,0,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
29/03/2020,763,0,13,327,10,17,0,1.392757660167131,7.520891364902507,91.08635097493037,37.03703703703704,62.96296296296296,0,0,27
30/03/2020,799,0,16,341,14,19,0,1.308900523560209,8.638743455497382,89.26701570680629,42.42424242424242,57.57575757575758,0,0,33
31/03/2020,851,0,18,337,23,22,0,1.745635910224438,11.221945137157107,84.03990024937656,51.11111111111111,48.888888888888886,0,0,45
01/04/2020,918,0,20,362,30,21,0,3.76,11.46067415730337,81.34831460674158,58.82352941176471,41.17647058823529,0,0,51
02/04/2020,1040,0,27,362,30,21,0,4.28,11.46067415730337,81.34831460674158,58.82352941176471,41.17647058823529,0,0,51
03/04/2020,1134,0,34,0,0,0,0,4.44,0.0,0.0,0.0,0.0,0,0,0
04/04/2020,1216,0,41,0,0,0,0,4.05,0.0,0.0,0.0,0.0,0,0,0
05/04/2020,1341,0,46,0,0,0,0,3.35,0.0,0.0,0.0,0.0,0,0,0
06/04/2020,1405,0,55,0,0,0,0,3.43,0.0,0.0,0.0,0.0,0,0,0
07/04/2020,1504,0,61,0,0,0,0,3.367003367003366,0.0,0.0,0.0,0.0,0,0,0
08/04/2020,1552,0,67,0,0,0,0,3.851744186046511,0.0,0.0,0.0,0.0,0,0,0
09/04/2020,1616,0,72,0,0,0,0,3.944636678200692,0.0,0.0,0.0,0.0,0,0,0
10/04/2020,1666,0,80,0,0,0,0,4.300385109114249,0.0,0.0,0.0,0.0,0,0,0
11/04/2020,1719,0,84,0,0,0,0,4.436450839328537,0.0,0.0,0.0,0.0,0,0,0
12/04/2020,1746,0,85,0,0,0,0,4.41527446300716,0.0,0.0,0.0,0.0,0,0,0
13/04/2020,1935,0,101,0,0,0,0,5.219638242894057,0.0,0.0,0.0,0.0,0,0,0
14/04/2020,2075,0,111,0,0,0,0,5.349397590361446,0.0,0.0,0.0,0.0,0,0,0
15/04/2020,2291,0,124,0,0,0,0,5.412483631601921,0.0,0.0,0.0,0.0,0,0,0
16/04/2020,2412,0,135,0,0,0,0,5.597014925373134,0.0,0.0,0.0,0.0,0,0,0
17/04/2020,2747,0,155,0,0,0,0,5.642519111758282,0.0,0.0,0.0,0.0,0,0,0
18/04/2020,3062,0,180,0,0,0,0,5.878510777269758,0.0,0.0,0.0,0.0,0,0,0
19/04/2020,3306,0,189,0,0,0,0,5.716878402903811,0.0,0.0,0.0,0.0,0,0,0
20/04/2020,3484,0,206,0,0,0,0,5.912743972445465,0.0,0.0,0.0,0.0,0,0,0
21/04/2020,3682,0,221,0,0,0,0,6.002172732210755,0.0,0.0,0.0,0.0,0,0,0
22/04/2020,4116,0,239,0,0,0,0,5.806608357628766,0.0,0.0,0.0,0.0,0,0,0
