data,cases,cured,deaths,internadosDomiciliar,internadosEnfermaria,internadosUTI,percentual_cured,percentual_deaths,percentual_internados,percentual_internadosDomiciliar,percentual_internadosEnfermaria,percentual_internadosUTI,refuses,suspects,total_internados_DB
07/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
08/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
09/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
10/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
11/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
12/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
13/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
14/03/2020,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
15/03/2020,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
16/03/2020,13,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
17/03/2020,22,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
18/03/2020,26,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
19/03/2020,42,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
20/03/2020,87,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
21/03/2020,100,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
22/03/2020,117,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
23/03/2020,133,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
24/03/2020,160,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
25/03/2020,160,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
26/03/2020,200,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
27/03/2020,230,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
28/03/2020,260,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
29/03/2020,289,0,1,0,0,0,0,0.34602076124567405,0,0,0,0,0,0,0
30/03/2020,312,0,1,0,0,0,0,0.32051282051282004,0,0,0,0,0,0,0
31/03/2020,332,0,3,0,0,0,0,0.9036144578313251,0,0,0,0,0,0,0
01/04/2020,355,0,3,0,0,0,0,0.845070422535211,0,0,0,0,0,0,0
02/04/2020,370,0,4,0,0,0,0,1.081081081081081,0,0,0,0,0,0,0
03/04/2020,402,0,5,0,0,0,0,1.243781094527363,0,0,0,0,0,0,0
04/04/2020,454,0,7,0,0,0,0,1.5418502202643172,0,0,0,0,0,0,0
05/04/2020,468,0,7,0,0,0,0,1.495726495726495,0,0,0,0,0,0,0
06/04/2020,473,0,10,0,0,0,0,2.114164904862579,0,0,0,0,0,0,0
07/04/2020,492,0,12,0,0,0,0,2.439024390243902,0,0,0,0,0,0,0
08/04/2020,509,0,12,0,0,0,0,2.357563850687623,0,0,0,0,0,0,0
09/04/2020,527,0,13,0,0,0,0,2.466793168880455,0,0,0,0,0,0,0
10/04/2020,555,0,14,0,0,0,0,2.522522522522522,0,0,0,0,0,0,0
11/04/2020,579,0,14,0,0,0,0,2.417962003454231,0,0,0,0,0,0,0
12/04/2020,614,0,14,0,0,0,0,2.2801302931596092,0,0,0,0,0,0,0
13/04/2020,638,0,15,0,0,0,0,0.0,0,0,0,0,0,0,0
14/04/2020,651,0,17,0,0,0,0,0.0,0,0,0,0,0,0,0
15/04/2020,682,0,17,0,0,0,0,0.0,0,0,0,0,0,0,0
16/04/2020,716,0,20,0,0,0,0,0.0,0,0,0,0,0,0,0
17/04/2020,746,0,20,0,0,0,0,0.0,0,0,0,0,0,0,0
18/04/2020,762,0,24,0,0,0,0,0.0,0,0,0,0,0,0,0
19/04/2020,827,0,24,0,0,0,0,0.0,0,0,0,0,0,0,0
20/04/2020,872,0,24,0,0,0,0,0.0,0,0,0,0,0,0,0
21/04/2020,881,0,24,0,0,0,0,0.0,0,0,0,0,0,0,0
22/04/2020,946,0,25,0,0,0,0,0.0,0,0,0,0,0,0,0
23/04/2020,963,0,25,0,0,0,0,0.0,0,0,0,0,0,0,0
24/04/2020,989,0,26,0,0,0,0,0.0,0,0,0,0,0,0,0
25/04/2020,1013,0,26,0,0,0,0,0.0,0,0,0,0,0,0,0
26/04/2020,1066,0,27,0,0,0,0,0.0,0,0,0,0,0,0,0
27/04/2020,1146,0,27,0,0,0,0,0.0,0,0,0,0,0,0,0
28/04/2020,1213,0,28,0,0,0,0,0.0,0,0,0,0,0,0,0
29/04/2020,1275,0,28,0,0,0,0,0.0,0,0,0,0,0,0,0
30/04/2020,1356,0,30,0,0,0,0,0.0,0,0,0,0,0,0,0
01/05/2020,1466,0,30,0,0,0,0,0.0,0,0,0,0,0,0,0
02/05/2020,1566,0,31,0,0,0,0,0.0,0,0,0,0,0,0,0
03/05/2020,1649,0,33,0,0,0,0,0.0,0,0,0,0,0,0,0
04/05/2020,1768,0,33,0,0,0,0,0.0,0,0,0,0,0,0,0
05/05/2020,1818,0,33,0,0,0,0,0.0,0,0,0,0,0,0,0
06/05/2020,1906,0,34,0,0,0,0,0.0,0,0,0,0,0,0,0
07/05/2020,1906,0,34,0,0,0,0,0.0,0,0,0,0,0,0,0
