data,cases,cured,deaths,internadosDomiciliar,internadosEnfermaria,internadosUTI,percentual_cured,percentual_deaths,percentual_internados,percentual_internadosDomiciliar,percentual_internadosEnfermaria,percentual_internadosUTI,refuses,suspects,total_internados_DB
06/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
07/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
08/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
09/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
10/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
11/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
12/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
13/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
14/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
15/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
16/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
17/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
18/03/2020,9,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
19/03/2020,11,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
20/03/2020,13,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
21/03/2020,26,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
22/03/2020,26,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
23/03/2020,29,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
24/03/2020,33,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
25/03/2020,39,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
26/03/2020,39,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
27/03/2020,47,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
28/03/2020,53,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
29/03/2020,60,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
30/03/2020,72,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
31/03/2020,84,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
01/04/2020,96,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
02/04/2020,120,0,1,0,0,0,0,0.833333333333333,0,0,0,0,0,0,0
03/04/2020,139,0,4,0,0,0,0,2.877697841726619,0,0,0,0,0,0,0
04/04/2020,153,0,5,0,0,0,0,3.2679738562091503,0,0,0,0,0,0,0
05/04/2020,166,0,6,0,0,0,0,3.614457831325301,0,0,0,0,0,0,0
06/04/2020,194,0,6,0,0,0,0,3.092783505154639,0,0,0,0,0,0,0
07/04/2020,209,0,6,0,0,0,0,2.870813397129186,0,0,0,0,0,0,0
08/04/2020,227,0,6,0,0,0,0,2.643171806167401,0,0,0,0,0,0,0
09/04/2020,273,0,6,0,0,0,0,2.197802197802198,0,0,0,0,0,0,0
10/04/2020,300,0,7,0,0,0,0,2.333333333333333,0,0,0,0,0,0,0
11/04/2020,349,0,9,0,0,0,0,2.578796561604584,0,0,0,0,0,0,0
12/04/2020,383,0,9,0,0,0,0,2.349869451697127,0,0,0,0,0,0,0
13/04/2020,430,0,14,0,0,0,0,0.0,0,0,0,0,0,0,0
14/04/2020,463,0,17,0,0,0,0,0.0,0,0,0,0,0,0,0
15/04/2020,557,0,18,0,0,0,0,0.0,0,0,0,0,0,0,0
16/04/2020,754,0,22,0,0,0,0,0.0,0,0,0,0,0,0,0
17/04/2020,856,0,25,0,0,0,0,0.0,0,0,0,0,0,0,0
18/04/2020,952,0,28,0,0,0,0,0.0,0,0,0,0,0,0,0
19/04/2020,1099,0,30,0,0,0,0,0.0,0,0,0,0,0,0,0
20/04/2020,1168,0,33,0,0,0,0,0.0,0,0,0,0,0,0,0
21/04/2020,1212,0,34,0,0,0,0,0.0,0,0,0,0,0,0,0
22/04/2020,1313,0,34,0,0,0,0,0.0,0,0,0,0,0,0,0
23/04/2020,1363,0,42,0,0,0,0,0.0,0,0,0,0,0,0,0
24/04/2020,1381,0,42,0,0,0,0,0.0,0,0,0,0,0,0,0
25/04/2020,1595,0,47,0,0,0,0,0.0,0,0,0,0,0,0,0
26/04/2020,1703,0,51,0,0,0,0,0.0,0,0,0,0,0,0,0
27/04/2020,1796,0,57,0,0,0,0,0.0,0,0,0,0,0,0,0
28/04/2020,1874,0,64,0,0,0,0,0.0,0,0,0,0,0,0,0
29/04/2020,2107,0,76,0,0,0,0,0.0,0,0,0,0,0,0,0
30/04/2020,2465,0,83,0,0,0,0,0.0,0,0,0,0,0,0,0
01/05/2020,2662,0,96,0,0,0,0,0.0,0,0,0,0,0,0,0
02/05/2020,2985,0,103,0,0,0,0,0.0,0,0,0,0,0,0,0
03/05/2020,3086,0,114,0,0,0,0,0.0,0,0,0,0,0,0,0
04/05/2020,3162,0,116,0,0,0,0,0.0,0,0,0,0,0,0,0
05/05/2020,3402,0,133,0,0,0,0,0.0,0,0,0,0,0,0,0
06/05/2020,3568,0,145,0,0,0,0,0.0,0,0,0,0,0,0,0
07/05/2020,3568,0,145,0,0,0,0,0.0,0,0,0,0,0,0,0
