data,cases,cured,deaths,internadosDomiciliar,internadosEnfermaria,internadosUTI,percentual_cured,percentual_deaths,percentual_internados,percentual_internadosDomiciliar,percentual_internadosEnfermaria,percentual_internadosUTI,refuses,suspects,total_internados_DB
21/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
22/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
23/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
24/03/2020,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
25/03/2020,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
26/03/2020,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
27/03/2020,13,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
28/03/2020,14,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
29/03/2020,16,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
30/03/2020,23,0,1,0,0,0,0,4.347826086956521,0,0,0,0,0,0,0
31/03/2020,31,0,1,0,0,0,0,3.225806451612903,0,0,0,0,0,0,0
01/04/2020,52,0,1,0,0,0,0,1.923076923076923,0,0,0,0,0,0,0
02/04/2020,71,0,1,0,0,0,0,1.408450704225352,0,0,0,0,0,0,0
03/04/2020,81,0,1,0,0,0,0,1.234567901234567,0,0,0,0,0,0,0
04/04/2020,88,0,1,0,0,0,0,1.136363636363636,0,0,0,0,0,0,0
05/04/2020,96,0,2,0,0,0,0,2.083333333333333,0,0,0,0,0,0,0
06/04/2020,133,0,2,0,0,0,0,1.50375939849624,0,0,0,0,0,0,0
07/04/2020,172,0,4,0,0,0,0,2.325581395348837,0,0,0,0,0,0,0
08/04/2020,230,0,11,0,0,0,0,4.782608695652174,0,0,0,0,0,0,0
09/04/2020,273,0,12,0,0,0,0,4.395604395604396,0,0,0,0,0,0,0
10/04/2020,293,0,16,0,0,0,0,5.460750853242321,0,0,0,0,0,0,0
11/04/2020,344,0,21,0,0,0,0,6.104651162790697,0,0,0,0,0,0,0
12/04/2020,398,0,24,0,0,0,0,6.030150753768844,0,0,0,0,0,0,0
13/04/2020,445,0,27,0,0,0,0,0.0,0,0,0,0,0,0,0
14/04/2020,478,0,32,0,0,0,0,0.0,0,0,0,0,0,0,0
15/04/2020,630,0,34,0,0,0,0,0.0,0,0,0,0,0,0,0
16/04/2020,695,0,37,0,0,0,0,0.0,0,0,0,0,0,0,0
17/04/2020,797,0,40,0,0,0,0,0.0,0,0,0,0,0,0,0
18/04/2020,1040,0,44,0,0,0,0,0.0,0,0,0,0,0,0,0
19/04/2020,1205,0,48,0,0,0,0,0.0,0,0,0,0,0,0,0
20/04/2020,1320,0,54,0,0,0,0,0.0,0,0,0,0,0,0,0
21/04/2020,1396,0,60,0,0,0,0,0.0,0,0,0,0,0,0,0
22/04/2020,1604,0,66,0,0,0,0,0.0,0,0,0,0,0,0,0
