data,cases,cured,deaths,internadosDomiciliar,internadosEnfermaria,internadosUTI,percentual_cured,percentual_deaths,percentual_internados,percentual_internadosDomiciliar,percentual_internadosEnfermaria,percentual_internadosUTI,refuses,suspects,total_internados_DB
08/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
09/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
10/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
11/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
12/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
13/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
14/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
15/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
16/03/2020,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
17/03/2020,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
18/03/2020,15,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
19/03/2020,29,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
20/03/2020,35,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
21/03/2020,38,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
22/03/2020,83,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
23/03/2020,128,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
24/03/2020,130,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
25/03/2020,133,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
26/03/2020,153,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
27/03/2020,189,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
28/03/2020,205,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
29/03/2020,231,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
30/03/2020,261,0,1,0,0,0,0,0.383141762452107,0,0,0,0,0,0,0
31/03/2020,275,0,2,0,0,0,0,0.7272727272727271,0,0,0,0,0,0,0
01/04/2020,314,0,3,0,0,0,0,0.9554140127388531,0,0,0,0,0,0,0
02/04/2020,370,0,4,0,0,0,0,1.081081081081081,0,0,0,0,0,0,0
03/04/2020,397,0,6,0,0,0,0,1.511335012594458,0,0,0,0,0,0,0
04/04/2020,430,0,6,0,0,0,0,1.3953488372093021,0,0,0,0,0,0,0
05/04/2020,498,0,6,0,0,0,0,1.204819277108433,0,0,0,0,0,0,0
06/04/2020,525,0,9,0,0,0,0,1.714285714285714,0,0,0,0,0,0,0
07/04/2020,559,0,11,0,0,0,0,1.967799642218246,0,0,0,0,0,0,0
08/04/2020,614,0,14,0,0,0,0,2.2801302931596092,0,0,0,0,0,0,0
09/04/2020,655,0,15,0,0,0,0,2.290076335877862,0,0,0,0,0,0,0
10/04/2020,698,0,17,0,0,0,0,2.435530085959885,0,0,0,0,0,0,0
11/04/2020,750,0,17,0,0,0,0,2.266666666666666,0,0,0,0,0,0,0
12/04/2020,806,0,20,0,0,0,0,2.481389578163772,0,0,0,0,0,0,0
13/04/2020,815,0,23,0,0,0,0,0.0,0,0,0,0,0,0,0
14/04/2020,884,0,27,0,0,0,0,0.0,0,0,0,0,0,0,0
15/04/2020,903,0,30,0,0,0,0,0.0,0,0,0,0,0,0,0
16/04/2020,958,0,33,0,0,0,0,0.0,0,0,0,0,0,0,0
17/04/2020,1021,0,35,0,0,0,0,0.0,0,0,0,0,0,0,0
18/04/2020,1077,0,39,0,0,0,0,0.0,0,0,0,0,0,0,0
19/04/2020,1154,0,39,0,0,0,0,0.0,0,0,0,0,0,0,0
20/04/2020,1189,0,41,0,0,0,0,0.0,0,0,0,0,0,0,0
21/04/2020,1230,0,44,0,0,0,0,0.0,0,0,0,0,0,0,0
22/04/2020,1283,0,47,0,0,0,0,0.0,0,0,0,0,0,0,0
