data,cases,cured,deaths,internadosDomiciliar,internadosEnfermaria,internadosUTI,percentual_cured,percentual_deaths,percentual_internados,percentual_internadosDomiciliar,percentual_internadosEnfermaria,percentual_internadosUTI,refuses,suspects,total_internados_DB
16/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
17/03/2020,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
18/03/2020,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
19/03/2020,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
20/03/2020,9,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
21/03/2020,16,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
22/03/2020,21,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
23/03/2020,21,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
24/03/2020,23,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
25/03/2020,24,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
26/03/2020,25,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
27/03/2020,28,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
28/03/2020,31,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
29/03/2020,36,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
30/03/2020,44,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
31/03/2020,48,0,1,0,0,0,0,2.083333333333333,0,0,0,0,0,0,0
01/04/2020,51,0,1,0,0,0,0,1.9607843137254901,0,0,0,0,0,0,0
02/04/2020,53,0,1,0,0,0,0,1.886792452830188,0,0,0,0,0,0,0
03/04/2020,60,0,1,0,0,0,0,1.666666666666666,0,0,0,0,0,0,0
04/04/2020,62,0,1,0,0,0,0,1.612903225806451,0,0,0,0,0,0,0
05/04/2020,65,0,1,0,0,0,0,1.5384615384615379,0,0,0,0,0,0,0
06/04/2020,66,0,1,0,0,0,0,1.5151515151515151,0,0,0,0,0,0,0
07/04/2020,80,0,2,0,0,0,0,2.5,0,0,0,0,0,0,0
08/04/2020,85,0,2,0,0,0,0,2.352941176470588,0,0,0,0,0,0,0
09/04/2020,89,0,2,0,0,0,0,2.247191011235955,0,0,0,0,0,0,0
10/04/2020,97,0,2,0,0,0,0,2.061855670103092,0,0,0,0,0,0,0
11/04/2020,100,0,2,0,0,0,0,2.0,0,0,0,0,0,0,0
12/04/2020,101,0,2,0,0,0,0,1.9801980198019802,0,0,0,0,0,0,0
13/04/2020,113,0,4,0,0,0,0,0.0,0,0,0,0,0,0,0
14/04/2020,115,0,4,0,0,0,0,0.0,0,0,0,0,0,0,0
15/04/2020,121,0,4,0,0,0,0,0.0,0,0,0,0,0,0,0
16/04/2020,131,0,5,0,0,0,0,0.0,0,0,0,0,0,0,0
17/04/2020,143,0,5,0,0,0,0,0.0,0,0,0,0,0,0,0
18/04/2020,161,0,5,0,0,0,0,0.0,0,0,0,0,0,0,0
19/04/2020,168,0,5,0,0,0,0,0.0,0,0,0,0,0,0,0
20/04/2020,171,0,5,0,0,0,0,0.0,0,0,0,0,0,0,0
21/04/2020,173,0,6,0,0,0,0,0.0,0,0,0,0,0,0,0
22/04/2020,175,0,6,0,0,0,0,0.0,0,0,0,0,0,0,0
