data,cases,cured,deaths,internadosDomiciliar,internadosEnfermaria,internadosUTI,percentual_cured,percentual_deaths,percentual_internados,percentual_internadosDomiciliar,percentual_internadosEnfermaria,percentual_internadosUTI,refuses,suspects,total_internados_DB
20/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
21/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
22/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
23/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
24/03/2020,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
25/03/2020,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
26/03/2020,11,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
27/03/2020,11,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
28/03/2020,13,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
29/03/2020,16,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
30/03/2020,18,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
31/03/2020,25,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
01/04/2020,27,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
02/04/2020,36,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
03/04/2020,44,0,1,0,0,0,0,2.272727272727273,0,0,0,0,0,0,0
04/04/2020,56,0,1,0,0,0,0,1.7857142857142851,0,0,0,0,0,0,0
05/04/2020,60,0,1,0,0,0,0,1.666666666666666,0,0,0,0,0,0,0
06/04/2020,76,0,1,0,0,0,0,1.31578947368421,0,0,0,0,0,0,0
07/04/2020,78,0,1,0,0,0,0,1.282051282051282,0,0,0,0,0,0,0
08/04/2020,90,0,1,0,0,0,0,1.111111111111111,0,0,0,0,0,0,0
09/04/2020,108,0,2,0,0,0,0,1.8518518518518512,0,0,0,0,0,0,0
10/04/2020,112,0,2,0,0,0,0,1.7857142857142851,0,0,0,0,0,0,0
11/04/2020,121,0,3,0,0,0,0,2.4793388429752072,0,0,0,0,0,0,0
12/04/2020,123,0,3,0,0,0,0,2.439024390243902,0,0,0,0,0,0,0
13/04/2020,134,0,4,0,0,0,0,0.0,0,0,0,0,0,0,0
14/04/2020,138,0,4,0,0,0,0,0.0,0,0,0,0,0,0,0
15/04/2020,151,0,4,0,0,0,0,0.0,0,0,0,0,0,0,0
16/04/2020,156,0,5,0,0,0,0,0.0,0,0,0,0,0,0,0
17/04/2020,162,0,5,0,0,0,0,0.0,0,0,0,0,0,0,0
18/04/2020,171,0,5,0,0,0,0,0.0,0,0,0,0,0,0,0
19/04/2020,174,0,5,0,0,0,0,0.0,0,0,0,0,0,0,0
20/04/2020,181,0,6,0,0,0,0,0.0,0,0,0,0,0,0,0
21/04/2020,181,0,6,0,0,0,0,0.0,0,0,0,0,0,0,0
22/04/2020,183,0,6,0,0,0,0,0.0,0,0,0,0,0,0,0
