data,cases,cured,deaths,internadosDomiciliar,internadosEnfermaria,internadosUTI,percentual_cured,percentual_deaths,percentual_internados,percentual_internadosDomiciliar,percentual_internadosEnfermaria,percentual_internadosUTI,refuses,suspects,total_internados_DB
05/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
06/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
07/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
08/03/2020,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
09/03/2020,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
10/03/2020,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
11/03/2020,13,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
12/03/2020,16,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
13/03/2020,16,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
14/03/2020,22,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
15/03/2020,24,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
16/03/2020,31,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
17/03/2020,33,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
18/03/2020,45,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
19/03/2020,65,0,2,0,0,0,0,3.076923076923077,0,0,0,0,0,0,0
20/03/2020,109,0,2,0,0,0,0,1.834862385321101,0,0,0,0,0,0,0
21/03/2020,119,0,3,0,0,0,0,2.521008403361344,0,0,0,0,0,0,0
22/03/2020,186,0,3,0,0,0,0,1.612903225806451,0,0,0,0,0,0,0
23/03/2020,233,0,4,0,0,0,0,1.716738197424892,0,0,0,0,0,0,0
24/03/2020,305,0,6,0,0,0,0,1.967213114754098,0,0,0,0,0,0,0
25/03/2020,370,0,6,0,0,0,0,1.621621621621621,0,0,0,0,0,0,0
26/03/2020,421,0,9,0,0,0,0,2.137767220902613,0,0,0,0,0,0,0
27/03/2020,493,0,10,0,0,0,0,2.028397565922921,0,0,0,0,0,0,0
28/03/2020,558,0,13,0,0,0,0,2.329749103942652,0,0,0,0,0,0,0
29/03/2020,600,0,17,0,0,0,0,2.833333333333333,0,0,0,0,0,0,0
30/03/2020,657,0,18,0,0,0,0,2.73972602739726,0,0,0,0,0,0,0
31/03/2020,708,0,23,0,0,0,0,3.248587570621469,0,0,0,0,0,0,0
01/04/2020,832,0,28,0,0,0,0,3.365384615384615,0,0,0,0,0,0,0
02/04/2020,992,0,41,0,0,0,0,4.133064516129032,0,0,0,0,0,0,0
03/04/2020,1074,0,47,0,0,0,0,4.376163873370578,0,0,0,0,0,0,0
04/04/2020,1246,0,58,0,0,0,0,4.6548956661316225,0,0,0,0,0,0,0
05/04/2020,1394,0,64,0,0,0,0,4.591104734576758,0,0,0,0,0,0,0
06/04/2020,1461,0,71,0,0,0,0,4.85968514715948,0,0,0,0,0,0,0
07/04/2020,1688,0,89,0,0,0,0,5.272511848341232,0,0,0,0,0,0,0
08/04/2020,1938,0,106,0,0,0,0,5.469556243550051,0,0,0,0,0,0,0
09/04/2020,2216,0,122,0,0,0,0,5.505415162454874,0,0,0,0,0,0,0
10/04/2020,2464,0,147,0,0,0,0,5.965909090909091,0,0,0,0,0,0,0
11/04/2020,2607,0,155,0,0,0,0,5.945531261986958,0,0,0,0,0,0,0
12/04/2020,2855,0,170,0,0,0,0,5.9544658493870415,0,0,0,0,0,0,0
13/04/2020,3231,0,188,0,0,0,0,0.0,0,0,0,0,0,0,0
14/04/2020,3410,0,224,0,0,0,0,0.0,0,0,0,0,0,0,0
15/04/2020,3743,0,265,0,0,0,0,0.0,0,0,0,0,0,0,0
16/04/2020,3944,0,300,0,0,0,0,0.0,0,0,0,0,0,0,0
17/04/2020,4349,0,341,0,0,0,0,0.0,0,0,0,0,0,0,0
18/04/2020,4543,0,387,0,0,0,0,0.0,0,0,0,0,0,0,0
19/04/2020,4765,0,402,0,0,0,0,0.0,0,0,0,0,0,0,0
20/04/2020,4899,0,422,0,0,0,0,0.0,0,0,0,0,0,0,0
21/04/2020,5306,0,461,0,0,0,0,0.0,0,0,0,0,0,0,0
22/04/2020,5552,0,490,0,0,0,0,0.0,0,0,0,0,0,0,0
23/04/2020,6172,0,530,0,0,0,0,0.0,0,0,0,0,0,0,0
24/04/2020,6282,0,570,0,0,0,0,0.0,0,0,0,0,0,0,0
25/04/2020,6828,0,615,0,0,0,0,0.0,0,0,0,0,0,0,0
26/04/2020,7111,0,645,0,0,0,0,0.0,0,0,0,0,0,0,0
27/04/2020,7944,0,677,0,0,0,0,0.0,0,0,0,0,0,0,0
28/04/2020,8504,0,738,0,0,0,0,0.0,0,0,0,0,0,0,0
29/04/2020,8869,0,794,0,0,0,0,0.0,0,0,0,0,0,0,0
30/04/2020,9453,0,854,0,0,0,0,0.0,0,0,0,0,0,0,0
01/05/2020,10166,0,921,0,0,0,0,0.0,0,0,0,0,0,0,0
02/05/2020,10546,0,971,0,0,0,0,0.0,0,0,0,0,0,0,0
03/05/2020,11139,0,1019,0,0,0,0,0.0,0,0,0,0,0,0,0
04/05/2020,11721,0,1065,0,0,0,0,0.0,0,0,0,0,0,0,0
05/05/2020,12391,0,1123,0,0,0,0,0.0,0,0,0,0,0,0,0
06/05/2020,13295,0,1205,0,0,0,0,0.0,0,0,0,0,0,0,0
07/05/2020,13295,0,1205,0,0,0,0,0.0,0,0,0,0,0,0,0
