data,cases,cured,deaths,internadosDomiciliar,internadosEnfermaria,internadosUTI,percentual_cured,percentual_deaths,percentual_internados,percentual_internadosDomiciliar,percentual_internadosEnfermaria,percentual_internadosUTI,refuses,suspects,total_internados_DB
22/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
23/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
24/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
25/03/2020,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
26/03/2020,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
27/03/2020,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
28/03/2020,12,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
29/03/2020,16,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
30/03/2020,16,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
31/03/2020,16,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
01/04/2020,22,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
02/04/2020,26,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
03/04/2020,30,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
04/04/2020,37,0,1,0,0,0,0,2.702702702702702,0,0,0,0,0,0,0
05/04/2020,42,0,1,0,0,0,0,2.380952380952381,0,0,0,0,0,0,0
06/04/2020,42,0,1,0,0,0,0,2.380952380952381,0,0,0,0,0,0,0
07/04/2020,42,0,1,0,0,0,0,2.380952380952381,0,0,0,0,0,0,0
08/04/2020,49,0,1,0,0,0,0,2.040816326530612,0,0,0,0,0,0,0
09/04/2020,52,0,1,0,0,0,0,1.923076923076923,0,0,0,0,0,0,0
10/04/2020,63,0,3,0,0,0,0,4.761904761904762,0,0,0,0,0,0,0
11/04/2020,75,0,3,0,0,0,0,4.0,0,0,0,0,0,0,0
12/04/2020,79,0,3,0,0,0,0,3.79746835443038,0,0,0,0,0,0,0
13/04/2020,83,0,3,0,0,0,0,0.0,0,0,0,0,0,0,0
14/04/2020,113,0,3,0,0,0,0,0.0,0,0,0,0,0,0,0
15/04/2020,114,0,3,0,0,0,0,0.0,0,0,0,0,0,0,0
16/04/2020,142,0,3,0,0,0,0,0.0,0,0,0,0,0,0,0
17/04/2020,164,0,3,0,0,0,0,0.0,0,0,0,0,0,0,0
18/04/2020,201,0,3,0,0,0,0,0.0,0,0,0,0,0,0,0
19/04/2020,222,0,3,0,0,0,0,0.0,0,0,0,0,0,0,0
20/04/2020,244,0,3,0,0,0,0,0.0,0,0,0,0,0,0,0
21/04/2020,247,0,3,0,0,0,0,0.0,0,0,0,0,0,0,0
22/04/2020,280,0,3,0,0,0,0,0.0,0,0,0,0,0,0,0
