data,cases,cured,deaths,internadosDomiciliar,internadosEnfermaria,internadosUTI,percentual_cured,percentual_deaths,percentual_internados,percentual_internadosDomiciliar,percentual_internadosEnfermaria,percentual_internadosUTI,refuses,suspects,total_internados_DB
13/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
14/03/2020,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
15/03/2020,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
16/03/2020,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
17/03/2020,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
18/03/2020,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
19/03/2020,20,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
20/03/2020,21,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
21/03/2020,51,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
22/03/2020,57,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
23/03/2020,68,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
24/03/2020,107,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
25/03/2020,109,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
26/03/2020,122,0,1,0,0,0,0,0.8196721311475411,0,0,0,0,0,0,0
27/03/2020,149,0,1,0,0,0,0,0.671140939597315,0,0,0,0,0,0,0
28/03/2020,184,0,1,0,0,0,0,0.5434782608695651,0,0,0,0,0,0,0
29/03/2020,194,0,1,0,0,0,0,0.515463917525773,0,0,0,0,0,0,0
30/03/2020,197,0,1,0,0,0,0,0.5076142131979691,0,0,0,0,0,0,0
31/03/2020,219,0,2,0,0,0,0,0.91324200913242,0,0,0,0,0,0,0
01/04/2020,235,0,2,0,0,0,0,0.851063829787234,0,0,0,0,0,0,0
02/04/2020,247,0,2,0,0,0,0,0.809716599190283,0,0,0,0,0,0,0
03/04/2020,281,0,5,0,0,0,0,1.779359430604982,0,0,0,0,0,0,0
04/04/2020,334,0,5,0,0,0,0,1.4970059880239521,0,0,0,0,0,0,0
05/04/2020,357,0,10,0,0,0,0,2.801120448179272,0,0,0,0,0,0,0
06/04/2020,379,0,10,0,0,0,0,2.638522427440633,0,0,0,0,0,0,0
07/04/2020,417,0,11,0,0,0,0,2.6378896882494,0,0,0,0,0,0,0
08/04/2020,457,0,15,0,0,0,0,3.282275711159737,0,0,0,0,0,0,0
09/04/2020,501,0,17,0,0,0,0,3.393213572854291,0,0,0,0,0,0,0
10/04/2020,693,0,18,0,0,0,0,2.597402597402597,0,0,0,0,0,0,0
11/04/2020,732,0,21,0,0,0,0,2.8688524590163933,0,0,0,0,0,0,0
12/04/2020,768,0,24,0,0,0,0,3.125,0,0,0,0,0,0,0
13/04/2020,777,0,24,0,0,0,0,0.0,0,0,0,0,0,0,0
14/04/2020,826,0,26,0,0,0,0,0.0,0,0,0,0,0,0,0
15/04/2020,853,0,28,0,0,0,0,0.0,0,0,0,0,0,0,0
16/04/2020,884,0,29,0,0,0,0,0.0,0,0,0,0,0,0,0
17/04/2020,926,0,30,0,0,0,0,0.0,0,0,0,0,0,0,0
18/04/2020,962,0,31,0,0,0,0,0.0,0,0,0,0,0,0,0
19/04/2020,975,0,32,0,0,0,0,0.0,0,0,0,0,0,0,0
20/04/2020,1025,0,35,0,0,0,0,0.0,0,0,0,0,0,0,0
21/04/2020,1063,0,35,0,0,0,0,0.0,0,0,0,0,0,0,0
22/04/2020,1091,0,37,0,0,0,0,0.0,0,0,0,0,0,0,0
23/04/2020,1115,0,39,0,0,0,0,0.0,0,0,0,0,0,0,0
24/04/2020,1170,0,42,0,0,0,0,0.0,0,0,0,0,0,0,0
25/04/2020,1209,0,42,0,0,0,0,0.0,0,0,0,0,0,0,0
26/04/2020,1235,0,42,0,0,0,0,0.0,0,0,0,0,0,0,0
27/04/2020,1337,0,43,0,0,0,0,0.0,0,0,0,0,0,0,0
28/04/2020,1476,0,44,0,0,0,0,0.0,0,0,0,0,0,0,0
29/04/2020,1995,0,44,0,0,0,0,0.0,0,0,0,0,0,0,0
30/04/2020,2085,0,46,0,0,0,0,0.0,0,0,0,0,0,0,0
01/05/2020,2394,0,48,0,0,0,0,0.0,0,0,0,0,0,0,0
02/05/2020,2346,0,52,0,0,0,0,0.0,0,0,0,0,0,0,0
03/05/2020,2346,0,52,0,0,0,0,0.0,0,0,0,0,0,0,0
04/05/2020,2519,0,52,0,0,0,0,0.0,0,0,0,0,0,0,0
05/05/2020,2623,0,55,0,0,0,0,0.0,0,0,0,0,0,0,0
06/05/2020,2917,0,59,0,0,0,0,0.0,0,0,0,0,0,0,0
07/05/2020,2917,0,59,0,0,0,0,0.0,0,0,0,0,0,0,0
