data,cases,cured,deaths,internadosDomiciliar,internadosEnfermaria,internadosUTI,percentual_cured,percentual_deaths,percentual_internados,percentual_internadosDomiciliar,percentual_internadosEnfermaria,percentual_internadosUTI,refuses,suspects,total_internados_DB
15/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
16/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
17/03/2020,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
18/03/2020,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
19/03/2020,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
20/03/2020,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
21/03/2020,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
22/03/2020,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
23/03/2020,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
24/03/2020,15,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
25/03/2020,16,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
26/03/2020,16,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
27/03/2020,16,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
28/03/2020,16,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
29/03/2020,16,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
30/03/2020,16,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
31/03/2020,19,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
01/04/2020,20,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
02/04/2020,23,0,2,0,0,0,0,8.695652173913043,0,0,0,0,0,0,0
03/04/2020,25,0,2,0,0,0,0,8.0,0,0,0,0,0,0,0
04/04/2020,27,0,2,0,0,0,0,7.407407407407406,0,0,0,0,0,0,0
05/04/2020,32,0,3,0,0,0,0,9.375,0,0,0,0,0,0,0
06/04/2020,32,0,4,0,0,0,0,12.5,0,0,0,0,0,0,0
07/04/2020,36,0,4,0,0,0,0,11.11111111111111,0,0,0,0,0,0,0
08/04/2020,36,0,4,0,0,0,0,11.11111111111111,0,0,0,0,0,0,0
09/04/2020,39,0,4,0,0,0,0,10.256410256410255,0,0,0,0,0,0,0
10/04/2020,42,0,4,0,0,0,0,9.523809523809524,0,0,0,0,0,0,0
11/04/2020,42,0,4,0,0,0,0,9.523809523809524,0,0,0,0,0,0,0
12/04/2020,44,0,4,0,0,0,0,9.090909090909092,0,0,0,0,0,0,0
13/04/2020,44,0,4,0,0,0,0,0.0,0,0,0,0,0,0,0
14/04/2020,45,0,4,0,0,0,0,0.0,0,0,0,0,0,0,0
15/04/2020,46,0,4,0,0,0,0,0.0,0,0,0,0,0,0,0
16/04/2020,48,0,4,0,0,0,0,0.0,0,0,0,0,0,0,0
17/04/2020,53,0,4,0,0,0,0,0.0,0,0,0,0,0,0,0
18/04/2020,71,0,5,0,0,0,0,0.0,0,0,0,0,0,0,0
19/04/2020,83,0,5,0,0,0,0,0.0,0,0,0,0,0,0,0
20/04/2020,86,0,5,0,0,0,0,0.0,0,0,0,0,0,0,0
21/04/2020,92,0,5,0,0,0,0,0.0,0,0,0,0,0,0,0
22/04/2020,117,0,7,0,0,0,0,0.0,0,0,0,0,0,0,0
