data,cases,cured,deaths,internadosDomiciliar,internadosEnfermaria,internadosUTI,percentual_cured,percentual_deaths,percentual_internados,percentual_internadosDomiciliar,percentual_internadosEnfermaria,percentual_internadosUTI,refuses,suspects,total_internados_DB
26/02/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
27/02/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
28/02/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
29/02/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
01/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
02/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
03/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
04/03/2020,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
05/03/2020,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
06/03/2020,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
07/03/2020,13,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
08/03/2020,16,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
09/03/2020,16,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
10/03/2020,19,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
11/03/2020,30,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
12/03/2020,42,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
13/03/2020,56,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
14/03/2020,65,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
15/03/2020,136,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
16/03/2020,152,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
17/03/2020,164,0,1,0,0,0,0,0.609756097560975,0,0,0,0,0,0,0
18/03/2020,240,0,4,0,0,0,0,1.666666666666666,0,0,0,0,0,0,0
19/03/2020,286,0,4,0,0,0,0,1.398601398601398,0,0,0,0,0,0,0
20/03/2020,396,0,9,0,0,0,0,2.272727272727273,0,0,0,0,0,0,0
21/03/2020,459,0,15,0,0,0,0,3.2679738562091503,0,0,0,0,0,0,0
22/03/2020,631,0,22,0,0,0,0,3.486529318541996,0,0,0,0,0,0,0
23/03/2020,745,0,30,0,0,0,0,4.026845637583892,0,0,0,0,0,0,0
24/03/2020,810,0,40,0,0,0,0,4.938271604938271,0,0,0,0,0,0,0
25/03/2020,862,0,48,0,0,0,0,5.56844547563805,0,0,0,0,0,0,0
26/03/2020,1052,0,58,0,0,0,0,5.513307984790875,0,0,0,0,0,0,0
27/03/2020,1223,0,68,0,0,0,0,5.560098119378577,0,0,0,0,0,0,0
28/03/2020,1406,0,84,0,0,0,0,5.974395448079658,0,0,0,0,0,0,0
29/03/2020,1451,0,98,0,0,0,0,6.753962784286699,0,0,0,0,0,0,0
30/03/2020,1517,0,113,0,0,0,0,7.448912326961107,0,0,0,0,0,0,0
31/03/2020,2339,0,136,0,0,0,0,5.814450619923044,0,0,0,0,0,0,0
01/04/2020,2981,0,164,0,0,0,0,5.501509560550151,0,0,0,0,0,0,0
02/04/2020,3506,0,188,0,0,0,0,5.362236166571591,0,0,0,0,0,0,0
03/04/2020,4048,0,219,0,0,0,0,5.410079051383399,0,0,0,0,0,0,0
04/04/2020,4466,0,260,0,0,0,0,5.821764442454098,0,0,0,0,0,0,0
05/04/2020,4620,0,275,0,0,0,0,5.9523809523809526,0,0,0,0,0,0,0
06/04/2020,4866,0,304,0,0,0,0,6.247431154952733,0,0,0,0,0,0,0
07/04/2020,5682,0,371,0,0,0,0,6.529391059486096,0,0,0,0,0,0,0
08/04/2020,6708,0,428,0,0,0,0,6.380441264162194,0,0,0,0,0,0,0
09/04/2020,7480,0,496,0,0,0,0,6.631016042780749,0,0,0,0,0,0,0
10/04/2020,8216,0,540,0,0,0,0,6.572541382667965,0,0,0,0,0,0,0
