data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,28.210857203729585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,25.505861217205435,29.42583002071673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,25.27240051845411,26.78943341481334,29.365841951874092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,25.26522379595606,26.562049308721658,26.455774767216983,40.21553963005774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,25.265143551591784,26.555058616146983,26.202932747836112,37.53104028188828,49.33653019829834,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,25.26514322287242,26.554980445021155,26.195139298207266,37.300397916506824,44.465141527137185,49.350420228197386,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,25.26514322237778,26.554980124782542,26.1950520692498,37.29331724019494,44.032758477889224,44.53091808990888,50.61925601906684,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,25.265143222377507,26.554980124300656,26.19505171178282,37.293238104959066,44.01933247887473,44.11543282652906,46.11505227136906,50.50938980162186,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,25.265143222377507,26.55498012430039,26.195051711244847,37.2932377808344,44.01918180876833,44.10266470241273,45.72757171106562,45.50492850860832,54.19349049300103,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,25.265143222377507,26.55498012430039,26.19505171124455,37.29323778034671,44.019181190721035,44.102521954805106,45.71566970732585,45.06990114980269,49.57049460169362,53.98982355321244,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,25.265143222377507,26.55498012430039,26.19505171124455,37.29323778034644,44.019181189790565,44.102521370064686,45.71553666020257,45.05648954742097,49.1732746380884,48.43860440820163,56.553890653662734,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,25.265143222377507,26.55498012430039,26.19505171124455,37.29323778034644,44.019181189790054,44.102521369184814,45.715536115221525,45.056339425876814,49.16107981014888,47.95406886894397,51.74715310730217,58.74572994904812,,,,,,,,,,,,,,,,,,,,,
07/04/2020,25.265143222377507,26.55498012430039,26.19505171124455,37.29323778034644,44.019181189790054,44.10252136918432,45.71553611440149,45.05633881065757,49.16094351708149,47.93910953964947,51.336083511024235,52.99226437625077,58.80153815485397,,,,,,,,,,,,,,,,,,,,
08/04/2020,25.265143222377507,26.55498012430039,26.19505171124455,37.29323778034644,44.019181189790054,44.10252136918432,45.71553611440103,45.05633880973168,49.16094295884662,47.938942007011114,51.32348521237715,52.49005964522764,53.29782196704764,63.58733621915163,,,,,,,,,,,,,,,,,,,
09/04/2020,25.265143222377507,26.55498012430039,26.19505171124455,37.29323778034644,44.019181189790054,44.10252136918432,45.71553611440103,45.056338809731166,49.16094295800666,47.93894132030876,51.323344499049334,52.47455406127495,52.823950474790664,58.020316567734824,72.99313881624246,,,,,,,,,,,,,,,,,,
10/04/2020,,26.55498012430039,26.19505171124455,37.29323778034644,44.019181189790054,44.10252136918432,45.71553611440103,45.056338809731166,49.160942958006196,47.93894131927521,51.32334392284381,52.47438040716066,52.80939234282293,57.5389944378266,66.53860160575844,82.36864673539064,,,,,,,,,,,,,,,,,
11/04/2020,,,26.19505171124455,37.29323778034644,44.019181189790054,44.10252136918432,45.71553611440103,45.056338809731166,49.160942958006196,47.93894131927464,51.32334392197689,52.47437969536063,52.80922959676913,57.52418366435468,65.9763726804925,74.88396594827273,84.6014824068525,,,,,,,,,,,,,,,,
12/04/2020,,,,37.29323778034644,44.019181189790054,44.10252136918432,45.71553611440103,45.056338809731166,49.160942958006196,47.93894131927464,51.32334392197641,52.47437969428931,52.80922893012752,57.524017994699655,65.95902788791331,74.23220974521426,76.34799785897197,90.68730295212112,,,,,,,,,,,,,,,
13/04/2020,,,,,44.019181189790054,44.10252136918432,45.71553611440103,45.056338809731166,49.160942958006196,47.93894131927464,51.32334392197641,52.47437969428872,52.80922892912441,57.52401731593181,65.9588336945534,74.21210639909852,75.63123048431744,82.82207001601729,105.99404974343804,,,,,,,,,,,,,,
14/04/2020,,,,,,44.10252136918432,45.71553611440103,45.056338809731166,49.160942958006196,47.93894131927464,51.32334392197641,52.47437969428872,52.809228929123854,57.524017314910374,65.95883289865336,74.21188133612786,75.60914265164452,82.14485763928597,96.79144831831489,116.39246257316903,,,,,,,,,,,,,
15/04/2020,,,,,,,45.71553611440103,45.056338809731166,49.160942958006196,47.93894131927464,51.32334392197641,52.47437969428872,52.809228929123854,57.524017314909806,65.95883289745551,74.21188041373281,75.60889545561962,82.12405126918812,95.98932859288833,105.34823791549655,118.74671257640621,,,,,,,,,,,,
16/04/2020,,,,,,,,45.056338809731166,49.160942958006196,47.93894131927464,51.32334392197641,52.47437969428872,52.809228929123854,57.524017314909806,65.95883289745484,74.2118804123446,75.60889444264029,82.12381866695937,95.96457674859569,104.38484346793628,107.484169539509,129.55700119769142,,,,,,,,,,,
17/04/2020,,,,,,,,,49.160942958006196,47.93894131927464,51.32334392197641,52.47437969428872,52.809228929123854,57.524017314909806,65.95883289745484,74.21188041234383,75.60889444111581,82.12381771416118,95.96429959827879,104.3551097557367,106.51056543081465,118.34077810812099,159.11178681215722,,,,,,,,,,
18/04/2020,,,,,,,,,,47.93894131927464,51.32334392197641,52.47437969428872,52.809228929123854,57.524017314909806,65.95883289745484,74.21188041234383,75.60889444111497,82.12381771272749,95.9642984623389,104.35477680573499,106.48061185987928,117.37213482368489,145.86207325415097,166.66086074899337,,,,,,,,,
19/04/2020,,,,,,,,,,,51.32334392197641,52.47437969428872,52.809228929123854,57.524017314909806,65.95883289745484,74.21188041234383,75.60889444111497,82.12381771272669,95.96429846062927,104.3547754410692,106.48027683310501,117.34234175661062,144.70677563027294,149.51334773842282,192.33260401316358,,,,,,,,
20/04/2020,,,,,,,,,,,,52.47437969428872,52.809228929123854,57.524017314909806,65.95883289745484,74.21188041234383,75.60889444111497,82.12381771272669,95.96429846062831,104.3547754390153,106.48027546050395,117.34200855329405,144.67112174738006,148.01207963053474,177.32008271710842,206.62697095561498,,,,,,,
21/04/2020,,,,,,,,,,,,,52.809228929123854,57.524017314909806,65.95883289745484,74.21188041234383,75.60889444111497,82.12381771272669,95.96429846062831,104.35477543901416,106.48027545843843,117.34200718820398,144.67072251175085,147.96568636484085,176.03544419325178,185.6624574299626,229.84686152963963,,,,,,
22/04/2020,,,,,,,,,,,,,,57.524017314909806,65.95883289745484,74.21188041234383,75.60889444111497,82.12381771272669,95.96429846062831,104.35477543901416,106.48027545843729,117.34200718614979,144.67072087540757,147.96516662777705,175.99606573834797,183.81950742156653,210.76852609572256,251.55843119541413,,,,,
23/04/2020,,,,,,,,,,,,,,,65.95883289745484,74.21188041234383,75.60889444111497,82.12381771272669,95.96429846062831,104.35477543901416,106.48027545843729,117.34200718614865,144.6707208729448,147.96516449716887,175.9956258828941,183.76246773046668,209.1319412670592,227.51958359146025,267.1025237204514,,,,
24/04/2020,,,,,,,,,,,,,,,,74.21188041234383,75.60889444111497,82.12381771272669,95.96429846062831,104.35477543901416,106.48027545843729,117.34200718614865,144.67072087294343,147.965164493962,175.995624081693,183.76182835922467,209.08173247617958,225.41630871801223,242.7816294240618,275.0899658529471,,,
25/04/2020,,,,,,,,,,,,,,,,,75.60889444111497,82.12381771272669,95.96429846062831,104.35477543901416,106.48027545843729,117.34200718614865,144.67072087294343,147.96516449396023,175.995624078983,183.76182573763828,209.0811714788215,225.35131822651033,240.68049457829557,248.88432561073589,303.9178880896216,,
26/04/2020,,,,,,,,,,,,,,,,,,82.12381771272669,95.96429846062831,104.35477543901416,106.48027545843729,117.34200718614865,144.67072087294343,147.96516449396023,175.9956240789815,183.76182573369212,209.08116918129653,225.35059016159136,240.61586805834736,246.61063016936103,277.82990095074075,327.9749581423787,
27/04/2020,,,,,,,,,,,,,,,,,,,95.96429846062831,104.35477543901416,106.48027545843729,117.34200718614865,144.67072087294343,147.96516449396023,175.9956240789815,183.76182573368993,209.08116917783966,225.35058717697953,240.61514528824281,246.54058221077628,275.57738084391985,296.66710054691276,327.93001300007376
