data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,26.21428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,29.142857142857142,29.559523809523817,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,32.07142857142857,32.54761904761906,31.744444444444447,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,35.0,35.5357142857143,34.62777777777779,32.872727272727275,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,37.92857142857143,38.52380952380954,37.51111111111112,35.54545454545455,37.100000000000016,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,40.85714285714286,41.51190476190477,40.39444444444445,38.21818181818182,39.94545454545456,42.82517482517482,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,43.78571428571428,44.500000000000014,43.277777777777786,40.89090909090909,42.79090909090911,45.96853146853147,46.75824175824176,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,46.71428571428571,47.488095238095255,46.16111111111112,43.56363636363636,45.636363636363654,49.111888111888106,49.97802197802198,49.80879120879121,,,,,,,,,,,,,,,,,,,,,
03/04/2020,49.64285714285714,50.476190476190496,49.04444444444445,46.236363636363635,48.4818181818182,52.255244755244746,53.1978021978022,53.01318681318682,51.96190476190476,,,,,,,,,,,,,,,,,,,,
04/04/2020,52.57142857142857,53.46428571428574,51.927777777777784,48.90909090909091,51.32727272727275,55.39860139860139,56.417582417582416,56.21758241758242,55.076190476190476,54.301470588235276,,,,,,,,,,,,,,,,,,,
05/04/2020,55.5,56.45238095238097,54.81111111111112,51.58181818181818,54.17272727272729,58.54195804195803,59.637362637362635,59.42197802197803,58.19047619047619,57.352941176470566,56.014705882352956,,,,,,,,,,,,,,,,,,
06/04/2020,58.42857142857143,59.44047619047621,57.69444444444445,54.25454545454545,57.018181818181844,61.68531468531468,62.857142857142854,62.62637362637363,61.304761904761904,60.404411764705856,58.96323529411766,57.7485380116959,,,,,,,,,,,,,,,,,
07/04/2020,61.35714285714285,62.42857142857145,60.57777777777779,56.92727272727273,59.86363636363639,64.82867132867133,66.07692307692307,65.83076923076925,64.41904761904762,63.455882352941146,61.91176470588237,60.60818713450291,59.50175438596491,,,,,,,,,,,,,,,,
08/04/2020,64.28571428571429,65.41666666666669,63.46111111111112,59.6,62.70909090909094,67.97202797202797,69.2967032967033,69.03516483516484,67.53333333333333,66.50735294117644,64.86029411764707,63.46783625730993,62.28421052631579,60.84436090225564,,,,,,,,,,,,,,,
09/04/2020,67.21428571428571,68.40476190476193,66.34444444444445,62.27272727272727,65.55454545454549,71.11538461538461,72.5164835164835,72.23956043956045,70.64761904761905,69.55882352941174,67.80882352941178,66.32748538011694,65.06666666666666,63.53082706766917,62.68484848484849,,,,,,,,,,,,,,
10/04/2020,,71.39285714285717,69.22777777777779,64.94545454545455,68.40000000000003,74.25874125874125,75.73626373626374,75.44395604395606,73.76190476190476,72.61029411764703,70.75735294117649,69.18713450292395,67.84912280701754,66.2172932330827,65.31731601731602,65.69452286843591,,,,,,,,,,,,,
11/04/2020,,,72.11111111111111,67.61818181818182,71.24545454545458,77.40209790209789,78.95604395604397,78.64835164835165,76.87619047619047,75.66176470588232,73.7058823529412,72.04678362573097,70.63157894736841,68.90375939849623,67.94978354978355,68.3500846979108,69.63636363636363,,,,,,,,,,,,
12/04/2020,,,,70.2909090909091,74.09090909090912,80.54545454545453,82.17582417582418,81.85274725274726,79.99047619047619,78.71323529411761,76.6544117647059,74.90643274853801,73.4140350877193,71.59022556390977,70.58225108225109,71.00564652738566,72.36758893280631,73.26768115942029,,,,,,,,,,,
13/04/2020,,,,,76.93636363636367,83.68881118881117,85.39560439560441,85.05714285714285,83.1047619047619,81.7647058823529,79.60294117647061,77.76608187134502,76.19649122807017,74.2766917293233,73.21471861471862,73.66120835686053,75.098814229249,76.04985507246377,77.15230769230769,,,,,,,,,,
14/04/2020,,,,,,86.83216783216781,88.61538461538461,88.26153846153846,86.21904761904761,84.81617647058819,82.55147058823532,80.62573099415204,78.97894736842105,76.96315789473684,75.84718614718615,76.31677018633542,77.83003952569169,78.83202898550725,79.99461538461537,82.54256410256409,,,,,,,,,
15/04/2020,,,,,,,91.83516483516485,91.46593406593408,89.33333333333333,87.8676470588235,85.50000000000003,83.48538011695905,81.76140350877192,79.64962406015037,78.47965367965368,78.97233201581028,80.56126482213438,81.61420289855073,82.83692307692307,85.51897435897433,88.55229955229956,,,,,,,,
16/04/2020,,,,,,,,94.67032967032966,92.44761904761904,90.91911764705878,88.44852941176472,86.34502923976606,84.54385964912281,82.33609022556391,81.11212121212122,81.62789384528514,83.29249011857706,84.39637681159421,85.67923076923076,88.49538461538461,91.68294668294669,94.02353585112206,,,,,,,
17/04/2020,,,,,,,,,95.56190476190476,93.97058823529407,91.39705882352943,89.20467836257308,87.32631578947368,85.02255639097744,83.74458874458875,84.28345567476003,86.02371541501975,87.17855072463769,88.52153846153846,91.47179487179486,94.81359381359383,97.26929392446633,100.05320197044337,,,,,,
18/04/2020,,,,,,,,,,97.02205882352936,94.34558823529414,92.06432748538009,90.10877192982456,87.70902255639098,86.37705627705628,86.9390175042349,88.75494071146244,89.96072463768117,91.36384615384614,94.4482051282051,97.94424094424096,100.51505199781062,103.43152709359607,108.78880237300703,,,,,
19/04/2020,,,,,,,,,,,97.29411764705885,94.9239766081871,92.89122807017543,90.39548872180451,89.00952380952381,89.59457933370979,91.48616600790513,92.74289855072465,94.20615384615382,97.42461538461538,101.0748880748881,103.76081007115488,106.80985221674878,112.41438635520947,117.39032258064515,,,,
20/04/2020,,,,,,,,,,,,97.78362573099412,95.6736842105263,93.08195488721805,91.64199134199134,92.25014116318465,94.21739130434781,95.52507246376813,97.04846153846152,100.40102564102563,104.20553520553523,107.00656814449917,110.1881773399015,116.03997033741192,121.23870967741934,127.70197947214079,,,
21/04/2020,,,,,,,,,,,,,98.45614035087719,95.76842105263158,94.27445887445889,94.90570299265951,96.9486166007905,98.3072463768116,99.89076923076921,103.37743589743587,107.33618233618233,110.25232621784346,113.5665024630542,119.66555431961436,125.08709677419353,131.83137829912027,138.46657754010693,,
22/04/2020,,,,,,,,,,,,,,98.45488721804512,96.90692640692642,97.5612648221344,99.67984189723319,101.08942028985508,102.73307692307691,106.35384615384612,110.46682946682947,113.49808429118772,116.94482758620691,123.2911383018168,128.93548387096772,135.96077712609974,142.87633689839572,150.35339954163481,
23/04/2020,,,,,,,,,,,,,,,99.53939393939395,100.21682665160927,102.41106719367588,103.87159420289856,105.57538461538459,109.3302564102564,113.5974765974766,116.74384236453201,120.32315270935962,126.91672228401924,132.7838709677419,140.0901759530792,147.28609625668446,155.07043544690603,163.20896358543416
