data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,26.705907459746836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,26.3633842767046,27.63234023547749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,26.26076833397891,27.18073539119037,27.295024402883847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,26.242635107412003,27.002580212384277,26.754671051942616,37.60780228173965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,26.240711834264207,26.95527548964782,26.496653535237385,36.99727901478399,46.72276433368051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,26.240588594905567,26.94673594948633,26.406066056940908,36.66222301561352,46.061552382235575,46.2077202803152,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,26.240583812233105,26.945684422436024,26.382558595036134,36.51854085108515,45.65694781583135,45.502159594931264,47.020194862651834,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,26.240583699719156,26.94559600593862,26.378042613205736,36.47025073749427,45.45540023673535,45.03449778730513,46.366110658436256,46.7764166226448,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,26.24058369811404,26.945590927538312,26.377400046656156,36.45751958616815,45.37336619754683,44.77380053275699,45.88813250678018,46.11903425364912,50.06439052835164,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,26.240583698100153,26.94559072826402,26.37733231874233,36.45488601341955,45.34604859200287,44.65116478536659,45.58943292306297,45.604564199116666,49.35973407722442,49.8029201872732,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,26.24058369810008,26.945590722921793,26.377327030389154,36.45445852428906,45.33860261207569,44.6024226203496,45.42909596551348,45.25653628334253,48.79027429160313,49.057106446324774,51.92850986404822,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,26.24058369810008,26.945590722823944,26.37732672448717,36.454404071886486,45.33694110363079,44.58604718288819,45.354961745426124,45.05132021051471,48.38598218973419,48.440564584351584,51.14327169759689,54.059507146338234,,,,,,,,,,,,,,,,,,,,,
07/04/2020,26.24058369810008,26.945590722822722,26.377326711378608,36.454398629063206,45.33663756773678,44.581396123692755,45.32538013315158,44.94530344450358,48.13145627540014,47.98558595703247,50.4842045744501,53.24359120637777,53.79029288784202,,,,,,,,,,,,,,,,,,,,
08/04/2020,26.24058369810008,26.945590722822708,26.37732671096247,36.454398202142194,45.336592167983824,44.58027924134875,45.315179434725636,44.89716229959863,47.98860989973072,47.683299368231275,49.98272438631737,52.54906714134733,52.94964845129833,57.908450789699174,,,,,,,,,,,,,,,,,,,
09/04/2020,26.24058369810008,26.945590722822708,26.377326710952683,36.454398175864505,45.336586608478484,44.5800524800224,45.312136738046505,44.87790703809527,47.91692065518293,47.50163299702639,49.63449364445026,52.00630768576058,52.22493333973917,57.04810990224795,66.83265428774583,,,,,,,,,,,,,,,,,,
10/04/2020,,26.945590722822708,26.377326710952513,36.45439817459526,45.33658605108841,44.5800135540034,45.31135113900956,44.87111397661273,47.884688376945064,47.40261749214963,49.41301647876028,51.61490316044576,51.645309075343434,56.297652874473194,65.9656630339509,75.97131195380177,,,,,,,,,,,,,,,,,
11/04/2020,,,26.37732671095251,36.45439817454716,45.33658600533503,44.58000790435155,45.311175483706485,44.86899830453481,47.8716907341952,47.35359885584309,49.28374576718821,51.353729021006586,51.21357405461528,55.68512120811352,65.19804469128007,75.09594017371457,77.95257391176365,,,,,,,,,,,,,,,,
12/04/2020,,,,36.45439817454572,45.33658600226015,44.580007211062195,45.311141460035145,44.86841627450865,47.86698673773445,47.33153775197018,49.21442527484477,51.192230872660936,50.9134715538253,55.21594419781795,64.55859457335545,74.3116604600989,77.1018266661035,83.67138532640364,,,,,,,,,,,,,,,
13/04/2020,,,,,45.33658600209096,44.580007139130764,45.31113574974975,44.86827478781578,47.865458206463934,47.32250707848122,49.180252225912405,51.09961316517757,50.71858326340654,54.878172969275035,64.05598924332207,73.64714249306894,76.32486205222804,82.83076916008764,99.02863291556531,,,,,,,,,,,,,,
14/04/2020,,,,,,44.58000713282069,45.311134919215846,44.86824438873276,47.865012147170475,47.31914377202472,49.1647598289798,51.05032911075355,50.60027124434172,54.6494289577622,63.68266606525863,73.1132570085598,75.65209291528355,82.05184432972797,98.21365744563195,109.54771489125389,,,,,,,,,,,,,
15/04/2020,,,,,,,45.31113481452117,44.86823861516119,47.864895228097765,47.318003944424696,49.15829953841845,51.02598949204981,50.53310621616716,54.50364302665945,63.42038939310039,72.70593137789814,75.09819545938119,81.36585748449389,97.44659375039723,108.74398815247,111.67986108638479,,,,,,,,,,,,
16/04/2020,,,,,,,,44.86823764574873,47.864867699082026,47.317652399845834,49.15582136140134,51.014831745783304,50.49744403186928,54.416179261858915,63.246022107903244,72.41056844111628,74.66384149469182,80.78987849130752,96.75904742128213,107.97833348762362,110.88111774554142,122.292364027047,,,,,,,,,,,
17/04/2020,,,,,,,,,47.864861876290206,47.317553723205386,49.15494680745203,51.0100835561467,50.47973207285056,54.36677705293094,63.13629296485,72.2069101000613,74.33906673591449,80.32790000805774,96.17023912185155,107.28247709759168,110.11345432909468,121.49992096472435,152.10563421604022,,,,,,,,,,
18/04/2020,,,,,,,,,,47.317528514246035,49.15466286510741,51.00820775388493,50.47150314796,54.34050448662198,63.07091983171563,72.07334221982781,74.10735428490301,79.97348037969174,95.68743159303229,106.67700845164114,109.4080885528121,120.73283437688899,151.31685847918192,160.31264146186578,,,,,,,,,
19/04/2020,,,,,,,,,,,49.15457805032015,51.00751979297926,50.46792671087947,54.327348778470416,63.03404449382218,71.99000754969782,73.94954039133054,79.71318543689443,95.3078298833391,106.17146291126511,108.7862189487881,120.0212936512491,150.54861147923032,159.53121141354103,185.26958231180888,,,,,,,,
20/04/2020,,,,,,,,,,,,51.00728555146856,50.46647260410143,54.32114592885536,63.014349567490555,71.94054074628485,73.8469034724866,79.53007335449712,95.02136634385263,105.76575034082364,108.2589043063772,119.38659381852432,149.83007503027812,158.76474038815036,184.47223456891282,200.6115823046352,,,,,,,
21/04/2020,,,,,,,,,,,,,50.465919528882154,54.31839208782252,63.004389390887695,71.91260309560926,73.78314834596527,79.40663676194418,94.81373031091152,105.45245633573285,107.82813372128852,118.84085868106226,149.18248903817175,158.0417036146069,183.689174829231,199.79027508983827,223.17613986682215,,,,,,
22/04/2020,,,,,,,,,,,,,,54.31724086343439,62.999619798349784,71.89759009825073,73.74531786521078,79.3268803306911,94.66910439346682,105.21948230419693,107.48871494327031,118.38779872197941,148.61877102273843,157.38344124808202,182.94788265667114,198.98542479372276,222.33989593499075,245.7356103785765,,,,,
23/04/2020,,,,,,,,,,,,,,,62.997457073785,71.88991375684179,73.72387282809464,79.27747596224786,94.5722639728038,105.05255222204826,107.23054638613522,118.02422125378186,148.14403699203118,156.80368699734962,182.2691743487335,198.22285332627698,221.52043824822172,244.8866434368545,261.1081490012633,,,,
24/04/2020,,,,,,,,,,,,,,,,71.8861790625936,73.7122583459028,79.24813320877527,94.50991225147297,104.93725599298064,107.04087035634163,117.74194680277395,147.75680774411126,156.30889756460962,181.6667977581085,197.52224888323607,220.74226802017282,244.05458407261756,260.24881531975933,269.2531010082001,,,
25/04/2020,,,,,,,,,,,,,,,,,73.70624824226427,79.23142180455208,94.47130180949631,104.86047000577773,106.90620491398118,117.52979505005099,147.4506240020806,155.89921277389044,181.14770921497438,196.89683881472243,220.02425147964928,243.26267672687936,259.40621106733585,268.37966237584965,297.792059367752,,
26/04/2020,,,,,,,,,,,,,,,,,,79.22229475973744,94.4483039884359,104.81114889140193,106.81378269316546,117.37536955722331,147.21578941131133,155.56982039187585,180.7128949663759,196.3536246286252,219.37933343204298,242.52899896442798,258.60241994462547,267.5240061652513,296.90633609092095,322.7583223921927,
27/04/2020,,,,,,,,,,,,,,,,,,,94.43512630555422,104.78058984835462,106.7524519892606,117.26646781437887,147.0410027210333,155.31248820877244,180.35855510538,195.8940748943206,218.81472343893373,241.8662051464187,257.85479122199666,266.70684098661263,296.03910932763785,321.87274849804743,322.52976752968107
