data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_36,yhat_model_32_to_36,yhat_model_33_to_36,yhat_model_34_to_36,yhat_model_35_to_36,yhat_model_36_to_36
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,26.21428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,29.142857142857142,29.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,32.07142857142857,32.785714285714285,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,35.0,35.82142857142857,35.57142857142857,33.178571428571416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,37.92857142857143,38.857142857142854,38.64285714285714,35.928571428571416,38.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,40.85714285714286,41.892857142857146,41.714285714285715,38.678571428571416,41.35714285714285,44.64285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,43.78571428571428,44.92857142857143,44.785714285714285,41.428571428571416,44.46428571428571,48.14285714285714,48.92857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,46.71428571428571,47.964285714285715,47.857142857142854,44.178571428571416,47.57142857142857,51.64285714285714,52.57142857142856,52.857142857142854,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,49.64285714285714,51.0,50.92857142857142,46.928571428571416,50.678571428571416,55.14285714285714,56.2142857142857,56.71428571428571,53.785714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,52.57142857142857,54.035714285714285,53.99999999999999,49.678571428571416,53.78571428571428,58.64285714285714,59.85714285714284,60.57142857142857,57.285714285714285,53.92857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,55.5,57.07142857142858,57.07142857142857,52.428571428571416,56.89285714285714,62.14285714285713,63.49999999999999,64.42857142857142,60.78571428571428,56.857142857142854,50.32142857142857,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,58.42857142857143,60.10714285714286,60.14285714285714,55.178571428571416,59.999999999999986,65.64285714285714,67.14285714285714,68.28571428571428,64.28571428571428,59.78571428571428,51.928571428571416,49.46428571428571,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,61.35714285714285,63.142857142857146,63.214285714285715,57.928571428571416,63.10714285714285,69.14285714285714,70.78571428571428,72.14285714285714,67.78571428571428,62.71428571428571,53.53571428571428,50.5,52.035714285714285,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,64.28571428571429,66.17857142857143,66.28571428571428,60.678571428571416,66.2142857142857,72.64285714285714,74.42857142857142,75.99999999999999,71.28571428571428,65.64285714285714,55.14285714285714,51.535714285714285,53.35714285714286,53.17857142857143,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,67.21428571428571,69.21428571428572,69.35714285714286,63.428571428571416,69.32142857142856,76.14285714285714,78.07142857142856,79.85714285714285,74.78571428571428,68.57142857142857,56.749999999999986,52.57142857142857,54.67857142857143,54.5,56.17857142857143,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,72.25,72.42857142857142,66.1785714285714,72.42857142857142,79.64285714285714,81.7142857142857,83.71428571428571,78.28571428571428,71.5,58.35714285714285,53.607142857142854,56.0,55.82142857142857,57.78571428571429,62.64285714285714,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,75.5,68.9285714285714,75.53571428571426,83.14285714285714,85.35714285714283,87.57142857142856,81.78571428571428,74.42857142857142,59.96428571428571,54.64285714285714,57.32142857142857,57.14285714285714,59.39285714285714,65.0,72.85714285714286,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,71.6785714285714,78.64285714285712,86.64285714285714,88.99999999999997,91.42857142857142,85.28571428571428,77.35714285714285,61.571428571428555,55.67857142857142,58.64285714285714,58.46428571428571,61.0,67.35714285714285,76.57142857142858,80.14285714285714,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,81.74999999999999,90.14285714285714,92.64285714285711,95.28571428571428,88.78571428571428,80.28571428571428,63.178571428571416,56.71428571428571,59.964285714285715,59.785714285714285,62.60714285714286,69.7142857142857,80.28571428571428,84.57142857142856,87.32142857142856,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,93.64285714285714,96.28571428571425,99.14285714285712,92.28571428571428,83.21428571428571,64.78571428571428,57.75,61.285714285714285,61.107142857142854,64.21428571428571,72.07142857142856,84.0,88.99999999999999,92.35714285714283,99.28571428571428,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,99.92857142857139,102.99999999999999,95.78571428571428,86.14285714285714,66.39285714285712,58.78571428571428,62.607142857142854,62.42857142857142,65.82142857142857,74.42857142857142,87.71428571428572,93.42857142857142,97.39285714285711,105.57142857142856,110.21428571428572,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,106.85714285714285,99.28571428571428,89.07142857142856,67.99999999999999,59.82142857142857,63.92857142857143,63.75,67.42857142857143,76.78571428571428,91.42857142857142,97.85714285714283,102.42857142857142,111.85714285714286,117.28571428571428,116.03571428571429,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,102.78571428571428,91.99999999999999,69.60714285714285,60.857142857142854,65.25,65.07142857142857,69.03571428571429,79.14285714285712,95.14285714285714,102.28571428571428,107.4642857142857,118.14285714285714,124.35714285714286,122.92857142857143,124.14285714285715,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,94.92857142857142,71.2142857142857,61.89285714285714,66.57142857142857,66.39285714285714,70.64285714285714,81.49999999999999,98.85714285714286,106.7142857142857,112.49999999999997,124.42857142857142,131.42857142857142,129.82142857142856,131.28571428571428,145.21428571428572,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,72.82142857142856,62.92857142857142,67.89285714285714,67.71428571428571,72.25,83.85714285714285,102.57142857142856,111.14285714285711,117.53571428571425,130.7142857142857,138.49999999999997,136.71428571428572,138.42857142857144,154.71428571428572,160.57142857142856,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,63.96428571428571,69.21428571428571,69.03571428571428,73.85714285714286,86.2142857142857,106.28571428571428,115.57142857142856,122.57142857142853,136.99999999999997,145.57142857142856,143.60714285714283,145.57142857142856,164.21428571428572,171.1428571428571,180.53571428571428,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,70.53571428571428,70.35714285714286,75.46428571428571,88.57142857142856,110.0,119.99999999999997,127.60714285714283,143.28571428571428,152.6428571428571,150.5,152.71428571428572,173.71428571428572,181.71428571428572,192.6428571428571,201.3928571428571,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,71.67857142857142,77.07142857142857,90.92857142857142,113.7142857142857,124.42857142857142,132.6428571428571,149.57142857142856,159.7142857142857,157.3928571428571,159.85714285714283,183.21428571428572,192.28571428571428,204.74999999999994,215.21428571428567,224.92857142857144,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,78.67857142857143,93.28571428571426,117.42857142857142,128.85714285714283,137.6785714285714,155.85714285714283,166.78571428571425,164.28571428571428,167.0,192.71428571428572,202.85714285714283,216.85714285714283,229.03571428571422,240.71428571428567,245.35714285714278,,,,,,,
24/04/2020,,,,,,,,,,,,,,,,95.64285714285712,121.14285714285714,133.28571428571425,142.71428571428567,162.14285714285714,173.8571428571428,171.1785714285714,174.1428571428571,202.21428571428572,213.42857142857144,228.96428571428567,242.85714285714278,256.5,262.0,259.57142857142867,262.9238095238095,261.4,263.20000000000005,260.0,252.99999999999994,227.0
