data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_39,yhat_model_35_to_39,yhat_model_36_to_39,yhat_model_37_to_39,yhat_model_38_to_39,yhat_model_39_to_39
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,24.04180805959133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,26.379397815383026,25.510658887544405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,28.713828419808056,27.791760978207666,28.859296878967687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,31.04806649529959,30.071734008837808,31.270996961747812,31.724665875820172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,33.380759451759346,32.35170703946795,33.682697044527934,34.19109544058309,32.22578609792464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,35.713339479453076,34.631680070098085,36.093282037804784,36.65653368613715,34.537682476918675,39.35636935062333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,38.04591950714682,36.91165310072824,38.501157999818304,39.12174402803345,36.84773269529825,41.99141449801063,41.29306417137525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,40.37849953484055,39.19162613135837,40.90884365821383,41.58695436992974,39.15702026610246,44.626459645397915,43.938733727969215,45.38455746728395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,42.71107956253429,41.471599161988514,43.31630124744481,44.05216471182604,41.466307836906665,47.2615047927852,46.5838405176207,48.06723516175785,46.42721054376641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,45.04356671186594,43.75157219261866,45.723758526051995,46.517375053722326,43.77559540771087,49.896549940172484,49.22894730727219,50.74991285623175,49.02421270750592,45.726682536567594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,47.37600772653766,46.0315452232488,48.13121331268681,48.982585395618614,46.084553174946436,52.531595087559786,51.874054096923686,53.43259055070567,51.62097986464579,48.16039556894415,41.75916083026622,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,49.708448741209374,48.31151825387894,50.538668099321626,51.44779573751491,48.39182700244483,55.166640234947074,54.51916088657518,56.115268245179564,54.217747021785655,50.59410860132072,43.86276346073138,53.9392973226023,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,52.040889755881075,50.59149128450908,52.94612288595644,53.913006079411204,50.699043937196535,57.801685382334355,57.16426767622668,58.797945939653474,56.81451417892553,53.027821633697286,45.966366091196555,56.545947958012405,56.3823746836384,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,54.373330770552805,52.871464315139214,55.35357767259126,56.3782164213075,53.00626087194825,60.43673052972165,59.80937446587817,61.480623634127376,59.41028305217263,55.461217121670344,48.069968721661716,59.15259859342251,58.97258331261874,54.11630580764451,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,56.705771785224506,55.15143734576936,57.76103245922607,58.843426763203794,55.313477806699964,63.071607254016605,62.45448125552966,64.16330132860129,62.00578299271012,57.89451026489162,50.173473485039736,61.75924922883262,61.56231977602009,56.480315265849185,60.610187989637915,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,57.43141037639951,60.16848724586089,61.30863710510009,57.62069474145167,65.70630526142061,65.09958804518115,66.84593188296722,64.6012829332476,60.327803408112906,52.274801160668126,64.36589986424273,64.15175065340513,58.84432472405386,63.185003450093774,61.89946048547864,,,,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,62.575830492466245,63.773847446996385,59.92791167620339,68.34100326882461,67.74469483483264,69.52808237594935,67.1967828737851,62.76109655133418,54.376128836296516,66.97255049965284,66.7400458882436,61.208334182258525,65.75981891054964,64.40004503207965,60.19013586629054,,,,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,66.23905778889268,62.23512861095509,70.9757012762286,70.38944456944432,72.21023286893148,69.79140189803786,65.19237740801468,56.477456511924906,69.57920113506293,69.32834112308205,63.572343640463195,68.33463437100549,66.90062957868062,62.50738393185525,71.62166690562313,,,,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,64.54234554570681,73.61039928363262,73.03406422158027,74.8923833619136,72.38581960911611,67.6233874338663,58.578297934505095,72.18585177047305,71.91663635792054,65.93635309866787,70.90944983146134,69.40121412528163,64.82463199741996,74.30944514558121,66.56328192008628,,,,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,76.24509729103659,75.67868387371618,77.57407550906527,74.98021224625325,70.0543974597179,60.67881979830996,74.79250240588317,74.504931592759,68.30036255687256,73.48426529191723,71.9017986718826,67.14188006298465,76.99722338553929,68.94236386171833,70.01352196454665,,,,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,78.32330352585214,80.25545948241579,77.57395719789623,72.4854074855695,62.779320887835276,77.39915304129326,77.09322682759746,70.66437201507722,76.05896709206343,74.40238321848358,69.45894178178024,79.68500162549736,71.3214458033504,72.45537003434721,82.67396433640639,,,,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,82.93638991267676,80.16770214953921,74.9164175114211,64.87982197736059,80.00580367670338,79.68148612590664,73.02838147328188,78.63358349651106,76.90296776508457,71.77585939194886,82.37277986545544,73.70052774498247,74.89721810414775,85.45848323959062,89.57549429341323,,,,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,82.76144710118221,77.3474275372727,66.98032306688593,82.61245431211347,82.2691199678643,75.39239093148655,81.20819990095872,79.40355231168556,74.09277700211747,85.0605581054135,76.07960968661453,77.3390661739483,88.24300214277484,92.48856770475805,87.52102325002427,,,,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,79.77843756312429,69.08082415641125,85.21874113787459,84.85675380982195,77.75640038969124,83.78281630540636,81.90413685828653,76.40969461228609,87.7483363453716,78.45869162824658,79.78091424374884,91.02752104595909,95.40164111610287,90.27311810331003,103.82553872471316,,,,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,71.18132524593658,87.82476485586469,87.4443876517796,80.1204098478959,86.35743270985402,84.40472140488752,78.7266122224547,90.43611458532965,80.837724575327,82.22276231354938,93.81203994914333,98.31471452744769,93.0252129565958,107.00317105882806,98.8775573194038,,,,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,90.43078857385481,90.03202149373726,82.48441930610058,88.93204911430165,86.90528507044277,81.04352983262332,93.12389282528773,83.21659589444585,84.66461038334992,96.59655885232756,101.22778793879249,95.77730780988153,110.18080339294299,101.80531254857607,102.59130105410398,,,,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,92.61965533569492,84.84842876430525,91.5066655187493,89.40583211623081,83.36044744279194,95.8116710652458,85.5954672135647,87.10645845315047,99.38107775551178,104.1407084131047,98.52940266316728,113.3584357270579,104.73306777774833,105.53752709201558,107.1588875341799,,,,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,87.21210487783178,94.08128192319693,91.90637916201884,85.67736505296055,98.49944930520388,87.97433853268353,89.54830652295102,102.16559665869603,107.05354453439924,101.28149751645303,116.53606806117283,107.66082300692061,108.48375312992717,110.15467787477452,109.45522886935514,,,,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,96.65589832764458,94.40692620780689,87.99428266312917,101.18722754516195,90.35320985180238,91.99015459275157,104.95011556188025,109.96638065569374,104.03359236973878,119.71370039528774,110.58857823609284,111.42997916783875,113.15046821536913,112.43155458801628,136.88181763292047,,,,,,,,,,
24/04/2020,,,,,,,,,,,,,,,,96.90640052148103,90.31120027329776,103.87500578512002,92.73208117092122,94.43200266255211,107.73463446506447,112.87921677698823,106.78568722302455,122.89133272940265,113.51633346526512,114.37620520575034,116.14625855596374,115.40788030667747,140.50456716921036,120.55765538466495,,,,,,,,,
25/04/2020,,,,,,,,,,,,,,,,,92.6281178834664,106.56278402507809,95.11095249004006,96.87385073235266,110.51915336824874,115.79205289828276,109.5377820763103,126.06896506351758,116.4440886944374,117.32243124366194,119.14204889655838,118.38420602533864,144.12731670550022,123.65891863582043,119.85793740398036,,,,,,,,
26/04/2020,,,,,,,,,,,,,,,,,,109.25056226503617,97.48959622779407,99.3156988021532,113.30367227143297,118.70488901957725,112.28987692959603,129.2465973976325,119.37184392360963,120.26865728157354,122.13783923715297,121.36053174399979,147.75006624179008,126.76018188697589,122.86838573261005,134.5116226610203,,,,,,,
27/04/2020,,,,,,,,,,,,,,,,,,,99.86759242948948,101.75754687195375,116.0881911746172,121.61772514087176,115.0419717828818,132.4242297317474,122.29959915278191,123.21488331948512,125.13362957774758,124.33685746266096,151.37281577807994,129.86144513813136,125.87883406123976,137.8089080537662,160.61860510521257,163.45865155239977,98.09570774967374,128.55865644261118,174.05829850789368,175.27959185393024,163.84051159058563
