data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45,yhat_model_1_to_46,yhat_model_1_to_47,yhat_model_1_to_48,yhat_model_1_to_49,yhat_model_1_to_50
08/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,1.0,1.0,1.0,1.0,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,1.0,1.0,1.0,1.0,4.6,5.4625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,1.0,1.0,1.0,1.0,4.6,5.6640625,7.55581640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,1.0,1.0,1.0,1.0,4.6,5.880742187499999,7.969993981933594,7.147520765718538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,1.0,1.0,1.0,1.0,4.6,6.1136728515625,8.424812732231139,7.875213269208786,7.423540488781963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,1.0,1.0,1.0,1.0,4.6,6.364073315429687,8.924260572401632,8.687463881950194,8.310557560841946,9.187606408473039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,1.0,1.0,1.0,1.0,4.6,6.633253814086913,9.472716731888855,9.594098284165984,9.303561700301215,10.138034179956339,11.287111054429534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,1.0,1.0,1.0,1.0,4.6,6.922622850143432,10.074990152025762,10.606083903366585,10.4152169908733,11.200508160696929,12.445767340397577,11.571087835525521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,1.0,1.0,1.0,1.0,4.6,7.233694563904189,10.736361651513604,11.735662585761515,11.659700710477779,12.38823751122821,13.744785605258533,13.021511202401392,12.684504322769202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,1.0,1.0,1.0,1.0,4.6,7.568096656197003,11.462630229388688,12.996498684133126,13.052884138376163,13.715988623900298,15.201169584595883,14.653743572292576,14.256880402645816,14.14679353162881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,,1.0,1.0,1.0,4.6,7.927578905411778,12.260163911467767,14.403844353570204,14.612534966422002,15.200268705396475,16.833982881102937,16.49057450742781,16.024168831768126,15.741753144413988,17.341355650997876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,,,1.0,1.0,4.6,8.31402232331766,13.135955586100854,15.974724054620404,16.35854389583736,16.859531001846445,18.66459850107377,18.55765021705529,18.010531020612095,17.52847289322639,19.20373824252534,18.163454404161556,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,,,,1.0,4.6,8.729448997566484,14.097684318807312,17.72814049576994,18.31317830937326,18.71440421798852,20.716978620252156,20.88383163506227,20.243123437475546,19.530007875809194,21.292918625587877,20.432218160024732,19.74615691492664,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,,,,4.6,9.17603267238397,15.153782683410592,19.685304506507414,20.50136625401232,20.787948982624215,23.017988241084414,23.5015973822376,22.75246887700844,21.77218507744674,23.63651585036303,22.98436903297391,22.177042586735144,21.149622019696867,,,,,,,,,,,,,,,,,,,,,,,,,,
