data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45,yhat_model_1_to_46
08/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,1.0,1.0,1.0,1.0,1.0,2.115384615384615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,1.0,1.0,1.0,1.0,1.0,2.2307692307692304,3.2527472527472527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,1.0,1.0,1.0,1.0,1.0,2.346153846153846,3.467032967032967,4.712087912087911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,1.0,1.0,1.0,1.0,1.0,2.4615384615384612,3.6813186813186816,5.0395604395604385,5.802380952380951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,1.0,1.0,1.0,1.0,1.0,2.5769230769230766,3.895604395604396,5.367032967032966,6.1952380952380945,6.6279411764705864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,1.0,1.0,1.0,1.0,1.0,2.6923076923076916,4.10989010989011,5.694505494505494,6.588095238095238,7.0558823529411745,7.769607843137256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,1.0,1.0,1.0,1.0,1.0,2.8076923076923075,4.324175824175825,6.021978021978021,6.98095238095238,7.4838235294117625,8.252450980392158,9.142758857929135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,1.0,1.0,1.0,1.0,1.0,2.9230769230769225,4.538461538461538,6.349450549450548,7.3738095238095225,7.911764705882351,8.735294117647062,9.690746474028206,10.235087719298244,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,1.0,1.0,1.0,1.0,1.0,3.0384615384615383,4.752747252747253,6.676923076923076,7.766666666666667,8.339705882352938,9.218137254901961,10.238734090127277,10.821052631578945,11.110526315789475,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,1.0,1.0,1.0,1.0,1.0,3.1538461538461533,4.967032967032967,7.0043956043956035,8.159523809523808,8.767647058823528,9.700980392156865,10.786721706226349,11.407017543859647,11.715789473684211,12.426839826839824,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,,1.0,1.0,1.0,1.0,3.2692307692307683,5.181318681318682,7.331868131868131,8.55238095238095,9.195588235294114,10.183823529411768,11.33470932232542,11.992982456140348,12.321052631578947,13.077489177489175,14.089215132693392,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,,,1.0,1.0,1.0,3.384615384615384,5.395604395604396,7.659340659340659,8.945238095238093,9.623529411764704,10.666666666666668,11.88269693842449,12.578947368421051,12.926315789473684,13.728138528138524,14.80180688876341,15.471343873517785,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,,,,1.0,1.0,3.499999999999999,5.60989010989011,7.986813186813185,9.338095238095235,10.05147058823529,11.149509803921571,12.43068455452356,13.164912280701753,13.53157894736842,14.378787878787877,15.514398644833426,16.223320158102766,16.80289855072464,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,,,,1.0,3.615384615384615,5.824175824175825,8.314285714285713,9.730952380952381,10.47941176470588,11.632352941176475,12.978672170622632,13.750877192982454,14.136842105263156,15.029437229437226,16.226990400903446,16.975296442687746,17.58768115942029,17.92307692307692,,,,,,,,,,,,,,,,,,,,,
