data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45,yhat_model_1_to_46,yhat_model_1_to_47,yhat_model_1_to_48,yhat_model_1_to_49,yhat_model_1_to_50
08/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,1.0569892632788414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,1.1166782004113045,1.799758961293747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,1.1820173865014438,1.9480003526820728,1.1748933370972292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,1.250595374834905,2.0962417440703978,1.2756023194067936,2.048647637475728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,1.320855940824274,2.244483135458724,1.377295892599926,2.208257427980745,4.453998603325141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,1.3912283700680517,2.392826795720149,1.4821916030486837,2.367867218485761,4.560762891750773,5.407465534894161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,1.4616007993118285,2.541592972341931,1.5870873134974413,2.5270893660770652,4.667527180176407,5.621712034550775,7.625682371725295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,1.5319732285556056,2.6903591489637133,1.6886768797319818,2.685451600161667,4.773119230327075,5.835958534207389,7.976012455857482,7.418714913837174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,1.6031671043579971,2.839125325585496,1.7900012682584987,2.8463599044565013,4.878702378013902,6.050205033864003,8.322706268537608,7.732236220661144,7.313533392790663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,1.6757384814801954,2.9878915022072787,1.8912918255899083,3.007800660210222,4.984284362784633,6.264451533520617,8.667530831726923,8.045757527485115,7.606471817792625,9.582945872189736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,1.7483098586023949,3.136657678829062,1.9925006113659278,3.1692414159639433,5.089866347555365,6.478698033177231,9.012355394916238,8.359278834309084,7.899410242794588,9.906024367585342,11.774415771767064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,1.8208812357245932,3.285423855450844,2.0937093971419474,3.3306821717176653,5.195448332326097,6.692944532833847,9.355371403765997,8.672804252053758,8.192348667796548,10.22907299687208,12.13861616868796,11.520831975105247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,1.8934526128467912,3.4341900320726264,2.194918182917966,3.492826895820436,5.301030317096829,6.907191032490461,9.69632407230652,8.986329879728526,8.485287092798512,10.55212162615882,12.502816565608857,11.96153274764174,11.324013016961567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,1.9660239899689904,3.5829562086944087,2.2961269686939865,3.655545071721868,5.40661230186756,7.121437532147075,10.037276740847046,9.29985550740329,8.778221340075724,10.87517025544556,12.867016962529753,12.402233520178235,11.76858004269472,14.840427495167429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,2.038595367091188,3.731722385316191,2.397335754470006,3.8182632476233014,5.512194286638291,7.335684031803689,10.37822940938757,9.613381135078056,9.071145173490752,11.1982188847323,13.23121735945065,12.84293429271473,12.21314706842787,15.289471500858767,18.211138780214085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,,3.8804885619379728,2.4985445402460247,3.9809814235247343,5.6177762714090225,7.549930531460303,10.719182077928094,9.926906762752822,9.364069006905776,11.521267514019037,13.59541775637155,13.283635065251225,12.657714094161022,15.7382560801946,18.69192984740697,17.882748887905887,,,,,,,,,,,,,,,,,,,,,,,,,,,,
