data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45,yhat_model_1_to_46,yhat_model_1_to_47,yhat_model_1_to_48,yhat_model_1_to_49,yhat_model_1_to_50
08/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,1.0,1.0,1.0,1.0,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,1.0,1.0,1.0,1.0,4.6,5.719410337423788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,1.0,1.0,1.0,1.0,4.6,5.674192000137495,7.951494919508837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,1.0,1.0,1.0,1.0,4.6,5.597917875906351,7.7378959534661345,7.7473326216670255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,1.0,1.0,1.0,1.0,4.6,5.53025314628173,7.505905599366128,7.350033616390392,7.569351056136703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,1.0,1.0,1.0,1.0,4.6,5.4872742065618585,7.324798555864754,6.97579397664729,7.038038406934417,9.795118897699265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,1.0,1.0,1.0,1.0,4.6,5.46611780779618,7.212764534219246,6.694074966613085,6.560039909399692,9.18860760698831,12.094666815539842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,1.0,1.0,1.0,1.0,4.6,5.457774164578035,7.15571731574188,6.516407815885039,6.198765189021925,8.647884924367379,11.475682927112427,12.062179419519357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,1.0,1.0,1.0,1.0,4.6,5.455091624044157,7.131348644718067,6.420458444650567,5.9623060757231725,8.230165353081986,10.915528467366496,11.483135070918589,11.990453422127775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,1.0,1.0,1.0,1.0,4.6,5.454381231698048,7.122520910546388,6.3755556834888285,5.826242833429811,7.944442502089563,10.467913197048972,10.958144858528271,11.442742069285302,15.445069951920193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,1.0,1.0,1.0,1.0,4.6,5.454225237706447,7.119790616943283,6.357217860935862,5.756831950860902,7.76944676533343,10.146582813256552,10.528903947194857,10.934179886245676,14.869857644964661,18.890026088739567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,,1.0,1.0,1.0,4.6,5.454196704027446,7.119066464450304,6.350653811536896,5.725284693110783,7.672867514973813,9.937440613107732,10.20854266128501,10.503143527862978,14.323929312173455,18.278350178659455,18.715642260440042,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,,,1.0,1.0,4.6,5.454192342239214,7.118901261194081,6.348588528849229,5.712471494782756,7.624656474016689,9.813367313425687,9.988862160274252,10.166605026926167,13.848895409263621,17.690365975914432,18.0581799992933,19.806571097342996,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,,,,1.0,4.6,5.454191783674206,7.118868775626881,6.348016274946766,5.70781198880595,7.602838524449465,9.746060186557257,9.849946652554678,9.92335587805669,13.466417170472932,17.16977681096365,17.424708253850625,19.153647745681283,19.713732321435437,,,,,,,,,,,,,,,,,,,,,,,,,,
