data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_47,yhat_model_43_to_47,yhat_model_44_to_47,yhat_model_45_to_47,yhat_model_46_to_47
08/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,1.0,1.0,1.0,1.0,1.0,2.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,1.0,1.0,1.0,1.0,1.0,2.8890624999999996,4.22091796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,1.0,1.0,1.0,1.0,1.0,3.1057421874999998,4.635095544433594,6.262396171407311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,1.0,1.0,1.0,1.0,1.0,3.3386728515624995,5.08991429473114,6.99008867489756,7.423540488781963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,1.0,1.0,1.0,1.0,1.0,3.5890733154296868,5.589362134901633,7.802339287638967,8.310557560841946,8.061967957634804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,1.0,1.0,1.0,1.0,1.0,3.8582538140869134,6.137818294388857,8.708973689854757,9.303561700301215,9.012395729118104,757.706613589791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,1.0,1.0,1.0,1.0,1.0,4.147622850143431,6.740091714525763,9.720959309055358,10.4152169908733,10.074869709858694,2608.8441639976418,13.912942861759653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,1.0,1.0,1.0,1.0,1.0,4.458694563904189,7.401463214013604,10.850537991450288,11.659700710477779,11.262599060389975,8982.458051645355,17.0219854244158,18.760852994631353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,1.0,1.0,1.0,1.0,1.0,4.793096656197003,8.127731791888689,12.111374089821899,13.052884138376163,12.590350173062063,30927.317837924104,20.825787230493795,24.895115649931178,10.99843045446769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,,1.0,1.0,1.0,1.0,5.152578905411778,8.925265473967768,13.518719759258977,14.612534966422002,14.07463025455824,106485.21631256297,25.479601994470837,33.0351068472634,11.228153068250139,12.847344393736766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,,,1.0,1.0,1.0,5.539022323317661,9.801057148600854,15.089599460309177,16.35854389583736,15.73389255100821,366637.0731712449,31.173377054676124,43.83664248666088,11.462673864782527,13.20516968230549,22.629510883352378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,,,,1.0,1.0,5.954448997566485,10.762785881307313,16.843015901458713,18.31317830937326,17.588765767150285,1262360.617543468,38.139506150994336,58.16997152114583,11.702093063008576,13.572961150126147,28.141007120368595,22.44121185967871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,,,,1.0,6.401032672383971,11.818884245910592,18.80017991219619,20.50136625401232,19.66231053178598,4346408.056722692,46.66231466967534,77.18988943554612,11.94651297513047,13.95099637603974,34.99484747287299,26.685096128466558,17.52892462261984,,,,,,,,,,,,,,,,,,,,,,,,,,,,
