data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_49,yhat_model_44_to_50,yhat_model_45_to_50,yhat_model_46_to_50,yhat_model_47_to_50,yhat_model_48_to_50,yhat_model_49_to_50,yhat_model_50_to_50
08/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,1.1754555401578972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,1.062793459942321,1.1754555401578972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,1.0530370037840238,1.062793459942321,1.1754555401578972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,1.0527366155072009,1.0530370037840238,1.062793459942321,1.1754555401578972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,1.0527332547386277,1.0527366155072009,1.0530370037840238,1.062793459942321,1.1754555401578972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,1.0527332409681187,1.0527332547386277,1.0527366155072009,1.0530370037840238,1.062793459942321,1.0270764467071396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,1.0527332409473957,1.0527332409681187,1.0527332547386277,1.0527366155072009,1.0530370037840238,0.2366002971116067,1.106850072366707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,1.0527332409473842,1.0527332409473957,1.0527332409681187,1.0527332547386277,1.0527366155072009,0.16473354781079208,0.6772340220239813,1.1807328793216776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,1.0527332409473842,1.0527332409473842,1.0527332409473957,1.0527332409681187,1.0527332547386277,0.16248409997175434,0.6421677064192238,0.09994709665436374,1.0749337284940073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,1.0527332409473842,1.0527332409473842,1.0527332409473842,1.0527332409473957,1.0527332409681187,0.16245878435096772,0.6411121921219926,0.0030534083733762467,0.498089717283305,1.003269010788616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,1.0527332409473842,1.0527332409473842,1.0527332409473842,1.0527332409473842,1.0527332409473957,0.16245868039948108,0.6411004821037632,3.4066925726495896e-05,0.45103456631126326,0.10180539673691844,1.26774852281353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,1.0527332409473842,1.0527332409473842,1.0527332409473842,1.0527332409473842,1.0527332409473842,0.16245868024292373,0.6411004342721807,1.3944555969973008e-07,0.44961814981697684,0.022113762216959928,0.10500070769598581,1.440971072288247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,1.0527332409473842,1.0527332409473842,1.0527332409473842,1.0527332409473842,1.0527332409473842,0.1624586802428371,0.6411004342002825,2.097708868372143e-10,0.4496024352506983,0.019641908831293162,0.003181824175194038,0.11851253568410769,1.2559122075991098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,1.0527332409473842,1.0527332409473842,1.0527332409473842,1.0527332409473842,1.0527332409473842,0.16245868024283708,0.6411004342002428,1.160460398205793e-13,0.4496023710605855,0.019614178638259254,3.539312697100909e-05,0.0035821707588132505,0.1019388154937103,1.3878066379962617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
