data,yhat,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_45,yhat_model_41_to_45,yhat_model_42_to_45,yhat_model_43_to_45,yhat_model_44_to_45,yhat_model_45_to_45
08/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,1.0,1.0,1.0,1.0,1.0,3.0357142857142856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,1.0,1.0,1.0,1.0,1.0,3.3571428571428568,5.214285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,1.0,1.0,1.0,1.0,1.0,3.678571428571428,5.857142857142858,8.035714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,1.0,1.0,1.0,1.0,1.0,3.999999999999999,6.5,9.07142857142857,9.785714285714288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,1.0,1.0,1.0,1.0,1.0,4.32142857142857,7.142857142857144,10.107142857142854,11.0,10.464285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,1.0,1.0,1.0,1.0,1.0,4.6428571428571415,7.7857142857142865,11.142857142857142,12.214285714285715,11.642857142857142,11.428571428571427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,1.0,1.0,1.0,1.0,1.0,4.964285714285713,8.428571428571429,12.178571428571427,13.42857142857143,12.821428571428573,12.57142857142857,12.32142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,1.0,1.0,1.0,1.0,1.0,5.285714285714285,9.071428571428573,13.214285714285712,14.642857142857142,14.0,13.714285714285712,13.357142857142854,13.142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,,1.0,1.0,1.0,1.0,1.0,5.607142857142856,9.714285714285715,14.25,15.857142857142858,15.17857142857143,14.857142857142854,14.392857142857139,14.142857142857142,13.285714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,,1.0,1.0,1.0,1.0,1.0,5.928571428571427,10.357142857142858,15.285714285714285,17.071428571428573,16.357142857142858,15.999999999999996,15.428571428571423,15.142857142857142,14.14285714285714,15.535714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,,,1.0,1.0,1.0,1.0,6.249999999999998,11.000000000000002,16.32142857142857,18.285714285714285,17.535714285714285,17.142857142857142,16.464285714285708,16.142857142857142,14.999999999999998,16.642857142857142,18.57142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,,,,1.0,1.0,1.0,6.57142857142857,11.642857142857144,17.357142857142854,19.5,18.714285714285715,18.285714285714285,17.499999999999996,17.142857142857142,15.857142857142856,17.75,19.999999999999993,19.82142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,,,,,1.0,1.0,6.8928571428571415,12.285714285714286,18.39285714285714,20.714285714285715,19.892857142857142,19.428571428571427,18.53571428571428,18.142857142857142,16.714285714285715,18.857142857142858,21.428571428571423,21.214285714285715,21.107142857142854,,,,,,,,,,,,,,,,,,,,,,,,,,,
