data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_49,yhat_model_44_to_50,yhat_model_45_to_50,yhat_model_46_to_50,yhat_model_47_to_50,yhat_model_48_to_50,yhat_model_49_to_50,yhat_model_50_to_50
08/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,2.0718203315191963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,2.293063748291565,1.813239128841337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,2.514386635436611,1.962265023214206,1.07865502699758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,2.737420486185727,2.1112909175870755,1.0964291287814405,1.1008846049693435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,2.960454336934842,2.260227425982376,1.1142032305653,1.1291297266127556,2.0517357752550582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,3.1834881876839582,2.4084058276826346,1.1325029876156882,1.1573748482561672,2.214306356938901,2.579003717577683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,3.406522038433074,2.5565842293828944,1.1524101445568293,1.189096778957983,2.3768769386227433,2.7502165017550446,3.447484800810385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,3.6303282427703922,2.704762631083154,1.1723173014979698,1.2241784865559422,2.5394475203065863,2.9214447957158867,3.6734142463888197,4.9351917115796455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,3.855070099886696,2.8529410327834124,1.1922244584391104,1.2592601941539008,2.7020181019904284,3.0921637518749177,3.8990935037384222,5.233002839096139,5.682552795394509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,4.079811957003001,3.0011194344836727,1.2121316153802506,1.2944125790471144,2.864588683674271,3.262627579117585,4.124772761088025,5.530813966612629,6.010647753772446,7.298803151180213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,4.304553814119306,3.1492978361839317,1.2325074116303292,1.329854966218379,3.0271592653581134,3.4328344060011706,4.350452018437627,5.828625094129121,6.337151142675868,7.798831918452856,8.361709671790969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,4.529295671235608,3.2974762378841898,1.255128364866854,1.3664049962090665,3.1893526265702095,3.6020131084227978,4.57587169455939,6.126436221645612,6.663616655155344,8.293574014616043,8.776944159035331,9.62080218289892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,4.754037528351911,3.445654639584449,1.277762347663093,1.4074381623061936,3.3502440301366763,3.771191810844423,4.801145968384957,6.423968588747574,6.99008216763482,8.787332882254887,9.192178646279697,10.063380395274972,10.921798663590554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,4.978779385468217,3.593833041284708,1.301826307553258,1.4484713284033195,3.511135433703142,3.94037051326605,5.026420242210524,6.721396419162333,7.316547680114295,9.281091749893731,9.607413133524057,10.505958607651023,11.423308009325533,11.743293596086652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,5.20352124258452,3.742011442984967,1.3261206859705164,1.4895044945004468,3.672026837269609,4.109549215687675,5.25161820745147,7.018824249577092,7.64301319259377,9.773405557138462,10.02264762076842,10.948536820027075,11.92481735506051,12.253925484989551,12.984776900838252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
