data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,29.633983254293046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,30.75025476799686,34.31046550533659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,32.02566405538318,38.58087016899013,49.97033724947332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,33.48289809780172,43.74312968874778,57.23327011273355,54.98499067659276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,35.14787817547954,49.98350395026541,66.13704156498211,66.76683629837945,67.58581995664083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,37.05022095527292,57.527152380718576,77.0523491365146,81.3772454330824,83.16718067633677,81.56609032628457,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,39.22376531195938,66.64625794353769,90.43363818016653,99.49529433101392,102.53776241611817,101.51798881538578,112.97036900129888,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,41.70717425416731,77.66984779299769,106.83802214244268,121.96309060156045,126.61906338126751,126.35032538515246,137.69039768688413,141.53612221560988,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,44.5446226620021,90.99566492846141,126.94847729395485,149.82491347766583,156.5566803286791,157.25690501971786,168.45185953806092,174.27516319340927,170.09539685951646,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,47.78658306984623,107.10451919035299,151.60227760312944,184.37575080197925,193.77480694845863,195.7235495911638,206.7312461543553,215.11464064449274,212.48904932794719,199.99884353946337,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,51.490723471838294,126.57763539725887,181.82585360404124,227.22148868207148,240.04398567164037,243.5995281718249,254.36589521001062,266.0587999315209,265.448665383849,249.14425935930237,232.84348617993874,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,55.72293312019548,150.11762456363505,218.8775265642931,280.3535513657665,297.5653359961348,303.186459930291,313.64217916408995,329.6077855562928,331.6076483796435,310.3661044892354,289.153366686166,267.8125167482966,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,60.558494563280874,178.5738348622514,264.2998971372538,346.2414605184709,369.07526624470216,377.3489635834762,387.40524678529414,408.88033869008785,414.2557368102251,386.6319017886952,359.0809897139738,331.40636935559763,306.2782532070468,,,,,,,,,,,,,,,,,,,,,
05/04/2020,66.08342277162956,212.9729970214129,319.9840696355027,427.947615959096,457.97565010751634,469.6523728344025,479.19558487574227,507.76685306272276,517.5025857175526,481.63837905800654,445.91961232086106,410.10100268271856,377.6328704499433,347.7842227941321,,,,,,,,,,,,,,,,,,,,
06/04/2020,,254.5562698759091,388.24838582380283,529.2696327408893,568.4956607337894,584.534138412149,593.4189548964429,631.1203006079938,646.4821182356709,599.990655474687,553.7589188744763,507.48219694266544,465.6111994600555,427.1888067023985,419.6944684070954,,,,,,,,,,,,,,,,,,,
07/04/2020,,,471.9349462158564,654.9168502530424,705.8929611513046,727.517156800799,735.5578611289236,784.9943967659908,807.607808604432,747.4254592439547,687.677625653253,627.9871995655737,574.0861191567496,524.7227004884658,510.51553680306455,537.7959013045349,,,,,,,,,,,,,,,,,,
08/04/2020,,,,810.7292172980609,876.7038220537485,905.4752813535889,912.4347004421435,976.9406936844525,1008.8915905344292,931.089196187665,853.9826641262471,777.1069117184555,707.8327853596483,644.5251094786286,621.7775001458443,651.5239461662113,636.1143682346908,,,,,,,,,,,,,,,,,
09/04/2020,,,,,1089.0540655707211,1126.963780136464,1132.5392243524693,1216.3791815172563,1260.3422485599583,1159.884347710496,1060.5062073022714,961.6360853507133,872.7388371032819,791.6802843896967,758.0809449910216,790.9647966804916,780.9006062712727,808.6833944817278,,,,,,,,,,,,,,,,
10/04/2020,,,,,,1402.6306271341646,1406.4360309321105,1515.0605855144051,1574.4631022880594,1444.900988618759,1316.974527670721,1189.9829311821607,1076.0635753843817,972.4332899898188,925.0619016313838,961.9318683099626,958.6772845859475,986.5656309066253,973.571539988149,,,,,,,,,,,,,,,
11/04/2020,,,,,,,1747.2716454017582,1887.6430466766326,1966.873730765528,1799.9543411655388,1635.4660581813682,1472.552245154614,1326.7575236049558,1194.4550371232283,1129.6248891054095,1171.5529332543647,1176.9614791418842,1204.9843495724458,1196.3292891198748,1148.309247703626,,,,,,,,,,,,,,
12/04/2020,,,,,,,,2352.411487255637,2457.0866520489094,2242.254421445004,2030.9802287474927,1822.2195107922585,1635.856437026559,1467.1678256962905,1380.2284111251386,1428.5672837350028,1444.9830781763444,1473.1771586040593,1470.055059357515,1408.345796358747,1300.9912412560222,,,,,,,,,,,,,
13/04/2020,,,,,,,,,3069.477578170281,2793.2402369907,2522.1438677547785,2254.917580301768,2016.9671058583112,1802.1452142248409,1687.2347079346578,1743.6900810097163,1774.075057076267,1802.4867674856866,1806.4105737413597,1727.2680561336651,1589.7908785680263,1429.5091524074178,,,,,,,,,,,,
14/04/2020,,,,,,,,,,3479.6189704983603,3132.0884367131425,2790.3626669781897,2486.8663374330104,2213.6031858606134,2063.3382260379453,2130.0590801591275,2178.1526797992874,2206.8407055847024,2219.7258124132636,2118.4107947447565,1942.69950283295,1738.4126158843803,1596.244970353265,,,,,,,,,,,
15/04/2020,,,,,,,,,,,3889.5394116137604,3452.9527293071383,3066.2394851628915,2719.003455312516,2524.090522651047,2603.782355005471,2674.3018893038457,2703.340360761648,2727.6095223959833,2598.128460348155,2373.9483030037404,2114.067208297709,1933.5907090670623,1730.2732617257523,,,,,,,,,,
16/04/2020,,,,,,,,,,,,4272.879182311252,3780.591034931428,3339.7945201850303,3088.543309226544,3184.609858312386,3283.5017663797757,3312.984250344495,3351.6994148825565,3186.4789932230324,2900.9275686312553,2570.8972198904676,2342.2301085547274,2085.3989061579273,1930.0970132674463,,,,,,,,,
17/04/2020,,,,,,,,,,,,,4661.367333688415,4102.321905941056,3780.036223347339,3896.756815219182,4031.5116051940395,4061.5561138501143,4118.584011195273,3908.062487753611,3544.8879606168857,3126.4438941667577,2837.2301623580147,2513.4114327508896,2317.9575457898723,2081.9282407971245,,,,,,,,
18/04/2020,,,,,,,,,,,,,,5038.946234043015,4627.16190268051,4769.913277928255,4949.9601144888,4980.715387661099,5060.935411437459,4793.049770818915,4331.797453066251,3802.038972133257,3436.84207832221,3029.2703288703447,2783.760167054205,2488.119695475248,2261.3530021583133,,,,,,,
19/04/2020,,,,,,,,,,,,,,,5664.948265969734,5840.48193089577,6077.682800012497,6109.336181229566,6218.901245942623,5878.443903478249,5293.388502785246,4623.623783107328,4163.174221124628,3651.005404766036,3343.1676441843456,2973.5605184170718,2690.772925141031,2409.5361688135536,,,,,,
20/04/2020,,,,,,,,,,,,,,,,7153.095751746054,7462.364077813592,7495.151384283325,7641.81511176447,7209.627351822079,6468.437673969537,5622.745333333856,5043.007272506905,4400.346954377519,4014.9902385263476,3553.712537531242,3201.7376003488475,2852.7572649065705,2535.793152796933,,,,,
21/04/2020,,,,,,,,,,,,,,,,,9162.55355320974,9196.77143945062,9390.298365083669,8842.259517248342,7904.329319492218,6837.767639970151,6108.781665084251,5303.485251931676,4821.818206904427,4247.054237231238,3809.731979130237,3377.5064752335493,2986.2732654319434,2683.618549157203,,,,
22/04/2020,,,,,,,,,,,,,,,,,,11286.163160487486,11538.842813606505,10844.60396564174,9658.96637489632,8315.344822935598,7399.793697525036,6391.985929535795,5790.781406474507,5075.669318631611,4533.181529687568,3998.7804537650204,3516.7805410300766,3145.0365888172837,2824.367594577079,,,
23/04/2020,,,,,,,,,,,,,,,,,,,14178.984341136227,13300.38266149088,11803.105318664928,10112.212518035152,8963.64443321057,7703.893229174561,6954.461545139611,6065.9500898894685,5394.010626908203,4734.334407547652,4141.531693342501,3685.790273027376,3293.8400199516686,2956.0054731696355,,
24/04/2020,,,,,,,,,,,,,,,,,,,,16312.276548092364,14423.209457025543,12297.366397585749,10857.994804895707,9285.05968892704,8351.98775224888,7249.438090452691,6418.306977705328,5605.189517565516,4877.269015466188,4319.5204739579785,3841.3491564860537,3430.442815595148,3140.9379956197513,
