data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,30.708910759580117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,28.464805156219146,37.548516443745214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,28.259957989084338,33.64710024174509,55.64237844839747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,28.253537152888637,33.301922223962436,52.161574878793544,63.280617936045005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,28.253464854855324,33.29121920174061,51.863511150999706,56.32266338893091,79.18459194538431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,28.253464557928176,33.29109915553988,51.85437318367114,55.703180604285656,73.5967974184961,95.20403321626885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,28.253464557480957,33.29109866321285,51.85427110901346,55.68392468123014,73.12221930494927,86.058719242655,131.144088991255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,28.253464557480708,33.29109866247171,51.854270691014094,55.683708504483185,73.10771418076494,85.24958110061773,121.70583335182884,164.64161490721867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,28.253464557480708,33.2910986624713,51.85427069038519,55.68370761760605,73.10755233578814,85.22448202263534,120.88991493717825,149.25297945439615,177.55637999540687,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,28.253464557480708,33.2910986624713,51.854270690384844,55.6837076162708,73.10755167330306,85.2242004541957,120.86481581203095,147.8923568718158,160.83350982518357,206.28159653928896,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,28.253464557480708,33.2910986624713,51.854270690384844,55.68370761627006,73.10755167230647,85.22419929935263,120.86453509930926,147.85016465032695,159.38343714194716,189.21165774176328,235.21245012401602,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,28.253464557480708,33.2910986624713,51.854270690384844,55.68370761627006,73.10755167230592,85.2241992976141,120.86453394926157,147.84969138721317,159.33878165532093,187.73551218083998,213.25703156512537,269.72159224906545,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,28.253464557480708,33.2910986624713,51.854270690384844,55.68370761627006,73.10755167230592,85.22419929761314,120.86453394753097,147.84968944623563,159.33828202275873,187.69008940546667,211.33477603609532,246.41189745433672,305.9209549760358,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,28.253464557480708,33.2910986624713,51.854270690384844,55.68370761627006,73.10755167230592,85.22419929761314,120.86453394753002,147.84968944331368,159.3382799755238,187.68958132054425,211.27536902644698,244.39242835221873,278.0344384128531,366.513471478041,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,28.253464557480708,33.2910986624713,51.854270690384844,55.68370761627006,73.10755167230592,85.22419929761314,120.86453394753002,147.84968944331206,159.33827997244293,187.68957923886802,211.27470347659295,244.3302519673837,275.6016640983541,335.8281549626034,491.8889890345341,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,33.2910986624713,51.854270690384844,55.68370761627006,73.10755167230592,85.22419929761314,120.86453394753002,147.84968944331206,159.33827997244123,187.68957923573544,211.27470074820505,244.32955634889964,275.526574174358,333.1638473018376,452.85577908598657,626.3400596531383,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,51.854270690384844,55.68370761627006,73.10755167230592,85.22419929761314,120.86453394753002,147.84968944331206,159.33827997244123,187.6895792357337,211.27470074409842,244.3295534986845,275.5257333079214,333.0817513845251,449.4406377309003,571.0518676669246,748.8555412491214,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,55.68370761627006,73.10755167230592,85.22419929761314,120.86453394753002,147.84968944331206,159.33827997244123,187.6895792357337,211.27470074409615,244.3295534943953,275.52572986140507,333.08083263877654,449.3351210701946,566.1924204808064,683.048181125774,947.9095292956554,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,73.10755167230592,85.22419929761314,120.86453394753002,147.84968944331206,159.33827997244123,187.6895792357337,211.27470074409615,244.3295534943929,275.5257298562179,333.08082887391527,449.33393905991693,566.0420502190918,677.3122102438002,870.4206641686415,1056.2154501189325,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,85.22419929761314,120.86453394753002,147.84968944331206,159.33827997244123,187.6895792357337,211.27470074409615,244.3295534943929,275.525729856215,333.0808288682494,449.3339342145019,566.0403648394758,677.1352370712063,863.6678626979224,952.6567736887491,1155.3235528284392,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,120.86453394753002,147.84968944331206,159.33827997244123,187.6895792357337,211.27470074409615,244.3295534943929,275.525729856215,333.0808288682463,449.33393420720887,566.0403579292372,677.1332556279314,863.4595180525948,943.5766083498689,1054.8653835534903,1234.4205729568548,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,147.84968944331206,159.33827997244123,187.6895792357337,211.27470074409615,244.3295534943929,275.525729856215,333.0808288682463,449.33393420720483,566.0403579188356,677.1332475069574,863.4571853489844,943.2958594158831,1046.2102537609458,1117.0699700573339,1421.3412804617574,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,159.33827997244123,187.6895792357337,211.27470074409615,244.3295534943929,275.525729856215,333.0808288682463,449.33393420720483,566.0403579188298,677.1332474947351,863.4571757883294,943.2927136297363,1045.9443024435664,1106.8425701397384,1302.6248872003762,1497.2833132809617,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,187.6895792357337,211.27470074409615,244.3295534943929,275.525729856215,333.0808288682463,449.33393420720483,566.0403579188298,677.1332474947284,863.4571757739404,943.2927007330185,1045.9413291684061,1106.5269858387076,1292.366777235743,1347.236554855363,1750.7180463116201,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,211.27470074409615,244.3295534943929,275.525729856215,333.0808288682463,449.33393420720483,566.0403579188298,677.1332474947284,863.4571757739325,943.2927007136066,1045.9413169889729,1106.5234522457883,1292.0512264581569,1334.110006556588,1612.5423099923412,1823.2306689024977,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,244.3295534943929,275.525729856215,333.0808288682463,449.33393420720483,566.0403579188298,677.1332474947284,863.4571757739325,943.2927007135959,1045.9413169706463,1106.5234377629383,1292.0476972511576,1333.7044415375044,1600.6765523510737,1632.6504602794337,2027.3776251533463,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,275.525729856215,333.0808288682463,449.33393420720483,566.0403579188298,677.1332474947284,863.4571757739325,943.2927007135959,1045.941316970636,1106.5234377411412,1292.0476827923144,1333.6998983377869,1600.312364413319,1615.907901038033,1864.5980295347922,2123.7739279577927,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,333.0808288682463,449.33393420720483,566.0403579188298,677.1332474947284,863.4571757739325,943.2927007135959,1045.941316970636,1106.523437741129,1292.0476827705565,1333.6998797138178,1600.3082945636227,1615.3898437492796,1850.6963382269146,1908.1479958952013,2234.0575624174407,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,449.33393420720483,566.0403579188298,677.1332474947284,863.4571757739325,943.2927007135959,1045.941316970636,1106.523437741129,1292.0476827705445,1333.6998796857863,1600.3082778948165,1615.384037258139,1850.2705253964846,1889.2350685764009,2039.5409155132695,2403.9480295959675,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,566.0403579188298,677.1332474947284,863.4571757739325,943.2927007135959,1045.941316970636,1106.523437741129,1292.0476827705445,1333.6998796857708,1600.3082778697358,1615.3840134508414,1850.2657704189307,1888.6501494020986,2022.8627095013878,2179.8206672773895,2540.8103776628677,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,677.1332474947284,863.4571757739325,943.2927007135959,1045.941316970636,1106.523437741129,1292.0476827705445,1333.6998796857708,1600.308277869722,1615.3840134150057,1850.265750949387,1888.6435946607392,2022.3511138658944,2160.2972945306806,2305.8425275053046,2670.1875493561097,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,863.4571757739325,943.2927007135959,1045.941316970636,1106.523437741129,1292.0476827705445,1333.6998796857708,1600.308277869722,1615.384013414986,1850.2657509200951,1888.6435677872296,2022.3453979485942,2159.694949409649,2285.495670247902,2423.189486358843,2918.2561823635983,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,943.2927007135959,1045.941316970636,1106.523437741129,1292.0476827705445,1333.6998796857708,1600.308277869722,1615.384013414986,1850.265750920079,1888.6435677467794,2022.345374539884,2159.6882052587052,2284.8693021404456,2401.7915601393647,2658.7202659505574,3401.544618128326,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,1045.941316970636,1106.523437741129,1292.0476827705445,1333.6998796857708,1600.308277869722,1615.384013414986,1850.265750920079,1888.643567746757,2022.3453745046634,2159.68817761743,2284.86229473206,2401.1326979304445,2636.237133776521,3107.632458061862,3755.5230746154107,,,
25/04/2020,,,,,,,,,,,,,,,,,,,,,1106.523437741129,1292.0476827705445,1333.6998796857708,1600.308277869722,1615.384013414986,1850.265750920079,1888.643567746757,2022.3453745046438,2159.6881775758293,2284.862266020437,2401.1253263866893,2635.5448711394642,3082.0649523933243,3401.0363322095563,4282.398545778295,,
26/04/2020,,,,,,,,,,,,,,,,,,,,,,1292.0476827705445,1333.6998796857708,1600.308277869722,1615.384013414986,1850.265750920079,1888.643567746757,2022.3453745046438,2159.688177575806,2284.86226597723,2401.1252961821374,2635.537125964765,3081.276570229474,3370.1039893385537,3916.9835049173967,4502.463064024231,
27/04/2020,,,,,,,,,,,,,,,,,,,,,,,1333.6998796857708,1600.308277869722,1615.384013414986,1850.265750920079,1888.643567746757,2022.3453745046438,2159.688177575806,2284.862265977206,2401.125296136683,2635.5370942293757,3081.2677449922767,3369.1491837667027,3885.3748725720084,4056.902780773409,4508.419305352773
