data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,29.314285714285713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,30.599999999999998,34.173809523809524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,31.885714285714283,36.94761904761904,50.224444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,33.17142857142857,39.72142857142857,53.90777777777777,56.087272727272726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,34.457142857142856,42.49523809523809,57.591111111111104,60.85090909090909,69.49090909090908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,35.74285714285714,45.26904761904762,61.27444444444444,65.61454545454545,74.94545454545455,83.86829836829837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,37.028571428571425,48.042857142857144,64.95777777777778,70.37818181818182,80.4,90.01165501165501,117.24395604395605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,38.31428571428572,50.81666666666667,68.64111111111112,75.14181818181818,85.85454545454546,96.15501165501165,124.06263736263736,148.28923076923076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,39.599999999999994,53.590476190476195,72.32444444444445,79.90545454545456,91.30909090909091,102.29836829836829,130.88131868131867,156.19472527472527,157.02928571428572,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,40.885714285714286,56.36428571428572,76.00777777777778,84.66909090909093,96.76363636363637,108.44172494172493,137.7,164.1002197802198,166.16857142857145,181.86382352941177,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,42.17142857142857,59.13809523809525,79.69111111111111,89.43272727272729,102.21818181818183,114.58508158508158,144.5186813186813,172.00571428571428,175.30785714285716,191.86970588235295,207.60294117647058,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,43.457142857142856,61.91190476190477,83.37444444444445,94.19636363636366,107.67272727272729,120.72843822843822,151.33736263736262,179.9112087912088,184.44714285714286,201.87558823529412,218.47794117647058,237.88352253181975,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,44.74285714285715,64.68571428571428,87.05777777777779,98.96000000000001,113.12727272727274,126.87179487179486,158.15604395604393,187.81670329670328,193.5864285714286,211.8814705882353,229.35294117647058,249.61623667010662,270.1954385964912,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,46.028571428571425,67.45952380952382,90.74111111111112,103.72363636363637,118.5818181818182,133.0151515151515,164.97472527472524,195.7221978021978,202.7257142857143,221.88735294117646,240.22794117647058,261.3489508083935,282.8147368421052,326.146015037594,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,47.31428571428572,70.23333333333333,94.42444444444445,108.48727272727274,124.03636363636366,139.15850815850814,171.7934065934066,203.6276923076923,211.865,231.89323529411763,251.10294117647058,273.08166494668046,295.4340350877193,339.6738345864662,447.00831168831166,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,73.00714285714285,98.10777777777778,113.2509090909091,129.49090909090913,145.30186480186478,178.6120879120879,211.5331868131868,221.00428571428574,241.89911764705886,261.9779411764706,284.8143790849673,308.0533333333333,353.2016541353384,461.6953246753246,575.690118577075,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,101.79111111111112,118.01454545454547,134.9454545454546,151.44522144522142,185.43076923076922,219.43868131868132,230.14357142857145,251.90500000000003,272.8529411764706,296.54709322325414,320.67263157894735,366.7294736842106,476.3823376623376,592.3304347826088,688.4739130434782,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,122.77818181818184,140.40000000000003,157.58857808857806,192.24945054945053,227.3441758241758,239.28285714285715,261.9108823529412,283.7279411764706,308.2798073615411,333.29192982456135,380.25729323308275,491.06935064935067,608.9707509881423,707.6695652173912,876.2861449275363,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,145.8545454545455,163.73193473193473,199.06813186813184,235.24967032967032,248.42214285714286,271.9167647058824,294.6029411764706,320.012521499828,345.9112280701754,393.7851127819549,505.75636363636363,625.6110671936758,726.8652173913042,898.2974492753624,972.9058461538461,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,169.87529137529137,205.88681318681316,243.15516483516484,257.56142857142856,281.92264705882354,305.4779411764706,331.7452356381148,358.5305263157894,407.3129323308271,520.4433766233766,642.2513833992095,746.0608695652174,920.3087536231885,998.4566153846154,1053.364034188034,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,212.7054945054945,251.06065934065933,266.7007142857143,291.9285294117647,316.3529411764706,343.4779497764018,371.1498245614035,420.8407518796993,535.1303896103896,658.891699604743,765.2565217391304,942.3200579710144,1024.0073846153846,1082.2915555555555,1118.180586080586,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,258.9661538461538,275.84000000000003,301.9344117647059,327.2279411764706,355.2106639146886,383.7691228070175,434.3685714285715,549.8174025974025,675.5320158102767,784.4521739130435,964.3313623188405,1049.5581538461538,1111.219076923077,1150.2092796092795,1287.7685276409416,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,284.9792857142857,311.94029411764706,338.1029411764706,366.94337805297556,396.38842105263154,447.8963909774437,564.5044155844156,692.1723320158103,803.6478260869565,986.3426666666667,1075.108923076923,1140.1465982905984,1182.237973137973,1322.5528735632183,1350.7617733990146,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,321.9461764705882,348.9779411764706,378.6760921912624,409.00771929824555,461.42421052631585,579.1914285714286,708.8126482213438,822.8434782608695,1008.3539710144928,1100.6596923076922,1169.0741196581198,1214.2666666666667,1357.3372194854956,1388.6056157635467,1582.3446496106785,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,359.8529411764706,390.40880632954935,421.62701754385955,474.952030075188,593.8784415584415,725.4529644268775,842.0391304347825,1030.365275362319,1126.2104615384615,1198.0016410256412,1246.2953601953602,1392.1215654077723,1426.4494581280787,1622.8765739710789,1643.8587903225807,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,402.1415204678362,434.2463157894736,488.4798496240602,608.5654545454545,742.093280632411,861.2347826086957,1052.3765797101448,1151.7612307692307,1226.9291623931626,1278.3240537240538,1426.9059113300495,1464.2933004926108,1663.4084983314797,1687.6099999999997,1820.2221407624634,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,446.8656140350876,502.00766917293237,623.2524675324676,758.7335968379446,880.4304347826087,1074.387884057971,1177.312,1255.8566837606836,1310.3527472527473,1461.6902572523263,1502.1371428571429,1703.94042269188,1731.361209677419,1866.7747434017597,1904.9226381461676,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,515.5354887218045,637.9394805194805,775.3739130434783,899.6260869565217,1096.399188405797,1202.8627692307691,1284.784205128205,1342.381440781441,1496.474603174603,1539.980985221675,1744.4723470522804,1775.1124193548385,1913.327346041056,1954.430659536542,1987.6375553857906,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,652.6264935064935,792.0142292490118,918.8217391304347,1118.4104927536232,1228.4135384615383,1313.7117264957265,1374.4101343101343,1531.2589490968803,1577.824827586207,1785.0042714126807,1818.863629032258,1959.8799486803523,2003.9386809269163,2039.813414820474,2141.5699159663864,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,808.6545454545453,938.0173913043477,1140.4217971014493,1253.9643076923076,1342.6392478632479,1406.4388278388278,1566.043295019157,1615.668669950739,1825.536195773081,1862.6148387096773,2006.4325513196486,2053.4467023172906,2091.989274255157,2196.1522689075628,2257.310725010725,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,957.2130434782607,1162.4331014492752,1279.5150769230768,1371.5667692307693,1438.4675213675212,1600.8276409414343,1653.5125123152711,1866.0681201334814,1906.3660483870967,2052.9851539589445,2102.954723707665,2144.16513368984,2250.734621848739,2314.336465036465,2365.6885727833096,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,1184.4444057971014,1305.065846153846,1400.4942905982907,1470.4962148962147,1635.611986863711,1691.3563546798032,1906.6000444938823,1950.1172580645161,2099.537756598241,2152.4627450980392,2196.3409931245224,2305.3169747899165,2371.362205062205,2425.0339971550497,2592.8621731042786,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,1330.6166153846152,1429.4218119658121,1502.5249084249083,1670.3963327859879,1729.2001970443353,1947.1319688542826,1993.868467741935,2146.090359237537,2201.9707664884136,2248.5168525592057,2359.899327731093,2428.387945087945,2484.37942152679,2654.384877995404,3057.9321997300945,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,1458.3493333333336,1534.5536019536019,1705.180678708265,1767.0440394088669,1987.663893214683,2037.6196774193545,2192.6429618768334,2251.478787878788,2300.6927119938887,2414.4816806722692,2485.413685113685,2543.72484589853,2715.9075828865307,3121.8811875843453,3393.401707317073,,,
25/04/2020,,,,,,,,,,,,,,,,,,,,,1566.5822954822954,1739.9650246305418,1804.887881773399,2028.1958175750833,2081.370887096774,2239.1955645161297,2300.986809269162,2352.8685714285716,2469.0640336134456,2542.439425139425,2603.07027027027,2777.4302877776563,3185.8301754385966,3460.693170731707,3887.6349128919856,,
26/04/2020,,,,,,,,,,,,,,,,,,,,,,1774.749370552819,1842.731724137931,2068.7277419354837,2125.1220967741933,2285.7481671554256,2350.4948306595365,2405.0444308632545,2523.646386554622,2599.465165165165,2662.4156946420103,2838.952992668782,3249.7791632928474,3527.9846341463413,3958.634738675958,4084.7356075952785,
27/04/2020,,,,,,,,,,,,,,,,,,,,,,,1880.575566502463,2109.259666295884,2168.8733064516127,2332.300769794722,2400.002852049911,2457.2202902979375,2578.2287394957984,2656.4909051909053,2721.7611190137504,2900.4756975599084,3313.7281511470987,3595.2760975609754,4029.6345644599305,4160.16790643654,4043.9823316218663
