data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,29.666847751877462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,30.49670547293242,35.34439664689222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,31.32384767481681,36.83729083681446,52.012837927977635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,32.1509898767012,38.32897532937329,53.92414982603629,59.493512397260574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,32.97738843321228,39.81943496540966,55.835461724094955,61.535348629836705,73.68958728376016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,33.803023050027164,41.309282414122634,57.74677362215361,63.57662922754734,76.07816376990553,87.87396304007967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,34.62865766684205,42.79908037833127,59.65808552021227,65.61764495632056,78.4653482876709,91.04863805850385,123.59517742105709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,35.45429228365693,44.28887834253992,61.569397418270924,67.65647982618728,80.85131342795657,94.221979791906,126.65152774395236,158.39608609877894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,36.27992690047182,45.77867630674855,63.480709316329595,69.69507500805774,83.23727856824223,97.39496556132448,129.7060992103244,161.22318083806013,168.63904920132563,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,37.1055615172867,47.268474270957185,65.39202121438825,71.7336701899282,85.62324370852787,100.56795133074297,132.76003386855874,164.04767288136756,172.20167140235594,196.5565792394836,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,37.93119613410159,48.75827223516583,67.30329984150131,73.77226537179868,88.00920884881353,103.74093710016146,135.81260319011201,166.87201482250333,175.76429360338625,200.1532054532457,226.43307112921076,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,38.75683075091648,50.24807019937447,69.21336413831438,75.81086055366914,90.39517398909919,106.91392286957996,138.8651725116653,169.69635676363913,179.32642848483255,203.7498316670078,229.86151993210467,261.46188995459556,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,39.58246536773136,51.737868163583116,71.12268626900592,77.84942129183183,92.78113912938484,110.08690863899845,141.91774183321857,172.52069870477493,182.8880116729379,207.34645788076992,233.28996873499864,264.6693315146905,293.6303572731538,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,40.40809998454624,53.22688694020988,73.03200839969749,79.88784875866787,95.16710426967049,113.25989440841693,144.97031115477188,175.34500052166652,186.44959486104324,210.943079500289,236.71841753789255,267.87677307478543,297.8804728076061,354.49965986659515,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,41.23373460136112,54.7158720740383,74.94133053038905,81.92627622550391,97.55306940995615,116.43288017783543,148.02115425305564,178.16920856582846,190.01117804914858,214.53970019661358,240.14686634078646,271.08421463488037,302.12960084379245,358.60181579323995,482.60492043675623,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,56.20485720786672,76.85065266108062,83.96470369233995,99.9390345502418,119.60586594725392,151.07184835692163,180.9934166099904,193.57276123725393,218.13632089293816,243.5753151436804,274.2916561949753,306.37848068104734,362.70397171988475,486.34344832187554,619.8981265510122,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,78.75997479177218,86.003131159176,102.32499969052745,122.77885171667239,154.12254246078763,183.81762465415233,197.13434442535927,221.73294158926274,247.0037639465743,277.49909775507024,310.6273605183022,366.8061276465295,490.0819762069949,623.626815929123,741.9126225818534,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,88.04155862601203,104.71096483081311,125.9518374860909,157.17323656465362,186.64183269831426,200.69592761346462,225.32956228558734,250.43221274946825,280.7065393151652,314.8762403555571,370.9082835731743,493.8205040921142,627.3555053072338,746.0230268958229,941.029670298124,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,107.09692997109875,129.1248232555094,160.22393066851959,189.4660407424762,204.25751080156996,228.92618298191192,253.86066155236216,283.9139808752601,319.125120192812,375.0104394998191,497.55903197723353,631.0841946853445,750.1334312097924,945.480098070238,1055.732212025416,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,132.29773071255187,163.2746247723856,192.29024878663813,207.8190939896753,232.5228036782365,257.28895710017974,287.12142243535504,323.3740000300669,379.1125954264638,501.29755986235284,634.8128840634554,754.2438355237618,949.9305258423519,1059.8903477927736,1155.0754564302922,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,166.32531887625157,195.11445683080007,211.38067717778065,236.11942437456108,260.7168621184088,290.32886399545,327.6228798673218,383.2147513531087,505.03592775522156,638.5415734415661,758.3542398377313,954.380953614466,1064.0484835601312,1158.913129963355,1233.4943290839099,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,197.938664874962,214.942260365886,239.71604507088566,264.1447671366379,293.5363055555449,331.8717597045767,387.3169072797534,508.77390265590975,642.270262819677,762.4646441517008,958.8313813865799,1068.2066193274889,1162.7508034964176,1237.951582963325,1424.8340485461856,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,218.50368857883112,243.31266576721026,267.57267215486695,296.74374711563985,336.12063954183157,391.4190632063982,512.5118775565979,645.9989521977877,766.5750484656703,963.2818091586939,1072.3647550948465,1166.5884770294804,1242.4088368427401,1428.4567612437436,1506.918840652332,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,246.9092864635348,271.00057717309596,299.9511886757348,340.36951937908646,395.521219133043,516.2498524572861,649.7276415758985,770.6854527796397,967.732236930808,1076.5228908622041,1170.4261505625432,1246.8660907221554,1432.0794739413013,1510.5325312260375,1754.125690770722,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,274.42848219132503,303.1578834906791,344.61749055080116,399.62337505968776,519.9878273579743,653.4563309540093,774.7958570936091,972.1826647029219,1080.681026629562,1174.2638240956057,1251.3233446015706,1435.7021866388593,1514.146221799743,1758.1966840706004,1837.5897302650205,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,306.3643732342297,348.86534826841546,403.7255309863326,523.7258022586625,657.1850203321201,778.9062614075788,976.6330924750359,1084.8391623969196,1178.1014976286685,1255.7805984809856,1439.324899336417,1517.7599123734485,1762.2676773704789,1841.6100478023313,2037.3998238841214,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,353.1132059860298,407.82722319221097,527.4637771593507,660.9137097102309,783.0166657215482,981.0835202471499,1088.9972981642773,1181.9391711617313,1260.2378523604007,1442.947612033975,1521.373602947154,1766.3386706703573,1845.6303653396424,2041.04672727889,2145.032257450908,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,411.9283505051016,531.2017520600389,664.6423990883417,787.1270700355176,985.5339480192639,1093.155433931635,1185.776844694794,1264.695106239816,1446.5703247315328,1524.9872935208596,1770.4096639702357,1849.6506828769534,2044.6936306736588,2148.624141366347,2244.451527834942,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,534.9397269607272,668.3710884664524,791.2374743494871,989.9843757913779,1097.3135696989925,1189.6145182278567,1269.1523601192312,1450.1930374290907,1528.6009840945653,1774.480657270114,1853.6710004142644,2048.3405340684276,2152.216025281786,2248.789785166102,2421.8606487609427,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,672.0997778445633,795.3478783278499,994.4348035634919,1101.4717054663502,1193.4521917609193,1273.6096139986462,1453.8157501266487,1532.2146746682708,1778.5516505699925,1857.6913179515755,2051.9874374631963,2155.807909197225,2253.128042497262,2425.95539952974,2561.144385258691,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,799.4581481860059,998.8852313356059,1105.6298412337078,1197.289865293982,1278.0668678780614,1457.4384628242065,1535.8283652419764,1782.622643869871,1861.7116354888865,2055.634340857965,2159.3997931126637,2257.4662998284216,2430.050150298537,2565.114628450986,2688.2720215436725,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,1003.33565910772,1109.7879770010654,1201.1275388270449,1282.5241217574765,1461.0611755217644,1539.442055815682,1786.6936371697493,1865.7319530261975,2059.281244252734,2162.9916770281025,2261.8045571595817,2434.1449010673346,2569.0848716432806,2692.7656753516726,2934.6970972678805,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,1113.946112768423,1204.9652123601077,1286.9813756368917,1464.6838882193224,1543.0557463893874,1790.7646304696277,1869.7522705635085,2062.9281476475026,2166.583560943541,2266.1428144907413,2438.2396518361315,2573.0551148355753,2697.2593291596727,2939.6023070702536,3424.179203184198,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,1208.8022392718588,1291.4386295163067,1468.3066009168801,1546.669436963093,1794.8356237695061,1873.7725881008196,2066.5750510422718,2170.175345033259,2270.4810718219014,2442.334402604929,2577.02535802787,2701.752982967673,2944.507516872626,3429.144604273356,3795.8676043377527,,,
25/04/2020,,,,,,,,,,,,,,,,,,,,,1295.895883395722,1471.929313614438,1550.2831275367985,1798.9066170693845,1877.7929056381306,2070.2219544370405,2173.767045314711,2274.819329153061,2446.4291533737264,2580.9956012201646,2706.246636775673,2949.4127266749992,3434.1100053625137,3800.1842534008747,4316.8343002690235,,
26/04/2020,,,,,,,,,,,,,,,,,,,,,,1475.5520263119959,1553.896818110504,1802.977610369263,1881.8132231754416,2073.8688578318092,2177.3587455961638,2279.157586484221,2450.5239041425234,2584.9658444124593,2710.740290583673,2954.3179364773723,3439.075406451672,3804.5009024639967,4321.986421585838,4558.112673569616,
27/04/2020,,,,,,,,,,,,,,,,,,,,,,,1557.5105086842098,1807.0486036691414,1885.8335407127527,2077.515761226578,2180.950445877616,2283.495843815381,2454.618654911321,2588.936087604754,2715.233944391673,2959.223146279745,3444.04080754083,3808.8175515271187,4327.138542902652,4562.734641422615,4562.4219875104745
