data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_40,yhat_model_36_to_40,yhat_model_37_to_40,yhat_model_38_to_40,yhat_model_39_to_40,yhat_model_40_to_40
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,29.314285714285713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,30.599999999999998,26.42142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,31.885714285714283,29.88571428571428,37.964285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,33.17142857142857,33.349999999999994,43.357142857142854,56.67857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,34.457142857142856,36.81428571428571,48.74999999999999,64.5,71.92857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,35.74285714285714,40.27857142857142,54.142857142857146,72.32142857142857,81.28571428571426,87.67857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,37.028571428571425,43.74285714285713,59.535714285714285,80.14285714285714,90.64285714285712,98.35714285714283,101.49999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,38.31428571428572,47.20714285714285,64.92857142857142,87.96428571428571,99.99999999999999,109.03571428571425,112.71428571428571,126.32142857142856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,39.599999999999994,50.671428571428564,70.32142857142856,95.78571428571428,109.35714285714285,119.71428571428567,123.92857142857143,139.6428571428571,161.53571428571422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,40.885714285714286,54.13571428571428,75.7142857142857,103.60714285714286,118.71428571428571,130.39285714285708,135.1428571428571,152.9642857142857,178.6428571428571,187.28571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,42.17142857142857,57.59999999999999,81.10714285714286,111.42857142857142,128.07142857142856,141.07142857142853,146.35714285714283,166.28571428571425,195.74999999999994,206.1428571428571,216.6428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,43.457142857142856,61.06428571428571,86.5,119.25,137.4285714285714,151.74999999999994,157.57142857142856,179.60714285714283,212.85714285714278,224.99999999999994,237.71428571428567,244.1071428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,44.74285714285715,64.52857142857142,91.89285714285714,127.07142857142856,146.78571428571428,162.42857142857136,168.78571428571428,192.9285714285714,229.96428571428567,243.85714285714283,258.7857142857142,266.4999999999999,272.60714285714283,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,46.028571428571425,67.99285714285713,97.28571428571428,134.89285714285714,156.1428571428571,173.1071428571428,180.0,206.24999999999994,247.0714285714285,262.71428571428567,279.8571428571428,288.8928571428571,296.0714285714286,301.21428571428567,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,47.31428571428572,71.45714285714286,102.67857142857142,142.7142857142857,165.5,183.78571428571422,191.21428571428572,219.5714285714285,264.17857142857133,281.5714285714285,300.92857142857133,311.2857142857142,319.5357142857143,325.2857142857142,349.6071428571428,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,74.92142857142856,108.07142857142856,150.53571428571428,174.85714285714283,194.46428571428564,202.42857142857144,232.89285714285705,281.2857142857142,300.4285714285714,321.9999999999999,333.67857142857133,342.99999999999994,349.3571428571429,377.642857142857,450.7857142857142,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,113.4642857142857,158.35714285714283,184.21428571428567,205.14285714285708,213.6428571428571,246.21428571428567,298.39285714285705,319.2857142857142,343.07142857142844,356.07142857142844,366.4642857142857,373.42857142857144,405.67857142857133,491.1428571428571,586.8214285714286,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,166.17857142857142,193.57142857142856,215.82142857142847,224.85714285714283,259.5357142857142,315.4999999999999,338.14285714285705,364.142857142857,378.46428571428555,389.9285714285714,397.5,433.71428571428555,531.4999999999999,643.5000000000001,739.1071428571429,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,202.9285714285714,226.49999999999991,236.07142857142856,272.8571428571428,332.6071428571427,356.9999999999999,385.21428571428567,400.8571428571428,413.39285714285717,421.57142857142856,461.7499999999999,571.8571428571428,700.1785714285714,813.0714285714287,937.3571428571427,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,237.17857142857136,247.28571428571428,286.17857142857133,349.7142857142856,375.8571428571427,406.2857142857142,423.2499999999999,436.85714285714283,445.6428571428571,489.7857142857141,612.2142857142857,756.8571428571428,887.0357142857144,1033.7142857142853,1108.7857142857138,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,258.5,299.4999999999999,366.82142857142844,394.7142857142856,427.3571428571428,445.642857142857,460.3214285714286,469.71428571428567,517.8214285714284,652.5714285714286,813.5357142857143,960.9999999999998,1130.0714285714284,1220.2857142857138,1233.9285714285716,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,312.8214285714285,383.92857142857133,413.5714285714285,448.42857142857133,468.0357142857142,483.7857142857143,493.7857142857142,545.8571428571427,692.9285714285712,870.2142857142857,1034.9642857142856,1226.428571428571,1331.7857142857138,1349.8571428571431,1306.285714285714,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,401.0357142857141,432.4285714285713,469.4999999999999,490.42857142857133,507.25000000000006,517.8571428571428,573.892857142857,733.2857142857141,926.8928571428572,1108.9285714285713,1322.7857142857142,1443.2857142857138,1465.7857142857142,1415.5714285714282,1413.1071428571431,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,451.28571428571416,490.57142857142844,512.8214285714284,530.7142857142858,541.9285714285713,601.9285714285712,773.642857142857,983.5714285714286,1182.892857142857,1419.1428571428569,1554.7857142857138,1581.7142857142858,1524.8571428571424,1521.2142857142858,1491.5714285714284,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,511.642857142857,535.2142857142856,554.1785714285713,565.9999999999999,629.9642857142854,813.9999999999999,1040.25,1256.857142857143,1515.4999999999995,1666.2857142857138,1697.6428571428573,1634.1428571428567,1629.3214285714284,1594.1428571428569,1638.607142857143,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,557.6071428571427,577.6428571428571,590.0714285714284,657.9999999999998,854.3571428571428,1096.9285714285716,1330.8214285714287,1611.8571428571427,1777.7857142857138,1813.5714285714284,1743.4285714285709,1737.4285714285716,1696.7142857142853,1746.357142857143,1777.7142857142858,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,601.1071428571429,614.142857142857,686.035714285714,894.7142857142854,1153.6071428571427,1404.7857142857144,1708.2142857142853,1889.2857142857138,1929.5,1852.714285714285,1845.5357142857142,1799.2857142857138,1854.107142857143,1891.8571428571431,1949.1428571428569,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,638.2142857142856,714.0714285714283,935.0714285714283,1210.2857142857142,1478.7499999999998,1804.5714285714284,2000.7857142857138,2045.428571428571,1961.9999999999993,1953.6428571428573,1901.8571428571427,1961.857142857143,2006.0,2074.142857142857,2082.0714285714294,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,742.1071428571427,975.4285714285712,1266.9642857142858,1552.7142857142856,1900.928571428571,2112.2857142857138,2161.3571428571427,2071.2857142857138,2061.75,2004.428571428571,2069.607142857143,2120.142857142857,2199.142857142857,2210.0,2166.2857142857138,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,1015.7857142857141,1323.6428571428573,1626.6785714285713,1997.2857142857138,2223.7857142857138,2277.285714285714,2180.5714285714275,2169.8571428571427,2106.9999999999995,2177.357142857143,2234.2857142857147,2324.142857142857,2337.9285714285716,2286.857142857142,2288.142857142857,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,1380.3214285714284,1700.642857142857,2093.642857142857,2335.2857142857138,2393.214285714286,2289.857142857142,2277.964285714286,2209.571428571428,2285.107142857143,2348.4285714285716,2449.142857142857,2465.857142857143,2407.4285714285706,2409.142857142857,2378.500000000001,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,1774.607142857143,2189.9999999999995,2446.7857142857138,2509.1428571428573,2399.142857142856,2386.071428571429,2312.1428571428564,2392.857142857143,2462.5714285714284,2574.142857142857,2593.7857142857147,2527.999999999999,2530.142857142857,2492.2857142857147,2504.892857142857,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,2286.3571428571427,2558.2857142857138,2625.071428571429,2508.4285714285706,2494.178571428571,2414.714285714285,2500.607142857143,2576.7142857142853,2699.142857142857,2721.7142857142862,2648.5714285714275,2651.142857142857,2606.0714285714294,2621.5,2672.75,,,,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,2669.7857142857138,2740.9999999999995,2617.7142857142844,2602.285714285714,2517.2857142857133,2608.357142857143,2690.857142857142,2824.142857142857,2849.642857142858,2769.142857142856,2772.142857142857,2719.857142857143,2738.107142857142,2796.5,3047.249999999999,3108.666666666667,3171.000000000001,3286.7999999999993,3472.6666666666642,3706.0,2888.0
