data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_43,yhat_model_39_to_43,yhat_model_40_to_43,yhat_model_41_to_43,yhat_model_42_to_43,yhat_model_43_to_43
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,30.726361973537333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,30.45403059303758,30.61470669827733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,30.36614397896594,30.27813837900693,30.215290867322476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,30.349742395988137,30.176175021828733,29.85115370813157,28.90170680056692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,30.34793719270649,30.158084534779107,29.74599663058177,28.535881221730566,26.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,30.347818710870193,30.15616294367876,29.7276904509978,28.430610192076294,26.12564041832903,32.491465997165385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,30.347814042697514,30.156039744240324,29.725760220340582,28.412299450840052,26.02036938867476,32.125640418329034,47.491465997165385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,30.347813931839713,30.15603496214047,29.72563681373314,28.41036911084423,26.002058647438517,32.02036938867476,47.125640418329034,54.491465997165385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,30.347813930249046,30.156034849631492,29.72563202864345,28.410245702659257,26.000128307442694,32.00205864743852,47.02036938867476,54.125640418329034,67.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,30.347813930235233,30.1560348480264,29.72563191610842,28.410240917555825,26.00000489925772,32.000128307442694,47.00205864743852,54.02036938867476,67.12564041832903,81.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,30.347813930235162,30.156034848012514,29.725631914503193,28.410240805020724,26.00000011415429,32.000004899257725,47.000128307442694,54.00205864743852,67.02036938867475,81.12564041832903,111.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,30.347813930235162,30.156034848012442,29.725631914489306,28.410240803415498,26.00000000161919,32.00000011415429,47.000004899257725,54.000128307442694,67.00205864743852,81.02036938867475,111.12564041832903,140.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,30.347813930235162,30.156034848012442,29.72563191448923,28.410240803401607,26.000000000013962,32.00000000161919,47.00000011415429,54.000004899257725,67.0001283074427,81.00205864743852,111.02036938867475,140.12564041832903,151.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,30.347813930235162,30.156034848012442,29.72563191448923,28.410240803401535,26.000000000000075,32.00000000001396,47.00000000161919,54.00000011415429,67.00000489925772,81.0001283074427,111.00205864743852,140.02036938867477,151.12564041832903,175.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,30.347813930235162,30.156034848012442,29.72563191448923,28.410240803401535,26.0,32.00000000000007,47.00000000001396,54.00000000161919,67.00000011415429,81.00000489925772,111.0001283074427,140.00205864743853,151.02036938867477,175.12564041832903,200.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,30.156034848012442,29.72563191448923,28.410240803401535,26.0,32.0,47.00000000000007,54.00000000001396,67.00000000161918,81.00000011415429,111.00000489925772,140.00012830744268,151.00205864743853,175.02036938867477,200.12564041832903,229.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,29.72563191448923,28.410240803401535,26.0,32.0,47.0,54.00000000000007,67.00000000001396,81.00000000161918,111.00000011415429,140.00000489925773,151.00012830744268,175.00205864743853,200.02036938867477,229.12564041832903,260.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,28.410240803401535,26.0,32.0,47.0,54.0,67.00000000000007,81.00000000001396,111.00000000161918,140.0000001141543,151.00000489925773,175.00012830744268,200.00205864743853,229.02036938867477,260.12564041832906,311.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,26.0,32.0,47.0,54.0,67.0,81.00000000000007,111.00000000001396,140.00000000161918,151.0000001141543,175.00000489925773,200.00012830744268,229.00205864743853,260.02036938867474,311.12564041832906,417.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,32.0,47.0,54.0,67.0,81.0,111.00000000000007,140.00000000001396,151.00000000161918,175.0000001141543,200.00000489925773,229.00012830744268,260.0020586474385,311.02036938867474,417.12564041832906,532.4914659971654,,,,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,47.0,54.0,67.0,81.0,111.0,140.00000000000009,151.00000000001396,175.00000000161918,200.0000001141543,229.00000489925773,260.0001283074427,311.0020586474385,417.02036938867474,532.125640418329,636.4914659971654,,,,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,54.0,67.0,81.0,111.0,140.0,151.00000000000009,175.00000000001396,200.00000000161918,229.0000001141543,260.0000048992577,311.0001283074427,417.0020586474385,532.0203693886748,636.125640418329,804.4914659971654,,,,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,67.0,81.0,111.0,140.0,151.0,175.00000000000009,200.00000000001396,229.00000000161918,260.0000001141543,311.0000048992577,417.0001283074427,532.0020586474385,636.0203693886748,804.125640418329,899.4914659971654,,,,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,81.0,111.0,140.0,151.0,175.0,200.00000000000009,229.00000000001396,260.0000000016192,311.0000001141543,417.0000048992577,532.0001283074427,636.0020586474385,804.0203693886748,899.125640418329,981.4914659971654,,,,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,111.0,140.0,151.0,175.0,200.0,229.00000000000009,260.000000000014,311.0000000016192,417.0000001141543,532.0000048992578,636.0001283074427,804.0020586474385,899.0203693886748,981.125640418329,1050.4914659971653,,,,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,140.0,151.0,175.0,200.0,229.0,260.00000000000006,311.000000000014,417.0000000016192,532.0000001141543,636.0000048992578,804.0001283074427,899.0020586474385,981.0203693886748,1050.125640418329,1206.4914659971653,,,,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,151.0,175.0,200.0,229.0,260.0,311.00000000000006,417.000000000014,532.0000000016192,636.0000001141543,804.0000048992578,899.0001283074427,981.0020586474385,1050.0203693886747,1206.125640418329,1275.4914659971653,,,,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,175.0,200.0,229.0,260.0,311.0,417.00000000000006,532.000000000014,636.0000000016192,804.0000001141543,899.0000048992578,981.0001283074427,1050.0020586474386,1206.0203693886747,1275.125640418329,1484.4914659971653,,,,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,200.0,229.0,260.0,311.0,417.0,532.0000000000001,636.000000000014,804.0000000016192,899.0000001141543,981.0000048992578,1050.0001283074428,1206.0020586474386,1275.0203693886747,1484.125640418329,1554.4914659971653,,,,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,229.0,260.0,311.0,417.0,532.0,636.0000000000001,804.000000000014,899.0000000016192,981.0000001141543,1050.0000048992576,1206.0001283074428,1275.0020586474386,1484.0203693886747,1554.125640418329,1719.4914659971653,,,,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,260.0,311.0,417.0,532.0,636.0,804.0000000000001,899.000000000014,981.0000000016192,1050.0000001141543,1206.0000048992576,1275.0001283074428,1484.0020586474386,1554.0203693886747,1719.125640418329,1809.4914659971653,,,,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,311.0,417.0,532.0,636.0,804.0,899.0000000000001,981.000000000014,1050.0000000016191,1206.0000001141543,1275.0000048992576,1484.0001283074428,1554.0020586474386,1719.0203693886747,1809.125640418329,1897.4914659971653,,,,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,417.0,532.0,636.0,804.0,899.0,981.0000000000001,1050.0000000000139,1206.0000000016191,1275.0000001141543,1484.0000048992576,1554.0001283074428,1719.0020586474386,1809.0203693886747,1897.125640418329,2044.4914659971653,,,,,,,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,532.0,636.0,804.0,899.0,981.0,1050.0,1206.0000000000139,1275.0000000016191,1484.0000001141543,1554.0000048992576,1719.0001283074428,1809.0020586474386,1897.0203693886747,2044.125640418329,2160.4914659971655,,,,,,,,,
25/04/2020,,,,,,,,,,,,,,,,,,,,,636.0,804.0,899.0,981.0,1050.0,1206.0,1275.0000000000139,1484.0000000016191,1554.0000001141543,1719.0000048992576,1809.0001283074428,1897.0020586474386,2044.0203693886747,2160.125640418329,2270.4914659971655,,,,,,,,
26/04/2020,,,,,,,,,,,,,,,,,,,,,,804.0,899.0,981.0,1050.0,1206.0,1275.0,1484.0000000000139,1554.0000000016191,1719.0000001141543,1809.0000048992576,1897.0001283074428,2044.0020586474386,2160.0203693886747,2270.125640418329,2479.4914659971655,,,,,,,
27/04/2020,,,,,,,,,,,,,,,,,,,,,,,899.0,981.0,1050.0,1206.0,1275.0,1484.0,1554.0000000000139,1719.0000000016191,1809.0000001141543,1897.0000048992576,2044.0001283074428,2160.0020586474384,2270.0203693886747,2479.125640418329,2888.4914659971655,3041.30339330975,3194.1464405378915,3414.541506026953,3635.002478752139,3734.000000112535,3833.0
