data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,2.0642857142857145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,2.1714285714285717,4.392857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,2.2785714285714285,4.535714285714286,4.148888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,2.3857142857142857,4.678571428571429,4.432222222222222,8.798787878787879,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,2.492857142857143,4.821428571428571,4.715555555555556,9.138181818181819,10.776363636363635,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,2.6,4.964285714285714,4.99888888888889,9.477575757575758,11.31272727272727,11.540559440559441,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,2.7071428571428573,5.107142857142858,5.282222222222223,9.816969696969696,11.849090909090908,12.246853146853145,11.167032967032966,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,2.814285714285714,5.25,5.565555555555556,10.156363636363636,12.385454545454545,12.953146853146851,11.985714285714286,20.49934065934066,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,2.9214285714285717,5.392857142857143,5.848888888888889,10.495757575757576,12.921818181818182,13.659440559440558,12.804395604395605,21.365274725274723,30.638333333333332,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,3.0285714285714285,5.535714285714286,6.1322222222222225,10.835151515151516,13.458181818181819,14.365734265734265,13.623076923076924,22.231208791208793,31.71333333333333,30.847058823529412,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,3.1357142857142857,5.678571428571429,6.415555555555557,11.174545454545456,13.994545454545454,15.072027972027971,14.441758241758242,23.097142857142856,32.788333333333334,32.23676470588235,36.02745098039215,,,,,,,,,,,,,,,,,,,,,
07/04/2020,3.242857142857143,5.821428571428572,6.69888888888889,11.513939393939395,14.530909090909091,15.778321678321674,15.260439560439563,23.963076923076922,33.86333333333333,33.62647058823529,37.62549019607843,51.94509803921569,,,,,,,,,,,,,,,,,,,,
08/04/2020,3.3499999999999996,5.964285714285714,6.982222222222223,11.853333333333335,15.067272727272728,16.48461538461538,16.079120879120882,24.82901098901099,34.93833333333333,35.016176470588235,39.2235294117647,53.74901960784313,121.40982456140351,,,,,,,,,,,,,,,,,,,
09/04/2020,3.457142857142857,6.107142857142858,7.265555555555556,12.192727272727275,15.603636363636364,17.190909090909088,16.8978021978022,25.69494505494506,36.013333333333335,36.40588235294118,40.82156862745098,55.55294117647058,123.55368421052631,143.00135338345862,,,,,,,,,,,,,,,,,,
10/04/2020,3.564285714285714,6.250000000000001,7.548888888888889,12.532121212121215,16.14,17.897202797202794,17.71648351648352,26.56087912087912,37.08833333333333,37.79558823529412,42.41960784313726,57.356862745098034,125.69754385964913,146.20511278195488,184.77800865800867,,,,,,,,,,,,,,,,,
