data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_38,yhat_model_34_to_38,yhat_model_35_to_38,yhat_model_36_to_38,yhat_model_37_to_38,yhat_model_38_to_38
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,2.3259958423409777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,1.9873957389987493,2.3690736168331403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,1.9569358517929463,2.2260728876173985,2.241102545502846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,1.9559857769953852,2.214780955326116,1.5145947499678767,2.345250238177329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,1.9559750979427408,2.2144454205494033,1.4486998004163365,2.0913992053185195,2.0787902588491947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,1.9559750541119059,2.214441716125635,1.4466385612215504,2.0720730931444047,0.6103199009744845,2.193710991754237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,1.9559750540459049,2.2144417010215434,1.4466153683887495,2.0715076594207362,0.4769620540245847,1.243771782551385,2.0910345557673105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,1.9559750540458682,2.214441700998855,1.4466152731605735,2.071501454344696,0.4727887116089002,1.164691234345551,0.6749827039041232,2.1590670400070247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,1.9559750540458682,2.2144417009988424,1.4466152730171578,2.0715014291018807,0.4727417462334671,1.162292744622608,0.5501200750708942,1.051371918976912,3.380045497907445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,1.9559750540458682,2.2144417009988424,1.4466152730170783,2.071501429063994,0.47274155338576823,1.1622660598029597,0.5462509028849133,0.9573096170896983,0.28643262559864185,3.786943704408679,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,1.9559750540458682,2.2144417009988424,1.4466152730170783,2.0715014290639733,0.47274155309532895,1.1622659506895887,0.5462075128121552,0.9544344534730217,0.008752697767011748,0.3113059249315653,3.2975493413111163,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,1.9559750540458682,2.2144417009988424,1.4466152730170783,2.0715014290639733,0.47274155309516824,1.1622659505255113,0.5462073348718732,0.9544023715642042,9.766051145629082e-05,0.009406228363303603,0.2673462810142939,4.8998679673920655,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,1.9559750540458682,2.2144417009988424,1.4466152730170783,2.0715014290639733,0.4727415530951682,1.1622659505254205,0.5462073346040102,0.9544022402398129,3.997607381137159e-07,0.0001045174735017856,0.008038625270798867,0.4083749644173553,7.052077386566464,,,,,,,,,,,,,,,,,,,,,,,,,
