data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,233.71984334736612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,293.77149952334594,233.71984334736612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,369.2527459208047,281.4419677509217,281.4419677509217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,464.12804030099204,353.04692843811944,342.8905750082011,342.8905750082011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,583.3804627680149,442.8697492262414,429.5393972533331,419.75646718404414,419.75646718404414,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,733.2734391973253,555.5454501400411,538.0844713749972,525.2585095286984,499.1992352480158,499.1992352480158,,,,,,,,,,,,,,,,,,,,,,,,,,,
