data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,215.9714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,215.9714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,245.75714285714287,270.7285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,275.54285714285714,300.9190476190476,336.9888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,305.3285714285714,331.1095238095238,368.75555555555553,389.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,335.1142857142857,361.29999999999995,400.5222222222222,423.65818181818184,461.96363636363634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,364.9,391.49047619047616,432.28888888888883,457.8763636363637,498.3272727272727,533.169696969697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
