data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45,yhat_model_1_to_46,yhat_model_1_to_47,yhat_model_1_to_48,yhat_model_1_to_49,yhat_model_1_to_50,yhat_model_1_to_51
07/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,6.605637557105489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,6.917058419291541,8.718671922641462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,7.228479281477592,9.102805143840602,14.282105767600248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,7.539900143663644,9.486938365039741,14.906328758472785,24.489299530083763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,7.851321005849695,9.87107158623888,15.522571351885631,25.31911135004367,28.469711014994438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,8.162741868035747,10.25520480743802,16.130914961137883,26.14876589886363,29.50338609435628,46.685393340454226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,8.474162730221797,10.639338028637157,16.736802584513377,26.97529624866714,30.53706117371812,48.02624296444115,99.43481657934171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,8.78558359240785,11.023471249836298,17.342690207888875,27.801826598470647,31.569251272412107,49.36672004128825,101.0547032690892,111.82616969742404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,9.0970044545939,11.407604471035436,17.948577831264373,28.628356948274153,32.601162022805056,50.70497024143674,102.67458995883669,114.34846554957633,130.7762858756301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,9.408425316779953,11.791737692234577,18.554465454639868,29.45488729807766,33.633072773198016,52.043220441585234,104.29447664858418,116.87076140172866,133.4936911981301,147.63023102568266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,9.719846178966003,12.175870913433716,19.160353078015362,30.28141764788117,34.664983523590976,53.38147064173373,105.91436333833167,119.39305725388097,136.21109652063012,150.86248325332338,179.58762401141132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,10.031267041152056,12.560004134632855,19.766240701390863,31.10794799768468,35.69689427398393,54.71926777569722,107.53425002807916,121.91535310603328,138.92825274702057,154.09473548096412,182.752366786387,178.19849067813956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,10.342687903338108,12.944137355831995,20.37212832476636,31.934478347488184,36.72880502437688,56.0566195490684,109.15413671782665,124.43764895818558,141.6453699209174,157.32698770860486,185.91710956136268,181.52203778814538,226.69250018437174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,10.654108765524159,13.328270577031134,20.97801594814186,32.761008697291686,37.76071577476984,57.39397132243958,110.77369919360775,126.9599448103379,144.3624870948142,160.5592399362456,189.08185233633836,184.84558489815123,229.72408317319525,262.0966944478199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
