data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_49,yhat_model_44_to_50,yhat_model_45_to_51,yhat_model_46_to_51,yhat_model_47_to_51,yhat_model_48_to_51,yhat_model_49_to_51,yhat_model_50_to_51,yhat_model_51_to_51
07/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,6.897689966269834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,6.823989260296685,6.797508516547772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,6.802685621070631,6.590128219162069,6.646357557377125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,6.798880973413058,6.5136156667678335,6.313496515372264,6.336599771198232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,6.7984693824482125,6.498404316679364,6.211858551226975,5.972576564111799,6.491465997165387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,6.798442553386231,6.496674519657158,6.193785953109286,5.867424048214273,6.125640418329032,8.491465997165387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,6.798441499328756,6.4965589404425055,6.191864981580419,5.849117977968911,6.020369388674758,8.12564041832903,13.491465997165387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,6.798441474328499,6.496554340185358,6.191741795607655,5.847187748889217,6.002058647438518,8.020369388674759,13.12564041832903,22.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,6.798441473969983,6.496554230293071,6.191737013690057,5.847064342295514,6.000128307442693,8.002058647438517,13.020369388674759,22.12564041832903,26.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,6.7984414739668715,6.496554228710741,6.191736901182602,5.847059557205897,6.000004899257722,8.000128307442692,13.002058647438517,22.02036938867476,26.12564041832903,42.491465997165385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,6.798441473966855,6.496554228696972,6.191736899577519,5.847059444670869,6.0000001141542905,8.000004899257721,13.000128307442692,22.002058647438517,26.02036938867476,42.125640418329034,87.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,6.798441473966855,6.4965542286969,6.191736899563632,5.847059443065641,6.000000001619189,8.000000114154291,13.000004899257721,22.000128307442694,26.002058647438517,42.02036938867476,87.12564041832903,100.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,6.798441473966855,6.496554228696899,6.191736899563559,5.847059443051753,6.000000000013961,8.000000001619188,13.000000114154291,22.00000489925772,26.000128307442694,42.00205864743852,87.02036938867475,100.12564041832903,117.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
