data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,15.485714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,16.914285714285715,20.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,18.342857142857145,22.5,21.037777777777777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,19.771428571428572,24.250000000000007,23.154444444444444,23.97575757575758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,21.2,26.000000000000007,25.27111111111111,26.218181818181822,27.05272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,22.628571428571426,27.750000000000007,27.387777777777778,28.460606060606064,29.35272727272727,29.989510489510483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,24.057142857142857,29.500000000000007,29.504444444444445,30.703030303030307,31.652727272727276,32.38811188811188,40.22637362637363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,25.485714285714284,31.250000000000007,31.621111111111112,32.94545454545455,33.95272727272727,34.78671328671328,42.671428571428564,51.19824175824176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,26.91428571428571,33.00000000000001,33.73777777777779,35.18787878787879,36.25272727272727,37.18531468531468,45.11648351648351,53.88835164835164,58.262142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
