data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,15.615059962322611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,16.888993631619186,21.16830626803428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,18.161217049365682,22.451767222924808,21.68133399845285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,19.433020790499445,23.73510015025623,23.136142269022134,23.392303720317248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,20.703696368597555,25.01379139738504,24.590380597556827,25.068782408360562,27.761718978423314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,21.973510175390736,26.291266634158813,26.04461892609152,26.74526109640387,29.42218842773375,29.55431947989791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,23.243323982183924,27.568741870932588,27.49885725462621,28.421739784447183,31.081818359612505,31.318966998931344,40.97044333771079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,24.513137788977108,28.84621710770636,28.952602671924435,30.09821847249049,32.74106368950465,33.08346847695278,42.81852526605271,52.39494971193023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,25.782675046016603,30.123692344480133,30.404219494354255,31.774697160533805,34.4003090193968,34.84788966568949,44.666607194394636,54.28599120736404,59.591616391567804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
