data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_40,yhat_model_36_to_40,yhat_model_37_to_40,yhat_model_38_to_40,yhat_model_39_to_40
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,9.89797571563853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,10.544272073717307,13.432753973511684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,11.232768877065507,14.494261009304418,18.25782915013366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,11.966221638009134,15.639652346801736,19.941421848740177,74.56399786538945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,12.747565792288043,16.875556840863,21.78026215928858,136.6569479405379,35.38567029525401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,13.579928447301272,18.20912718353587,23.788665789511267,250.45761969653398,46.19393910642043,50.96723770984101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,14.466640897463613,19.648081299652606,25.982268528559715,459.0254663915681,60.303506825300374,72.3821246506239,39.58219370555898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,15.411251956762523,21.200747013663033,28.378147974479322,841.2775744307392,78.72272869069126,102.79489735671606,48.30236861289453,53.68402629219258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,16.417542161875186,22.87611024620959,30.994956486429878,1541.8490019817964,102.76795395103152,145.98619443104056,58.94364599828313,68.73661496610143,45.78455037341456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
