data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_32,yhat_model_28_to_32,yhat_model_29_to_32,yhat_model_30_to_32,yhat_model_31_to_32
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,39.7878407089205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,74.28541201921344,14.712163464944284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,138.6936898444726,16.35825661475396,1416.65181511027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,258.94639445089854,18.188525440989928,4869.213447548582,19.76812986346963,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,483.46276802003064,20.22357672388878,16736.109285923907,20.63182528299447,36.12176446866654,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,902.6433774342862,22.486322865145702,57524.14780079197,21.533256683760847,44.71657644707426,58.26814474387552,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,1685.2695196421375,25.00223985593514,197717.85208109595,22.474072800088845,55.356437830758395,74.98083691240703,65.9518804747435,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,3146.4622960041684,27.799654108082255,679581.5414239642,23.455994401654934,68.52794763788572,96.48712737976636,74.84330894766542,90.30738955037704,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,5874.56478906597,30.910061377783286,2335808.661601009,24.480817440810842,84.8334862481246,124.1619343469715,84.93345229755529,107.2971194361917,151.38671349492347,,,,,,,,,,,,,,,,,,,,,,
