data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_34,yhat_model_30_to_34,yhat_model_31_to_34,yhat_model_32_to_34,yhat_model_33_to_34,yhat_model_34_to_34
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,16.64285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,18.71428571428571,18.857142857142854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,20.785714285714285,21.0,20.678571428571423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,22.857142857142854,23.142857142857146,22.78571428571428,24.749999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,24.928571428571423,25.285714285714285,24.892857142857135,27.071428571428566,33.92857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,26.999999999999996,27.42857142857143,26.999999999999993,29.392857142857142,37.42857142857143,53.25000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,29.07142857142857,29.57142857142857,29.107142857142847,31.71428571428571,40.92857142857143,59.357142857142854,78.74999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,31.14285714285714,31.714285714285715,31.214285714285705,34.03571428571428,44.42857142857143,65.46428571428572,88.21428571428571,101.85714285714283,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,33.21428571428571,33.85714285714286,33.321428571428555,36.35714285714285,47.92857142857143,71.57142857142858,97.67857142857143,113.99999999999997,118.14285714285711,,,,,,,,,,,,,,,,,,,,,,,,,
