data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_37,yhat_model_33_to_37,yhat_model_34_to_37,yhat_model_35_to_37,yhat_model_36_to_37,yhat_model_37_to_37
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,14.583661510997242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,16.14525473736598,16.342340281221922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,17.706109002582316,17.873826947294944,18.33318273063029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,19.266357033855492,19.402689119014944,19.886157311669944,22.016556041089586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,20.826605065128668,20.931113161760344,21.43843665838667,23.730214914858006,26.658479769019088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,22.386853096401843,22.457560277171105,22.989268852730703,25.443873788626433,28.585210289471185,35.18814621244835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,23.94710112767502,23.982559856692262,24.540101047074735,27.15742719993065,30.511940809923278,37.57600311710461,45.916137143174254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,25.50734915894819,25.507543683112136,26.090761497306502,28.87091001654357,32.43841203935453,39.96206823642393,48.835555215221305,53.473147122326885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
