data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45,yhat_model_1_to_46,yhat_model_1_to_47
08/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,2.0346794270833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,2.094424562445746,5.603885693091273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,2.156123861610638,5.673520956723781,7.649859199191324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,2.2198412420190476,5.7456045388626364,7.929707838676364,16.81969509696328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,2.2856427117449827,5.820222520369689,8.230436627844558,17.397372611751685,32.416804267091656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,2.3535964378765373,5.897464008638977,8.553603482616431,18.031596754489104,34.08744675362114,37.167537518612036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,2.4237728171336443,5.977421244007115,8.900882558597193,18.72790265688926,35.992316440145764,41.54260145733452,38.534164652769746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,2.496244548795619,6.0601897099049635,9.274072923986576,19.492367263399874,38.16425241800907,46.70985714267197,45.39910366615101,90.82564493844178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,2.571086710014038,6.145868246882161,9.67510787959437,20.331662367165315,40.64069788055599,52.81274653848928,53.59799359521324,99.44955427696186,138.08040205616473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,2.6483768335889755,6.234559170640646,10.106064974243742,21.25311283747543,43.464345626841066,60.02068460961398,63.390039225603886,109.76867224921614,155.40420237026188,130.44182608311795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,2.728194988289177,6.3263683942181554,10.56917676744678,22.26476054687518,46.6838740661635,68.53376224670444,75.0848123543144,122.11622734811684,176.5955520681615,161.50957541269014,160.30096783242342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,2.810623861799364,6.421405554467585,11.066842395108,23.375434555852923,50.354786411813926,78.5883007485622,89.05203878425839,136.89095105321684,202.51788399744612,200.13032951908318,199.35849806812254,181.60551643274667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,2.8957488463806134,6.519784142983266,11.601639998171525,24.59482816763763,54.54036753135353,90.46341205318451,105.7332870648598,154.56995380425371,234.22739293536006,248.14032959741877,247.93244413549206,224.89229300905652,206.36453732272236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,2.983658127332541,6.621621641630491,12.17634007859819,25.93358352559357,59.312774949091065,104.48874682823288,125.65592851373786,175.7241320149286,273.01606981159944,307.82223278273847,308.3414925908695,278.49673538744713,254.54644453227846,243.32410185523528,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,,6.7270396628401645,12.793919851862778,27.403384491528243,64.75428280914693,121.05364550632889,149.4498098602629,201.03660365548797,320.4643433485748,382.01364211433685,383.4692808546194,344.8781218053673,313.9778435996329,299.50394106959885,274.83122208225404,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,,,13.457578670324018,29.01705861550034,70.95870024446455,140.61794629605038,177.86716561026532,231.32476773225653,378.5054739811779,474.24202165372685,476.9020481919835,427.0819143877077,387.28526125209555,368.6548518304608,336.95355801154204,308.8478454391809,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,,,,30.78868908705961,78.03298860380873,163.72475019680877,211.80639965373229,267.5667000163921,449.5043237598887,588.8924113564467,593.099825526661,528.8794796325367,477.70846459587347,453.77165753741133,413.11791068140354,377.1494817570321,346.5872050751576,,,,,,,,,,,,,,,,,,,,,,,,
