data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_49,yhat_model_44_to_50,yhat_model_45_to_50,yhat_model_46_to_50,yhat_model_47_to_50,yhat_model_48_to_50,yhat_model_49_to_50,yhat_model_50_to_50
08/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,2.5988013179638347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,2.841508839203974,3.157866249049934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,3.078725079174316,3.4861408829353717,4.038689648355848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,3.315777509954137,3.8144155168208096,4.395334519016771,5.393783497894707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,3.5572555512933883,4.142338460135529,4.751979389677695,5.839891163903647,8.827480695370728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,3.800197119644803,4.469730245533086,5.108614991919643,6.285998829912587,9.494279558889394,15.467352154271335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,4.0431386879962155,4.797122030930641,5.4651959147062,6.731038725747981,10.157775445338157,16.53926092369886,22.22073054989666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,4.286080256347631,5.124513816328196,5.821804447619971,7.174656095880568,10.821271331786921,17.610722535881443,23.657154410116696,29.58665689231529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,4.529021824699045,5.451684658481538,6.178413496769234,7.616619569214066,11.48414342827775,18.68218414806402,25.09314703292129,31.410389610188695,42.39399273144589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,4.771963393050459,5.778628448664768,6.535022545918498,8.058583042547566,12.145726795042611,19.75212241650132,26.5283252126901,33.234122328062114,44.789702953961935,57.30489931208489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,5.014904961401873,6.10527626148823,6.890842820910065,8.500546515881066,12.807276046994511,20.820598226214397,27.962456472810803,35.057855045935526,47.18541317647796,60.38175743517007,69.93869318294529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,5.257846529753287,6.431924074311693,7.246380833865173,8.941715612057857,13.46762425901138,21.886982729939618,29.396587732931515,36.88158776380894,49.581123398994,63.45861555825524,73.48554188555786,63.761921130963465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,5.500788098104701,6.758916590914389,7.601918846820281,9.381923677664508,14.127776399322006,22.951455172939358,30.830718993052223,38.70532048168234,51.97683362151003,66.5354736813404,77.03239058817046,66.82682094442617,74.26519881081633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,5.743729666456115,7.0865642174159715,7.957456859775387,9.822131743271159,14.787928539632633,24.015927615939102,32.26485025317292,40.529053199555754,54.37254384402607,69.6123318044256,80.57923929078305,69.89172075788888,77.6756982852681,84.83625193732577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,5.986671234807529,7.414211843917556,8.312994872730494,10.26233980887781,15.448080679943265,25.08040005893884,33.69898151329363,42.352493933706256,56.7682540665421,72.68918992751074,84.12608799339563,72.95662057135156,81.08619775971988,88.52613091700121,76.8580268478642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
