data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_49,yhat_model_44_to_50,yhat_model_45_to_50,yhat_model_46_to_50,yhat_model_47_to_50,yhat_model_48_to_50,yhat_model_49_to_50,yhat_model_50_to_50
08/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,2.10803289437428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,1.9891741141795896,2.097689966269834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,1.9586205180760121,2.023989260296685,2.012457417261139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,1.9539263448657307,2.002685621070631,1.8050771198754354,2.768212213114375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,1.9534809048209212,1.9988809734130586,1.7285645674812,2.435351171109514,4.317001144008839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,1.9534545824447176,1.9984693824482125,1.7133532173927313,2.3337132069642244,3.952977936922406,5.491465997165387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,1.9534536159595879,1.9984425533862307,1.7116234203705247,2.315640608846536,3.8478254210248806,5.125640418329032,7.491465997165387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,1.9534535940328839,1.9984414993287558,1.7115078411558724,2.3137196373176696,3.8295193507795178,5.020369388674758,7.125640418329032,15.491465997165387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,1.9534535937272235,1.9984414743284986,1.7115032408987245,2.3135964513449045,3.827589121699824,5.002058647438518,7.020369388674758,15.12564041832903,29.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,1.9534535937246167,1.9984414739699834,1.7115031310064384,2.3135916694273067,3.827465715106121,5.000128307442693,7.002058647438518,15.020369388674759,29.12564041832903,35.491465997165385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,1.9534535937246034,1.9984414739668714,1.711503129424107,2.313591556919852,3.8274609300165046,5.000004899257722,7.000128307442693,15.002058647438517,29.02036938867476,35.125640418329034,38.491465997165385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,1.9534535937246034,1.998441473966855,1.7115031294103393,2.3135915553147695,3.8274608174814757,5.0000001141542905,7.000004899257722,15.000128307442692,29.002058647438517,35.02036938867476,38.125640418329034,83.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,1.9534535937246034,1.998441473966855,1.7115031294102667,2.3135915553008823,3.8274608158762478,5.000000001619189,7.0000001141542905,15.000004899257721,29.000128307442694,35.00205864743852,38.02036938867476,83.12564041832903,128.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,1.9534535937246034,1.998441473966855,1.7115031294102665,2.3135915553008095,3.82746081586236,5.000000000013961,7.000000001619189,15.000000114154291,29.00000489925772,35.000128307442694,38.00205864743852,83.02036938867475,128.12564041832903,130.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,1.9534535937246034,1.998441473966855,1.7115031294102665,2.313591555300809,3.8274608158622874,5.000000000000073,7.000000000013961,15.000000001619188,29.00000011415429,35.000004899257725,38.000128307442694,83.00205864743852,128.02036938867477,130.12564041832903,133.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
