data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,58.5751710022864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,107.99191108973203,72.1778505612924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,199.0989127519127,130.93637238928642,84.85959296993222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,367.06802073403435,237.5290131410489,151.319881181498,95.3178910200658,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,676.74368475077,430.89655726842955,269.83050047029894,166.9214462527454,103.40783763917986,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,1247.6761498705673,781.6806907522063,481.15619980379915,292.3141597126048,177.74880850309532,110.88019166453677,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,2300.2738112423453,1418.0310610237827,857.9878412785904,511.9028733977365,305.5342771455387,187.11847214657723,117.56047203968247,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,4240.891842996515,2572.4213400912386,1529.9462754134156,896.4483692835614,525.1860493299523,315.7761732988403,194.8188034432634,125.03175923888138,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,7818.705554136116,4666.577293574403,2728.168737406783,1569.8674896219284,902.7477669204962,532.8954991955519,322.8497259032222,203.606313665535,135.39887204207199,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,14414.929407651292,8465.543065403048,4864.814392095257,2749.16439074061,1551.7425333739998,899.3003179949528,535.0199450647017,331.56000696802727,216.91609473645454,144.53661935802901,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,26576.034663135313,15357.169694986645,8674.836986818083,4814.358471195783,2667.306392898582,1517.6353772300238,886.6240812694446,539.9245054906506,347.51096110382696,227.81856946923185,151.60919887196775,,,,,,,,,,,,,,,,,,,,,
04/04/2020,48996.81423630703,27859.129558321805,15468.790930676378,8430.94271380787,4584.8607230790585,2561.121231843091,1469.2952454171048,879.2329156195099,556.7307867773915,359.0875504459078,235.10020023935792,156.06400526631646,,,,,,,,,,,,,,,,,,,,
05/04/2020,90332.80682152594,50538.68096545994,27583.62989651343,14764.333704850831,7880.964821289015,4322.080298476918,2434.885949763915,1431.7752056952534,891.9119211700746,565.99367288476,364.56959448260693,238.07310594090507,162.2650149420939,,,,,,,,,,,,,,,,,,,
06/04/2020,166541.76634627985,91681.19443148896,49186.561618010106,25855.418207407103,13546.672465261716,7293.828138326406,4035.043063570716,2331.5553856389274,1428.8896788518655,892.1190315503221,565.3376266200303,363.1766573953392,243.7234748259357,165.822241328687,,,,,,,,,,,,,,,,,,
