data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,24.6593649563023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,22.1776439031485,27.12082243781055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,21.96287319220989,24.919449959254713,28.173400777489167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,21.95626396986964,24.730786618788624,25.30009572200487,29.442156457139816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,21.95619004116239,24.724999550338886,25.04827782982121,26.87932600019888,32.95728345621461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,21.95618973826987,24.724934892062677,25.040492260089728,26.659747988230734,30.00856096571947,36.471815771484245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,21.956189737814068,24.724934627261938,25.04040502311777,26.653014278289213,29.751714117432655,33.1305518246879,42.41192634100381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,21.956189737813816,24.72493462686352,25.040404665473616,26.652939051373153,29.74378982547684,32.83995490760994,38.79512433090169,51.83148486133775,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,21.956189737813816,24.7249346268633,25.0404046649353,26.65293874330265,29.743701101475164,32.83099533007135,38.48133319833054,47.389062968078946,56.403372413716,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,21.956189737813816,24.7249346268633,25.040404664935,26.65293874283913,29.743700737835283,32.8308950405263,38.47166666014623,47.00102613604106,50.91464253528949,60.03529437127468,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,21.956189737813816,24.7249346268633,25.040404664935,26.652938742838874,29.743700737287995,32.830894629524366,38.47155848993949,46.989043917647585,50.4352048849735,54.687097454801936,62.298310111164184,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,21.956189737813816,24.7249346268633,25.040404664935,26.652938742838874,29.743700737287693,32.83089462890582,38.471558046690305,46.988909718934536,50.42040096043041,54.22609376691584,56.32536454607177,70.7144281846063,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,21.956189737813816,24.7249346268633,25.040404664935,26.652938742838874,29.743700737287693,32.830894628905476,38.471558046023254,46.98890916885487,50.42023516291605,54.211925290618815,55.80605152424231,64.81177636658846,72.77674269898144,,,,,,,,,,,,,,,,,,,,,,,
