data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,21.06619009614176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,23.162625562974164,23.412013277052598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,25.25906102980656,25.563783159065334,24.14595857410979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,27.355496496638963,27.715553041078078,26.131060650834144,27.928222403762263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,29.451931963471363,29.867098323214034,28.115930880142006,30.057957030460322,29.406449228975685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,31.54836743030376,32.015343984335715,30.099146867824036,32.187691657158375,31.52080042886771,32.72327522079777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,33.644540475831576,34.16358964545738,32.08171647861986,34.317426283856435,33.635151628759736,34.94048118745834,36.29235477983331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,35.74067655389877,36.311835306579056,34.064286089415674,36.447160910554494,35.749108370480656,37.157293702904674,38.46648694335533,45.315956552169766,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,37.83681263196596,38.46008096770072,36.046855700211495,38.576895537252554,37.862765426110066,39.37410621835101,40.640619106877345,47.51266008438951,49.31613132532768,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,39.9328832345871,40.60832662882239,38.029425311007316,40.706630163950614,39.976129416812064,41.590918733797345,42.81475127039936,49.70936361660925,51.62611851370185,52.115222245570514,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,42.02872640730911,42.75657228994406,40.01199492180313,42.836364790648666,42.08853570852617,43.80773124924368,44.988876859188046,51.90606714882899,53.93492230551709,54.513499491379925,53.73474830731494,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,44.124569580031114,44.90481795106573,41.994217872966985,44.96609941734672,44.200942000240275,46.02454376469001,47.16272779123023,54.10277068104872,56.24372609733235,56.91177673718932,56.231067222347946,61.820302488635484,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,46.21977181387823,47.0530636121874,43.975270565405324,47.09583404404478,46.31334829195438,48.241263687829694,49.33657872327242,56.29947421326846,58.5525298891476,59.31005398299872,58.72738613738097,64.25636557041615,63.24550625472906,,,,,,,,,,,,,,,,,,,,,,,
