data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_38,yhat_model_34_to_38,yhat_model_35_to_38,yhat_model_36_to_38,yhat_model_37_to_38
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,58.5751710022864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,107.99191108973203,52.80875930820458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,199.0989127519127,85.99997945786956,22.93091763008673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,367.06802073403435,140.05245651747234,24.271371543346255,36.534641902375476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,676.74368475077,228.07785188120315,25.690183275623685,46.31580622214466,82.15003563266222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,1247.6761498705673,371.42873329218827,27.191933325913052,58.71561330036675,133.56247549703252,42.30853203610499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,2300.2738112423453,604.8781272584818,28.781469951695016,74.43513405991116,217.15066492074394,52.94029255936828,29.123230222897575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,4240.891842996515,985.0545098994984,30.46392482107589,94.36313224173267,353.0513424526104,66.24372062542315,29.558882385669982,37.88212744992336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,7818.705554136116,1604.1783356776766,32.24472957989097,119.62631409118949,574.0035401369075,82.89018269738622,30.001051435665254,41.28550376532654,41.83452758860547,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,14414.929407651292,2612.4322124266546,34.129633387257556,151.6530310416618,933.2355509565242,103.71975370249933,30.449834858498534,44.9946435402809,44.2082187709931,47.52585027403697,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,26576.034663135313,4254.391118953318,36.12472147618936,192.25403707240937,1517.2878434885597,129.78361197949621,30.905331598064798,49.037016935160295,46.71659319600634,50.340789914624764,58.14510165973205,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,48996.81423630703,6928.349645565028,38.23643479919366,243.7248666693998,2466.861016641031,162.3970877019018,31.367642078353125,53.442562062892726,49.367292791111936,53.32245745454446,64.99723821176696,60.88623139040696,,,,,,,,,,,,,,,,,,,,,,,,,
