data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,29.428158575361753,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,54.344006027238656,36.74428276601141,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,100.35527651265036,66.79217473988163,44.481111616668414,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,185.32276621054714,121.41193869239169,79.54961578042506,53.216222992033764,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,342.22941602477454,220.6973932867514,142.2658099318252,93.64796095306494,61.6251775807115,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,631.9837308039955,401.1742167050931,254.42688160083617,164.798253193948,106.65161257650615,73.84518818365201,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,1167.0634296732212,729.2372136894033,455.0147228778753,290.0059326373164,184.57661156873274,125.9013134558515,84.60391433613052,,,,,,,,,,,,,,,,,,,,,
04/04/2020,2155.177392221583,1325.5760008634998,813.7441953183503,510.3418230159268,319.43750980563857,214.6536710081501,141.95664562517345,99.72729349025565,,,,,,,,,,,,,,,,,,,,
05/04/2020,3979.8947288097,2409.5749655662466,1455.2927237742076,898.0808563145455,552.8345211431601,365.97075290586383,238.18861568376872,164.92886025527787,117.1877026677607,,,,,,,,,,,,,,,,,,,
06/04/2020,7349.539814947494,4380.021598838113,2602.6322818089084,1580.4098118242928,956.7630550136237,623.9566803280973,399.6559399631894,272.75912133084046,191.097422390112,139.3649360403939,,,,,,,,,,,,,,,,,,
07/04/2020,13572.151821124517,7961.814627244863,4654.523920621761,2781.1473273801744,1655.8219655786559,1063.8061534556614,670.5814628853599,451.0886581888651,311.6216464083935,224.29520223849752,158.1458527547444,,,,,,,,,,,,,,,,,
08/04/2020,25063.2433721933,14472.643736602997,8324.108280322496,4894.161247749724,2865.6482577640113,1813.7213172155687,1125.16655803211,746.0097999795966,508.1599180968467,360.9827491516732,250.89778814924532,183.32382569466765,,,,,,,,,,,,,,,,
09/04/2020,46283.4616509429,26307.748488627574,14886.759600813813,8612.565786487317,4959.434110632846,3092.27861282463,1887.9134801408252,1233.749977000276,828.6539312541115,580.9689368501971,398.04837750508176,287.0657299450964,201.66401535323783,,,,,,,,,,,,,,,
10/04/2020,85470.1361105939,47821.09220242125,26623.345582409496,15156.07796140294,8583.044562803461,5272.136865002237,3167.724176526518,2040.3740082098277,1351.2819750809754,935.0167186051079,631.5022224914129,449.51458435174914,311.24888808193185,221.96187790678033,,,,,,,,,,,,,,
11/04/2020,,86927.12188658208,47612.94929231309,26671.111126085347,14854.245932842854,8988.6554879109,5315.1145770737885,3374.3677171126765,2203.529009287714,1504.824455522466,1001.875851149532,703.8923161729266,480.3825321168463,337.83444408962487,247.88413164091247,,,,,,,,,,,,,
12/04/2020,,,85150.56581807732,46934.844919084,25707.500481776417,15325.081565445375,8918.214274072161,5580.5246707108945,3593.2841437343436,2421.8782369118962,1589.4721908603387,1102.2209512552367,741.4239407732329,514.1969093507091,372.4463147632399,266.6580832105246,,,,,,,,,,,,
