data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,12.821111979467634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,11.087425658093986,15.410049154700822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,10.931587358248139,14.533365828260079,18.78692024693319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,10.926726737015827,14.46244626770671,16.895778980922668,21.202213001212737,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,10.926672101391418,14.460318600417503,16.726839242187665,19.37535735198756,29.5267383305603,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,10.926671877143674,14.460295024605786,16.721580788835983,19.218159413294906,27.355725263616197,31.644407396707553,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,10.926671876805997,14.460294928349674,16.72152172432614,19.213332182028672,27.166341433849155,28.181847547653604,42.604552752081446,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,10.92667187680581,14.46029492820501,16.721521481964263,19.213278228597026,27.160495714520152,27.876030317238833,39.86684722285896,51.66722844366324,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,10.92667187680581,14.460294928204931,16.721521481599346,19.213278007609116,27.16043025208344,27.866551126327572,39.63449653994446,46.479136008835916,66.11428801149518,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,10.92667187680581,14.460294928204931,16.721521481599144,19.213278007276603,27.160429983765827,27.866444816879305,39.62739605921732,46.01786426125967,61.12807326571538,70.36927089886494,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,10.92667187680581,14.460294928204931,16.721521481599144,19.21327800727642,27.160429983361993,27.86644438090199,39.62731683725359,46.00353219863905,60.699050657238914,62.895095583243304,89.84147441584372,,,,,,,,,,,,,,,,,,,,,
07/04/2020,10.92667187680581,14.460294928204931,16.721521481599144,19.21327800727642,27.16042998336177,27.866444380245685,39.627316512976755,46.003371322940865,60.68587592781998,62.23626447633726,83.5975762033606,91.30354027957654,,,,,,,,,,,,,,,,,,,,
08/04/2020,10.92667187680581,14.460294928204931,16.721521481599144,19.21327800727642,27.16042998336177,27.866444380245323,39.62731651248894,46.00337066297362,60.685728673024194,62.21585517839248,83.06532076340882,80.78222212527018,106.37970127001525,,,,,,,,,,,,,,,,,,,
09/04/2020,10.92667187680581,14.460294928204931,16.721521481599144,19.21327800727642,27.16042998336177,27.866444380245323,39.62731651248867,46.003370661980014,60.68572806987912,62.215626333036006,83.04902911899335,79.85047805466783,98.92428365123442,126.95276344261683,,,,,,,,,,,,,,,,,,
10/04/2020,10.92667187680581,14.460294928204931,16.721521481599144,19.21327800727642,27.16042998336177,27.866444380245323,39.62731651248867,46.00337066197947,60.685728068971585,62.21562539460302,83.04884724082214,79.82156737074273,98.29750778650761,114.82348851614827,131.64758448464613,,,,,,,,,,,,,,,,,
