data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_38,yhat_model_34_to_38,yhat_model_35_to_38,yhat_model_36_to_38,yhat_model_37_to_38,yhat_model_38_to_38
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,13.107142857142854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,14.785714285714281,15.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,16.46428571428571,17.07142857142857,17.53571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,18.14285714285714,18.892857142857142,19.499999999999996,19.89285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,19.821428571428566,20.71428571428571,21.46428571428571,21.928571428571423,21.107142857142854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,21.499999999999996,22.535714285714285,23.428571428571423,23.964285714285715,22.92857142857143,27.07142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,23.178571428571423,24.357142857142854,25.392857142857135,26.0,24.75,29.57142857142857,31.749999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,24.85714285714285,26.178571428571427,27.35714285714285,28.035714285714285,26.57142857142857,32.07142857142857,34.64285714285714,40.85714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,26.535714285714278,28.0,29.321428571428566,30.07142857142857,28.392857142857146,34.57142857142857,37.53571428571428,44.85714285714285,50.928571428571416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,28.214285714285705,29.82142857142857,31.28571428571428,32.107142857142854,30.214285714285715,37.07142857142857,40.428571428571416,48.85714285714285,55.999999999999986,64.39285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,29.892857142857135,31.64285714285714,33.249999999999986,34.14285714285714,32.035714285714285,39.57142857142857,43.321428571428555,52.85714285714285,61.071428571428555,70.92857142857142,74.60714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,31.57142857142856,33.464285714285715,35.2142857142857,36.17857142857142,33.85714285714286,42.07142857142857,46.21428571428571,56.85714285714285,66.14285714285712,77.4642857142857,81.9285714285714,88.9642857142857,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,33.249999999999986,35.285714285714285,37.178571428571416,38.214285714285715,35.67857142857143,44.57142857142857,49.10714285714285,60.85714285714285,71.2142857142857,84.0,89.24999999999999,97.49999999999997,98.32142857142858,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,34.928571428571416,37.107142857142854,39.142857142857125,40.25,37.5,47.07142857142857,51.999999999999986,64.85714285714285,76.28571428571426,90.53571428571428,96.57142857142854,106.03571428571425,107.21428571428572,107.5,,,,,,,,,,,,,,,,,,,,,,,,
