data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_38,yhat_model_34_to_38,yhat_model_35_to_38,yhat_model_36_to_38,yhat_model_37_to_38,yhat_model_38_to_38
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,11.176149293054797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,12.377574389825146,12.57100580143068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,13.577405095896893,13.74938642913219,14.46744738637305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,14.777235801968644,14.926438380717403,15.717005878663853,17.020770651331627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,15.97706650804039,16.103155322061305,16.965728964388745,18.39309476542862,19.033658192383363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,17.176886764190893,17.27878149184606,18.214045512752914,19.76517300726519,20.39585122122938,22.373852885938177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,18.37654200687283,18.454023227860983,19.461836591887693,21.13725124910176,21.758044250075386,23.904396611119772,26.026954520621572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,19.573873378678382,19.628062694255526,20.706866543469555,22.509329490938327,23.1202372789214,25.43490539405545,27.6777056057345,30.089223155718475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,20.771093841495173,20.802102160650072,21.950927916830718,23.881407732774896,24.48243030776741,26.965320528595555,29.327313170329322,31.88876444792672,36.784984979428884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,21.968314304311964,21.976141627044623,23.19498929019188,25.252922409618478,25.844537724206464,28.495693161201466,30.976920734924143,33.68782344378302,38.87734410850787,43.08148152332298,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,23.165534767128758,23.150181093439166,24.43905066355304,26.624240885780278,27.206367554583988,30.02606579380737,32.62652829951897,35.486551800799845,40.96963247527573,45.364075871914906,49.720383489410935,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,24.36275522994555,24.324220559833705,25.683112036914206,27.995559361942075,28.568197384961508,31.556438426413276,34.2761358641138,37.285280157816665,43.061839483503626,47.64667022050682,52.22721989499436,49.538902326535215,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,25.55997569276234,25.498260026228255,26.92717341027537,29.36687783810388,29.930027215339024,33.08681105901918,35.92574342870862,39.08400851483349,45.15404649173152,49.92926456909875,54.734056300577805,51.914183126154036,56.901212154717726,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,26.757196155579127,26.6722994926228,28.17123478363653,30.73754090553736,31.291857045716547,34.61718369162509,37.575350993303445,40.88273687185032,47.24625349995941,52.21121036571296,57.24089270616123,54.28896346186165,59.521922013311126,62.729199192852164,,,,,,,,,,,,,,,,,,,,,,,,
