data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,8.535714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,9.499999999999998,12.666666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,10.464285714285712,14.083333333333336,14.977777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,11.428571428571427,15.500000000000004,16.511111111111113,18.127272727272725,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,12.39285714285714,16.91666666666667,18.044444444444444,19.854545454545452,20.50909090909091,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,13.357142857142854,18.333333333333336,19.57777777777778,21.581818181818186,22.309090909090912,23.160839160839156,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,14.32142857142857,19.750000000000004,21.11111111111111,23.309090909090912,24.109090909090913,25.048951048951047,28.7032967032967,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,15.285714285714283,21.16666666666667,22.644444444444446,25.03636363636364,25.909090909090914,26.937062937062933,30.94505494505494,35.2,,,,,,,,,,,,,,,,,,,,,
03/04/2020,16.249999999999996,22.58333333333334,24.17777777777778,26.763636363636365,27.709090909090914,28.825174825174823,33.18681318681318,37.82857142857142,41.74523809523809,,,,,,,,,,,,,,,,,,,,
04/04/2020,17.21428571428571,24.000000000000007,25.711111111111112,28.490909090909092,29.509090909090915,30.71328671328671,35.42857142857142,40.457142857142856,44.709523809523816,47.76176470588234,,,,,,,,,,,,,,,,,,,
05/04/2020,18.178571428571423,25.41666666666667,27.244444444444447,30.21818181818182,31.309090909090912,32.6013986013986,37.670329670329664,43.08571428571429,47.673809523809524,50.97352941176469,60.00980392156863,,,,,,,,,,,,,,,,,,
06/04/2020,19.14285714285714,26.83333333333334,28.77777777777778,31.945454545454545,33.10909090909092,34.48951048951048,39.912087912087905,45.71428571428571,50.63809523809525,54.18529411764705,63.91666666666667,71.08496732026143,,,,,,,,,,,,,,,,,
07/04/2020,20.107142857142854,28.250000000000007,30.311111111111114,33.67272727272727,34.909090909090914,36.37762237762237,42.153846153846146,48.34285714285714,53.602380952380955,57.39705882352939,67.82352941176471,75.51633986928104,83.51578947368421,,,,,,,,,,,,,,,,
08/04/2020,21.071428571428566,29.666666666666675,31.844444444444445,35.4,36.70909090909092,38.26573426573425,44.39560439560439,50.971428571428575,56.56666666666668,60.60882352941175,71.73039215686275,79.94771241830064,88.50526315789473,101.24962406015038,,,,,,,,,,,,,,,
09/04/2020,22.03571428571428,31.08333333333334,33.37777777777778,37.127272727272725,38.509090909090915,40.153846153846146,46.63736263736263,53.599999999999994,59.530952380952385,63.820588235294096,75.63725490196079,84.37908496732025,93.49473684210525,107.0887218045113,121.65454545454546,,,,,,,,,,,,,,
10/04/2020,,32.500000000000014,34.91111111111111,38.85454545454545,40.30909090909091,42.04195804195804,48.879120879120876,56.22857142857143,62.49523809523809,67.03235294117644,79.54411764705883,88.81045751633987,98.48421052631578,112.92781954887221,128.42337662337664,138.71033314511578,,,,,,,,,,,,,
11/04/2020,,,36.44444444444444,40.58181818181818,42.10909090909092,43.93006993006992,51.12087912087912,58.85714285714285,65.45952380952382,70.2441176470588,83.45098039215686,93.24183006535947,103.4736842105263,118.76691729323309,135.19220779220782,146.10897797854324,153.25790513833994,,,,,,,,,,,,
12/04/2020,,,,42.309090909090905,43.909090909090914,45.81818181818181,53.36263736263736,61.48571428571428,68.42380952380952,73.45588235294115,87.3578431372549,97.67320261437908,108.46315789473684,124.606015037594,141.96103896103898,153.50762281197066,161.07707509881425,173.71956521739128,,,,,,,,,,,
13/04/2020,,,,,45.70909090909092,47.70629370629369,55.6043956043956,64.11428571428571,71.38809523809525,76.6676470588235,91.26470588235294,102.10457516339868,113.45263157894735,130.44511278195492,148.72987012987014,160.90626764539812,168.89624505928856,182.25434782608693,195.9307692307692,,,,,,,,,,
14/04/2020,,,,,,49.594405594405586,57.84615384615384,66.74285714285713,74.35238095238095,79.87941176470585,95.17156862745098,106.53594771241829,118.44210526315788,136.2842105263158,155.49870129870132,168.30491247882557,176.71541501976284,190.78913043478258,205.21153846153842,218.74700854700848,,,,,,,,,
15/04/2020,,,,,,,60.08791208791207,69.37142857142857,77.31666666666668,83.09117647058821,99.07843137254902,110.9673202614379,123.4315789473684,142.12330827067672,162.2675324675325,175.703557312253,184.53458498023716,199.32391304347823,214.49230769230766,228.74017094017086,246.5722425722426,,,,,,,,
16/04/2020,,,,,,,,72.0,80.28095238095239,86.30294117647055,102.98529411764706,115.39869281045749,128.42105263157893,147.96240601503763,169.03636363636366,183.10220214568045,192.35375494071147,207.85869565217388,223.77307692307684,238.7333333333333,257.4721204721205,279.75779967159275,,,,,,,
17/04/2020,,,,,,,,,83.24523809523811,89.51470588235291,106.8921568627451,119.8300653594771,133.41052631578944,153.8015037593985,175.80519480519482,190.50084697910788,200.17292490118578,216.39347826086953,233.05384615384608,248.72649572649567,268.3719983719984,291.7536945812808,316.4088669950739,,,,,,
18/04/2020,,,,,,,,,,92.72647058823526,110.79901960784314,124.26143790849672,138.39999999999998,159.64060150375943,182.574025974026,197.89949181253533,207.9920948616601,224.92826086956518,242.33461538461532,258.71965811965805,279.2718762718763,303.7495894909688,329.57881773399015,365.05079718205405,,,,,
19/04/2020,,,,,,,,,,,114.70588235294119,128.69281045751632,143.38947368421051,165.47969924812034,189.34285714285718,205.29813664596278,215.8112648221344,233.46304347826083,251.61538461538456,268.71282051282043,290.1717541717542,315.7454844006568,342.7487684729064,379.85791620318867,418.99838709677397,,,,
20/04/2020,,,,,,,,,,,,133.12418300653593,148.37894736842102,171.31879699248123,196.11168831168834,212.6967814793902,223.63043478260872,241.99782608695648,260.89615384615377,278.7059829059828,301.0716320716321,327.7413793103448,355.9187192118227,394.6650352243232,435.55806451612887,472.48368768328464,,,
21/04/2020,,,,,,,,,,,,,153.36842105263156,177.15789473684214,202.8805194805195,220.09542631281764,231.44960474308303,250.53260869565213,270.176923076923,288.69914529914524,311.97150997151,339.7372742200328,369.0886699507389,409.4721542454578,452.11774193548365,490.64882697947235,547.3072638146168,,
22/04/2020,,,,,,,,,,,,,,182.99699248120305,209.64935064935068,227.4940711462451,239.26877470355734,259.0673913043478,279.45769230769224,298.6923076923076,322.8713878713879,351.73316912972086,382.2586206896552,424.27927326659244,468.67741935483855,508.81396627566005,567.8664215686274,629.1191749427043,
23/04/2020,,,,,,,,,,,,,,,216.41818181818186,234.89271597967254,247.08794466403165,267.60217391304343,288.7384615384615,308.68547008547,333.7712657712658,363.72906403940885,395.42857142857144,439.086392287727,485.23709677419333,526.9791055718478,588.4255793226382,652.1955691367455,722.3095238095239
