data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_39,yhat_model_35_to_39,yhat_model_36_to_39,yhat_model_37_to_39,yhat_model_38_to_39
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,22.76008505519504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,41.6024624628718,13.50879928799136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,76.04386709352853,14.412544919933822,42.90593149093001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,138.99825587725698,15.394404160251115,78.28406466129512,20.916530063873175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,254.07065520690242,16.4611286164727,142.83327658762823,26.087620383736436,17.710642960989624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,464.40796994077056,17.62005345903314,260.6066124571666,32.537133798373375,18.81903410391026,34.61602786281785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,848.8771061296825,18.87914786046941,475.490082416008,40.58112852919483,19.996792063632007,47.02601892852724,84.43196993880247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,1551.6364661076052,20.24706979423836,867.5559547175438,50.61380030915199,21.24825804705088,63.88504380196625,143.0989058409805,34.89599003133533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,2836.188778764277,21.733225569970237,1582.9001747871785,63.1267999334158,22.578044948278507,86.78809974925011,242.53013245726763,36.60338198632973,62.28991053846882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,5184.182612675561,23.347834514543447,2888.082261111373,78.73332659260797,23.991054351734835,117.90199724108136,411.05041861818864,38.394313261611686,79.67073491530421,52.035919050326854,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,9476.008636236595,25.101999243750225,5269.453677372697,98.19817768169328,25.492494599351037,160.170357383082,696.66579131547,40.27287127132986,101.9013504285682,56.834380531595265,82.94912090546481,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,17320.905990942203,27.007782007765858,9614.387523467376,122.47522767456324,27.08789998847837,217.5921017840504,1180.7389137828113,42.24334341874417,130.33499979891837,62.075329298712276,98.21186348007807,156.7661023741597,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,31660.3536218608,29.078287635399494,17541.9413682925,152.75417271549355,28.78315117126613,295.5997822091487,2001.1666998727446,44.31022688129854,166.70252259798968,67.79956905488609,116.28296988490477,226.55378399964164,130.39977864372906,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,57870.9908122276,31.327753647480293,32006.16848629317,190.5188316448504,30.58449683070087,401.57354299934934,3391.662724022156,46.47823887445793,213.21771652593262,74.05166619266932,137.6791825968816,327.4088994191682,160.680584811791,40316741058337.66,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,33.77164815903003,58396.89004003885,237.61986049915137,32.49857671320441,545.5393411722861,5748.334726063999,48.75232741773462,272.7120977657071,80.88029676813021,163.01232535862647,473.16176108998724,197.99305339312218,46825477970738.99,74769589358.85548,,,,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,106548.11018097422,296.3654438574881,34.53244610268872,741.117481355524,9742.52300762009,51.13768262747496,348.8072636718586,88.33862547104167,193.00679825091123,683.7995318849019,243.97004303817465,54384985731249.22,83723212335.0424,5.046782175763468e+33,,,,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,369.6344073611627,36.69360182627887,1006.8112044687459,16512.043761758843,53.6397485621799,446.1353500158098,96.48471954158211,228.52029188047297,988.2070747409466,300.6235869390175,63164900843862.17,93749027429.53748,7.549222154818219e+33,734094906.1147444,,,,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,38.99000988756087,1367.7572408490205,27985.316429531493,56.264235647393676,570.6210026663134,105.38200085611977,270.56831300443594,1428.1279483713272,370.43294290824,73362245939184.4,104975429141.59756,1.1292493544993698e+34,799751863.7809019,618792796526107.4,,,,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,1858.1039440081029,47430.70857617339,59.01713370851777,729.8420281476693,115.09973970182021,320.3532229004735,2063.8887223651514,456.45309002149276,85205850992234.38,117546187151.0632,1.6891860889579955e+34,871281135.8495538,726250039756974.1,2.451737170514152e+22,,,,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,80387.58903093632,61.9047256412948,933.4906769321923,125.71359408438704,379.2986188336027,2982.6715898696993,562.4484198258232,98961488301888.25,131622287488.96451,2.5267666806807112e+34,949207938.1952629,852367906039051.0,3.172770396837747e+22,339.06991775761696,,,,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,64.93360175116219,1193.9636391328931,137.3061987677467,449.0900417561117,4310.469705372935,693.0574726740698,114937836461692.39,147383994187.4365,3.7796604532403193e+34,1034104461.64931,1000386929394890.2,4.105852826361042e+22,400.23427729578873,297.32765946134566,,,,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,1527.1166673633654,149.9678086316793,531.7231742754736,6229.364689040247,853.9959283343977,133493407154454.42,165033157811.2372,5.653799874367589e+34,1126594073.40842,1174110382868271.5,5.3133461685532296e+22,472.4319921444397,306.59910792836524,356.57317278455275,,,,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,163.79700135629255,629.5609071089763,9002.495570422794,1052.3067340978062,155044590208937.25,184795800434.8237,8.457228741802681e+34,1227355894.2146778,1378002001678412.2,6.875952134870013e+22,557.6533542043835,316.15966423295487,371.8827367095537,590.3639869464304,,,,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,745.4009058377785,13010.143175285591,1296.6683164254948,180074997450952.03,206925010169.2105,1.2650733945402303e+35,1337129784.915352,1617300676611728.0,8.89810606371559e+22,658.2476814151116,326.0183435081911,387.8496208298552,732.5614737174847,591.4769719088373,,,,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,18801.878225581946,1597.7743640149076,209146315026289.66,231704182307.0514,1.8923582918633574e+35,1456721779.017301,1898155064639142.2,1.1514956760621628e+23,776.9880819717381,336.18444200240896,404.5020473627109,909.0092292906552,671.4588792214734,668.871060026195,,,,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,1968.8018022532817,242910907723268.4,259450648593.31177,2.8306815400899846e+35,1587010001.1254086,2227781575509852.2,1.4901399044868007e+23,917.1479012706186,346.66754584510505,421.8694502537718,1127.9569136258672,762.25626338475,743.266377453999,857.6439992295971,,,,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,282126458137812.3,290519741099.3888,4.234271076391272e+35,1728951114.7222006,2614649793706225.5,1.928376268452491e+23,1082.5909590151173,357.47754008618546,439.9825272029666,1399.6412335540535,865.3316369022706,825.9363289420162,1014.8844041390001,1032.9212050067706,,,,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,325309342744.23566,6.333828547803988e+35,1883587346.6325574,3068700100082039.0,2.4954938939182616e+23,1277.8780640696832,368.6246180170797,458.8732939241277,1736.7645510212221,982.345279130892,917.801262318548,1200.953256467475,1217.9289032330132,1140.59736206995,,,,,,,,,,
24/04/2020,,,,,,,,,,,,,,,,9.474448694760345e+35,2052054139.7518554,3601599084860683.5,3.229395567899644e+23,1508.3927433830331,380.11929078251234,478.5751407342687,2155.088770873552,1115.1819791141374,1019.8838912831702,1421.1359622216592,1436.0735418541897,1304.3983370885842,1587.541507972084,,,,,,,,,
25/04/2020,,,,,,,,,,,,,,,,,2235588490.229001,4227039314699580.0,4.1791309365197183e+23,1780.4896509801288,391.9723972919936,499.1228915725365,2674.1722748857082,1265.981394689654,1133.3206810712406,1681.68695346252,1693.2903161581983,1491.7227396630763,1968.4815210621937,1493.5184805340066,,,,,,,,
26/04/2020,,,,,,,,,,,,,,,,,,4961091156182104.0,5.408174693178041e+23,2101.669748249599,404.1951144403769,520.5528655531592,3318.2843567361306,1437.1725168779171,1259.3745004912168,1990.0073494902867,1996.577481048149,1705.9487648494253,2440.830352658386,1708.561878777166,1511.385826698239,,,,,,,
27/04/2020,,,,,,,,,,,,,,,,,,,6.998668851540874e+23,2480.7870847640374,416.7989676471192,542.9029411611854,4117.539911534052,1631.5127946849016,1399.4486811873544,2354.855190421513,2354.1867568657035,1950.9397496672855,3026.5220916291396,1954.5681768643447,1640.8913320112313,2361.8063006606467,,,,,,
