data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_39,yhat_model_35_to_39,yhat_model_36_to_39,yhat_model_37_to_39,yhat_model_38_to_39,yhat_model_39_to_39
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,5.153148661568706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,5.639611784387133,5.0642727355016595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,6.126074907205562,5.497801525769179,7.104189433360439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,6.61253803002399,5.929398205291957,7.756747051723267,10.109339230374125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,7.099001152842418,6.360383795090911,8.407797541028957,10.94874586168175,12.698626405396787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,7.58511988656124,6.790934516859409,9.058848030334646,11.787592198102942,13.653870337243758,14.759488170532823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,8.071141560827927,7.219312008659252,9.709898519640337,12.625590817164316,14.607978144926829,15.799744733930256,16.8542993426175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,8.557163235094615,7.647689500459097,10.360949008946024,13.463492829479502,15.561422255207678,16.83914278111613,17.914111779470907,19.78640649593762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,9.043184909361303,8.076066992258939,11.011999498251715,14.300872288514647,16.514576351964436,17.877928647190267,18.973924216324313,20.98198456182814,22.192907656136764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,9.52920658362799,8.504444484058785,11.662706815698835,15.138251747549795,17.467730448721206,18.916060122041742,20.033736653177723,22.177562627718657,23.446537767529986,25.820467095767714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,10.015228257894679,8.93282197585863,12.313254893759728,15.975631206584946,18.420884545477968,19.954191596893214,21.093549090031125,23.373140693609173,24.699133378064413,27.221393012061405,28.934522956662413,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,10.501249932161366,9.361199467658475,12.963802971820625,16.813010665620094,19.371977652165057,20.99232307174469,22.15336152688453,24.56871875949969,25.950743874141025,28.6223189283551,30.40336742118278,32.27050445983901,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,10.98727160642805,9.789576959458318,13.614221663381748,17.650390124655242,20.321804757954286,22.030454546596165,23.211845828017832,25.764296825390208,27.20044003226711,30.023244844648797,31.872239668949337,33.820529577067184,35.25229584371959,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,11.47329328069474,10.217954451258162,14.264590167577536,18.487769583690394,21.271631863743522,23.06858602144764,24.26945656303063,26.959798898951007,28.44983098054129,31.424170760942488,33.341111916715896,35.37055469429535,36.87731700252518,38.38261405457581,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,11.95931495496143,10.646331943058007,14.914958671773318,19.3250438972575,22.221458969532755,24.10649433606763,25.32706729804342,28.154469583186728,29.69922192881547,32.82509667723618,34.809984164482465,36.92057981152352,38.50166214159935,40.07407375272875,41.52706031090646,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,11.07439052674322,15.565327175969108,20.162292504567684,23.171286075321994,25.144215581758264,26.38467803305622,29.349140267422445,30.948612877089644,34.226022593529876,36.27885641224902,38.47060492875169,40.1255302089119,41.76553345088169,43.27847104941333,46.95800269243419,,,,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,16.215695680164895,20.999541111877875,24.121113181111227,26.181936827448897,27.442288768069016,30.543810951658166,32.19786047435496,35.62694850982356,37.747728660015575,40.02063004597986,41.74939827622444,43.45697772367619,45.0281493910472,48.838869755050446,55.806163150173994,,,,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,21.83678971918806,25.07094028690046,27.219589550761775,28.499899503081814,31.738481635893887,33.445353757237484,37.027874426117265,39.216600907782144,41.57065516320802,43.37316422949874,45.1484147457099,46.777827732681075,50.71951128838048,57.97725634524518,63.18905823347844,,,,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,26.02076739268969,28.256519749424267,29.557510238094608,32.93255707833353,34.69282692966319,38.42880034241095,40.6854731555487,43.12068028043619,44.9968762187099,46.83985176774361,48.52750607431495,52.59943662860716,60.148349540316346,65.5335720551755,68.79702776609447,,,,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,29.292361315806644,30.615120973107388,34.12650395651708,35.9402520212216,39.82972625870464,42.154345403315254,44.670705397664356,46.62058820792106,48.53128878977732,50.27718441594882,54.479361968833835,62.319442735387526,67.87808587687256,71.27832393209857,75.51864553285897,,,,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,31.67273170812019,35.320450834700615,37.187677112780015,41.23065217499834,43.623217651081816,46.22063893048146,48.24430019713222,50.22272581181103,52.0268627575827,56.35928730906051,64.49051707461767,70.22259969856961,73.75962009810266,78.17349643994496,81.40872765917861,,,,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,36.51439771288417,38.435102204338406,42.63157809129203,45.09208989884838,47.769018001745664,49.86801218634338,51.91416283384474,53.776541099216566,58.239212649287175,66.6611470283814,72.56595175874845,76.24091626410674,80.82819580161915,84.13587713258765,77.75935010134447,,,,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,39.68252729589681,44.03250400758573,46.56096214661495,49.317304210087705,51.49172417555454,53.605599855878445,55.52582887624059,60.11913798951385,68.83131559956774,74.90903863778696,78.72221243011084,83.48289516329334,86.8630266059967,80.26793642024143,97.37798097389191,,,,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,45.433429923879416,48.0298343943815,50.865590418429726,53.11543616476568,55.29703687791216,57.27375068875454,61.999063329740544,71.0014841707541,77.25212551682547,81.20350859611494,86.13759452496751,89.59017607940572,82.77652273913839,100.45202546298057,96.60390154497628,,,,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,49.49870664214806,52.41387662677177,54.739148153976856,56.98847389994587,59.02167250126848,63.87898866996721,73.17165274194046,79.59521239586397,83.68480476211903,88.7922938866417,92.31732555281475,85.28510905803535,103.52606995206926,99.54879336031979,117.53816341502649,,,,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,53.96216283511381,56.36286014318801,58.679910921979584,60.76959431378244,65.75891401019389,75.34182131312683,81.93829927490246,86.16610092812311,91.44699324831588,95.0444750262238,87.7936953769323,106.60011444115793,102.49368517566326,120.99958075931359,147.72736360058622,,,,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,57.98657213239916,60.371347944013294,62.51751612629639,67.63883935042057,77.51198988431317,84.28138615394097,88.64739709412721,94.10169260999005,97.77132655171907,90.30228169582927,109.6741589302466,105.43857699100674,124.46099810360066,151.96941301966325,130.40235087605706,,,,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,62.062784966047005,64.26543793881032,69.51876469064725,79.68215845549953,86.62447303297948,91.1286932601313,96.75639197166426,100.49737003089818,92.81086801472622,112.74820341933528,108.38346880635024,127.92241544788774,156.21146243874023,134.04530130440597,129.46074588285495,,,,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,66.01264447434397,71.39869003087392,81.85232702668588,88.96755991201798,93.6099894261354,99.41109133333845,103.22341351007728,95.3194543336232,115.82224790842396,111.32836062169372,131.38383279217481,160.4535118578173,137.68825173275488,132.9837218319129,151.71077773836424,,,,,,,,,,
24/04/2020,,,,,,,,,,,,,,,,73.2786153711006,84.02249559787224,91.3105128720682,96.0912855921395,102.06579069501262,105.94945698925638,97.82804065252016,118.89629239751262,114.27325243703721,134.8452501364619,164.69556127689432,141.3312021611038,136.50669778097085,155.7266911832354,133.60559445901197,,,,,,,,,
25/04/2020,,,,,,,,,,,,,,,,,86.19266416905862,93.65310455409337,98.57258175814357,104.72049005668681,108.67550046843546,100.33662697141712,121.9703368866013,117.21814425238071,138.306667480749,168.93761069597133,144.9741525894527,140.02967373002883,159.7426046281065,137.05055644888682,146.2905328382456,,,,,,,,
26/04/2020,,,,,,,,,,,,,,,,,,95.99555603776311,101.05387792414768,107.37518941836099,111.40154394761457,102.84521329031406,125.04438137568997,120.16303606772419,141.76808482503608,173.17966011504836,148.61710301780164,143.5526496790868,163.75851807297767,140.49551843876162,149.95380607235484,159.34415841274912,,,,,,,
27/04/2020,,,,,,,,,,,,,,,,,,,103.53517409015177,110.0298887800352,114.12758742679365,105.35379960921102,128.1184258647787,123.10792788306767,145.22950216932318,177.4217095341254,152.26005344615052,147.0756256281448,167.77443151784877,143.94048042863642,153.61707930646398,163.2626280796866,198.40892324076586,138.35253597260487,167.5451056569022,191.47150331594062,159.48979845558483,190.44898261741184,143.7622011333427
