data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_39,yhat_model_35_to_39,yhat_model_36_to_39,yhat_model_37_to_39,yhat_model_38_to_39,yhat_model_39_to_39
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,5.597299411500064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,5.380659452880241,5.521314037580272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,5.320811390966973,5.277455584735578,5.361799792381565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,5.310808982281044,5.195134017385495,5.026930875286608,5.105047407510388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,5.309786125706703,5.1793542742338765,4.925157987155073,4.749634503693234,5.806786177457492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,5.309722088503423,5.177590083465209,4.907080001301865,4.6454440934265735,5.441576419253859,9.491465997165387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,5.309719639174317,5.177473219836873,4.905158900822627,4.6272014764074605,5.33634588247608,9.12564041832903,13.041194101858519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,5.309719582067702,5.177468590105202,4.905035712990998,4.625273750945999,5.318036737188377,9.020369388674759,12.689946663442528,14.876044310920987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,5.309719581257495,5.1774684797989785,4.905030931057215,4.625150403826279,5.316106435089529,9.002058647438517,12.586364053433702,14.52817371179589,16.317001144008838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,5.3097195812505085,5.1774684782131,4.905030818549674,4.625145619590035,5.315983027448251,9.000128307442692,12.56816726430194,14.424819005996017,15.952977936922405,17.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,5.309719581250471,5.177468478199314,4.905030816944592,4.625145507062416,5.31597824234954,9.000004899257721,12.566241485958384,14.406631340168795,15.847825421024881,17.12564041832903,20.04119410185852,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,5.309719581250471,5.177468478199242,4.905030816930704,4.625145505457227,5.3159781298144635,9.000000114154291,12.56611818711202,14.404705780502454,15.829519350779517,17.02036938867476,19.68994666344253,21.923545663387607,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,5.309719581250471,5.177468478199241,4.905030816930632,4.6251455054433395,5.3159781282092355,9.000000001619188,12.566113403586114,14.40458248481114,15.827589121699823,17.002058647438517,19.5863640534337,21.5594085041967,29.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,5.309719581250471,5.177468478199241,4.905030816930632,4.625145505443267,5.315978128195347,9.00000000001396,12.566113291064754,14.40457770131272,15.82746571510612,17.000128307442694,19.568167264301938,21.454251426646902,29.12564041832903,32.491465997165385,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,5.309719581250471,5.177468478199241,4.905030816930632,4.625145505443266,5.315978128195274,9.000000000000073,12.566113289459599,14.404577588791504,15.827460930016503,17.00000489925772,19.566241485958386,21.435945247062932,29.02036938867476,32.125640418329034,34.04119410185852,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,5.177468478199241,4.905030816930632,4.625145505443266,5.315978128195274,9.0,12.566113289445711,14.404577587186349,15.827460817481475,17.00000011415429,19.56611818711202,21.434015016405713,29.002058647438517,32.02036938867476,33.68994666344253,35.47327376808074,,,,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,4.905030816930632,4.625145505443266,5.315978128195274,9.0,12.566113289445639,14.404577587172462,15.827460815876247,17.00000000161919,19.566113403586115,21.43389160979827,29.000128307442694,32.00205864743852,33.586364053433705,35.123714749310196,36.92354566338761,,,,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,4.625145505443266,5.315978128195274,9.0,12.566113289445639,14.404577587172389,15.82746081586236,17.000000000013962,19.566113291064756,21.43388682470858,29.00000489925772,32.000128307442694,33.56816726430194,35.020246091405845,36.559408504196696,41.491465997165385,,,,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,5.315978128195274,9.0,12.566113289445639,14.404577587172389,15.827460815862286,17.000000000000075,19.5661132894596,21.43388671217355,29.00000011415429,32.000004899257725,33.566241485958386,35.002053863926356,36.4542514266469,41.125640418329034,55.491465997165385,,,,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,9.0,12.566113289445639,14.404577587172389,15.827460815862286,17.0,19.566113289445713,21.433886710568324,29.00000000161919,32.00000011415429,33.56611818711202,35.00012819492141,36.43594524706293,41.02036938867476,55.125640418329034,79.49146599716539,,,,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,12.566113289445639,14.404577587172389,15.827460815862286,17.0,19.56611328944564,21.433886710554436,29.000000000013962,32.00000000161919,33.566113403586115,35.000004897652566,36.434015016405716,41.00205864743852,55.02036938867476,79.12564041832903,85.49146599716539,,,,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,14.404577587172389,15.827460815862286,17.0,19.56611328944564,21.43388671055436,29.000000000000075,32.00000000001396,33.56611329106475,35.000000114140406,36.433891609798266,41.000128307442694,55.00205864743852,79.02036938867475,85.12564041832903,101.49146599716539,,,,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,15.827460815862286,17.0,19.56611328944564,21.43388671055436,29.0,32.00000000000007,33.5661132894596,35.000000001619114,36.43388682470858,41.000004899257725,55.000128307442694,79.00205864743852,85.02036938867475,101.12564041832903,111.49146599716539,,,,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,17.0,19.56611328944564,21.43388671055436,29.0,32.0,33.56611328944571,35.00000000001396,36.43388671217355,41.00000011415429,55.000004899257725,79.0001283074427,85.00205864743852,101.02036938867475,111.12564041832903,136.4914659971654,,,,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,19.56611328944564,21.43388671055436,29.0,32.0,33.56611328944564,35.00000000000007,36.43388671056832,41.00000000161919,55.00000011415429,79.00000489925772,85.0001283074427,101.00205864743852,111.02036938867475,136.12564041832903,151.4914659971654,,,,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,21.43388671055436,29.0,32.0,33.56611328944564,35.0,36.43388671055443,41.00000000001396,55.00000000161919,79.00000011415429,85.00000489925772,101.0001283074427,111.00205864743852,136.02036938867477,151.12564041832903,165.4914659971654,,,,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,29.0,32.0,33.56611328944564,35.0,36.43388671055436,41.00000000000007,55.00000000001396,79.00000000161918,85.00000011415429,101.00000489925772,111.0001283074427,136.00205864743853,151.02036938867477,165.12564041832903,195.4914659971654,,,,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,32.0,33.56611328944564,35.0,36.43388671055436,41.0,55.00000000000007,79.00000000001396,85.00000000161918,101.00000011415429,111.00000489925772,136.00012830744268,151.00205864743853,165.02036938867477,195.12564041832903,205.4914659971654,,,,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,33.56611328944564,35.0,36.43388671055436,41.0,55.0,79.00000000000007,85.00000000001396,101.00000000161918,111.00000011415429,136.00000489925773,151.00012830744268,165.00205864743853,195.02036938867477,205.12564041832903,236.4914659971654,,,,,,,,,,
24/04/2020,,,,,,,,,,,,,,,,35.0,36.43388671055436,41.0,55.0,79.0,85.00000000000007,101.00000000001396,111.00000000161918,136.0000001141543,151.00000489925773,165.00012830744268,195.00205864743853,205.02036938867477,236.12564041832903,245.4914659971654,,,,,,,,,
25/04/2020,,,,,,,,,,,,,,,,,36.43388671055436,41.0,55.0,79.0,85.0,101.00000000000007,111.00000000001396,136.00000000161918,151.0000001141543,165.00000489925773,195.00012830744268,205.00205864743853,236.02036938867477,245.12564041832903,263.4914659971654,,,,,,,,
26/04/2020,,,,,,,,,,,,,,,,,,41.0,55.0,79.0,85.0,101.0,111.00000000000007,136.00000000001396,151.00000000161918,165.0000001141543,195.00000489925773,205.00012830744268,236.00205864743853,245.02036938867477,263.12564041832906,301.4914659971654,,,,,,,
27/04/2020,,,,,,,,,,,,,,,,,,,55.0,79.0,85.0,101.0,111.0,136.00000000000009,151.00000000001396,165.00000000161918,195.0000001141543,205.00000489925773,236.00012830744268,245.00205864743853,263.02036938867474,301.12564041832906,345.4914659971654,365.80339330974994,386.1464405378917,416.541506026953,447.0024787521389,473.0000001125352,499.0
