data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45,yhat_model_1_to_46
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,30.722804216754717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,32.23861857653478,31.824196612754832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,33.752541164057234,33.768526723776134,30.98359223156598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,35.265904378991436,35.71158056566541,33.13383740803884,38.90665478995655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,36.77926759392564,37.649129970019175,35.28387086090113,41.03614911580536,43.446944427368216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,38.29263080885984,39.58624686248012,37.43353577177312,43.16564344165417,46.04116960932976,42.581875720787096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,39.805994023794035,41.522773236724106,39.58193475468172,45.295137767503,48.63428612498501,45.27447038376004,47.329049741781574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,41.319357238728244,43.4587236785723,41.73012549919893,47.42438899345836,51.22735133227119,47.965947509335045,49.830954082900874,49.12723430682917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,42.83272045366243,45.39467412042049,43.87671269158677,49.55296985668468,53.820416539557364,50.65742463491004,52.332820896532795,51.632955758498355,56.973379477643135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,44.34608366859664,47.33004760386618,46.02329988397461,51.68155071991101,56.41348174684354,53.34776254659976,54.83455483458681,54.13867721016755,59.90866421652501,72.97639318742654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,45.859446883530836,49.26495843974048,48.16988707636244,53.81013158313734,59.00654695412971,56.03808190379422,57.33611731116282,56.64439866183674,62.84394895540689,75.26488720508507,77.92728449477843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,47.372810098465045,51.19982024769277,50.31647426875028,55.938712446363674,61.59961216141589,58.72840126098868,59.83710785021432,59.15012011350593,65.77923369428876,77.55338122274364,80.36228674557567,81.85636979282643,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,48.88617331339924,53.134682055645065,52.46306146113812,58.067293309590006,64.19267736870208,61.41872061818315,62.33736038877042,61.65584156517511,68.71451843317064,79.84187524040219,82.79728899637293,84.69904414094204,91.20228988468239,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,50.39953652833344,55.06954386359735,54.60964865352595,60.19587417281633,66.78574257598825,64.10903997537763,64.83761292732652,64.16156301684431,71.64980317205251,82.13036925806074,85.23229124717017,87.5403150130468,94.23652137923638,101.60291924308304,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,51.91289974326763,57.00440567154965,56.756235845913785,62.32445503604267,69.37880778327444,66.79935933257208,67.33786546588263,66.6672844685135,74.58508791093439,84.4188632757193,87.66729349796742,90.3808701528434,97.27075287379037,104.29922994889769,112.65692543228587,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,58.93926747950194,58.90282303830163,64.453035899269,71.97187299056061,69.48967868976656,69.83811800443873,69.17139614386618,77.52037264981627,86.70735729337784,90.10229574876467,93.22142529264,100.30498436834435,106.99554065471234,115.72892880790394,148.4708419217552,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,61.04941023068946,66.58161676249532,74.56493819784679,72.17999804696102,72.33837054299482,71.67524588028559,80.45565738869814,88.9958513110364,92.53729197138406,96.06198043243661,103.33921586289833,109.691851360527,118.80093218352201,151.4112631413314,198.88743433377107,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,68.71019762572166,77.15800340513297,74.87031740415549,74.837969417846,74.17909561670501,83.39094212758002,91.28434532869495,94.97226159380442,98.90253557223322,106.37344735745233,112.38816206634166,121.87293555914007,154.3513773451839,201.26096049494544,222.4131033810736,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,79.75106861241915,77.56063676134997,77.33738342717588,76.68294535312444,86.3262268664619,93.5728393463535,97.40723121622479,101.74309071202983,109.40767885200631,115.0844727721563,124.94493893475817,157.2914788016472,203.6344866561198,225.93682686768713,248.1270578658289,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,80.25095611854442,79.83679743650573,79.18679508954386,89.26151160534377,95.86133336401207,99.84220083864514,104.58317508075883,112.4419103465603,117.78078347797096,128.01694231037624,160.23158025811054,206.00801281729417,229.46055035430066,251.63279008362952,402.90891311949116,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,82.33621144583562,81.69064482596329,92.19679634422565,98.14815540903712,102.27717046106551,107.42178902043416,115.4761418411143,120.47709418378561,131.0889456859943,163.17168171457388,208.38153897846854,232.98427384091423,255.13852230143016,406.2862244408721,460.78742227988937,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,84.19449456238272,95.13208108310752,100.43484504437072,104.71214008348588,110.25950083186306,118.51037333566828,123.17340488960026,134.16094906161237,166.1117831710372,210.7550651396429,236.5079973275278,258.6442545192308,409.66353576225305,464.2304603956814,641.2965089103299,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,98.0673658219894,102.72153467970432,107.14710970590623,113.09697148268886,121.54460483022226,125.86971559541492,137.23295243723047,169.0518846275005,213.12859130081728,240.03172081414135,262.1499867370314,413.04084708363393,467.67349851147344,645.3053347366405,797.8322846218024,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,105.00822431503795,109.58207932832659,115.93442582406243,124.57883632477625,128.56602630122956,140.30495581284853,171.9919860839638,215.50211746199165,243.55544430075489,265.65571895483197,416.4181584050149,471.1165366272655,649.314160562951,801.456281330483,953.1835394523081,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,112.01704895074695,118.77080139469525,127.61306781933024,131.2623370070442,143.3769591884666,174.93208754042718,217.875643623166,247.07916778736845,269.1614511726326,419.7954697263958,474.5595747430575,653.3229863892616,805.0802780391634,957.1504015210878,1127.515046905006,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,121.60717696532811,130.64729931388425,133.95864771285886,146.44896256408467,177.8721889968905,220.24916978434038,250.60289127398198,272.66718339043325,423.17278104777677,478.00261285884955,657.3318122155721,808.704274747844,961.1172635898677,1131.1368142718736,1359.8620882824405,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,133.68153080843823,136.65495841867352,149.52096593970276,180.81229045335382,222.62257765783892,254.12661476059554,276.1729156082339,426.5500923691577,481.4456509746416,661.3406380418826,812.3282714565246,965.0841256586474,1134.7585805830208,1363.4519406977881,1512.9359370963468,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,139.35126912448817,152.59296931532083,183.75239190981716,224.99596358847668,257.6503382472091,279.6786478260345,429.92740369053865,484.8886890904336,665.3494638681932,815.9522681652052,969.0509877274271,1138.380346894168,1367.041793113136,1516.833092283261,1752.4059391027874,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,155.6649726909389,186.69249336628047,227.36934951911445,261.17406173382267,283.1843800438351,433.30471501191954,488.33172720622565,669.3582896945038,819.5762648738856,973.0178497962069,1142.002113205315,1370.6316455284837,1520.7302474701753,1756.2702190242828,1989.0329794468726,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,189.63259482274378,229.74273544975222,264.6977852204362,286.6901122616357,436.6820263333005,491.77476532201763,673.3671155208143,823.2002615825662,976.9847118649866,1145.6238795164622,1374.2214979438315,1524.6274026570895,1760.134498945778,1993.0754958271025,2379.64405376413,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,232.1158058966441,268.22150870704974,290.19584447943635,440.0593376546814,495.2178034378097,677.3759413471248,826.8242582912467,980.9515739337664,1149.2456458276095,1377.8113503591792,1528.5245578440038,1763.9987788672734,1997.1180122073326,2383.186643788467,2594.6647897277226,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,271.74523219366324,293.701576697237,443.4366489760623,498.6608415536017,681.3847671734354,830.4482549999273,984.9184360025462,1152.8674121387564,1381.4012027745268,1532.421713030918,1767.8630587887685,2001.1605285875628,2386.7292338128036,2599.3163026547268,2915.7387652863476,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,297.20730891503763,446.81396029744326,502.1038796693938,685.393592999746,834.0722517086078,988.8852980713259,1156.4891784499036,1384.9910551898747,1536.318868217832,1771.727338710264,2005.203044967793,2390.27182383714,2603.967815581731,2920.0369003767814,3196.970185262325,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,450.1912716188242,505.5469177851858,689.4024188260565,837.6962484172883,992.8521601401056,1160.1109447610506,1388.5809076052224,1540.2160234047462,1775.591618631759,2009.2455613480229,2393.814413861476,2608.6193285087356,2924.335035467215,3200.6757058710623,3456.226049019314,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,508.98995590097786,693.411244652367,841.3202451259689,996.8190222088854,1163.7327110721978,1392.1707600205702,1544.1131785916605,1779.4558522982986,2013.288077728253,2397.357003885813,2613.27084143574,2928.6331705576495,3204.3812264798003,3460.120139682406,3920.8696150791375,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,,697.4200704786776,844.9442418346493,1000.7858842776652,1167.354477383345,1395.760612435918,1548.0103337785747,1783.3200513205975,2017.3305941084832,2400.899593910149,2617.922354362744,2932.9313056480833,3208.0867470885382,3464.0142303454977,3925.07506285506,4186.025251583165,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,,,,848.5682385433299,1004.7525919213464,1170.976243694492,1399.3504648512658,1551.907488965489,1787.1842503428963,2021.3731104887133,2404.442183934486,2622.5738672897487,2937.229440738517,3211.7922676972757,3467.9083210085896,3929.2805106309825,4190.1352087276455,4756.818254971968,,,
