data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_43,yhat_model_39_to_43,yhat_model_40_to_43,yhat_model_41_to_43,yhat_model_42_to_43
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,30.437390451388886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,33.44296765088493,28.285482568153483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,37.01981323892408,33.94541173492476,34.42187935083004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,41.27650788074539,40.81089901995168,41.888336296450625,39.07193616398341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,46.34227010830732,49.13872685525203,50.97434395726078,47.394339034684656,205533.3869849638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,52.370878948149596,59.24037202261783,62.031199412742026,57.489430856646585,1392477.296899101,39.829612042900806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,59.54534212095356,71.4936554844612,75.48639966430164,69.73479802730071,9433956.452638412,41.53373658336009,127.38330408283707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,68.0834515231995,86.35687361464592,91.86017017604523,84.58845362436212,63914531.71155497,43.31077271648734,203.79485258169836,49.02014824312726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,78.24439463613622,104.3859393645227,111.78557862473538,102.60596845436687,433017407.3217061,45.1638399914817,326.0422724769941,52.57442991225761,46.98852178968818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,90.33662256158043,126.25517447675342,136.0330115274001,124.46125104982876,2933668917.26305,47.0961914285974,521.620453585043,56.38642027130989,47.92734763753083,73.31463886081715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,104.7272135309094,152.7825304157207,165.53996009928133,150.97175384858642,19875444198.300568,49.111219229751846,834.5172407589106,60.474804887451775,48.88493112955992,87.60306006605761,73.69370147147269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,121.85301613100594,184.96018132583893,201.4472669683709,183.12904834126306,134655032050.55048,51.21246073346398,1335.1068201744204,64.85962415379987,49.861647041583154,104.67617725712904,82.61348442367634,68.47986538759264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,142.2339105169681,223.99163325326182,245.14323517226882,222.13591278810375,912280373491.4832,53.40360462457698,2135.9777056915395,69.56237152317068,50.85787763739046,125.07670481948497,92.61290547690854,70.05091029136996,85.6505069324723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,166.48859017615098,271.33673758726616,298.31730484664143,269.4513196958806,6180648930708.549,55.6884974096662,3417.25522652581,74.60609886442172,51.874012818363084,149.4531277166517,103.82264252270969,71.65799764464269,93.82399111269241,88.1086214000322,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,328.76629231061685,363.02537293523955,326.845005720029,41873553695414.836,58.071150169499695,5467.113843043246,80.01552945781691,52.91045027607192,178.5803153075245,116.38919052254506,73.30195432267233,102.77745717552972,93.23213181749773,115.16943633848385,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,441.76928141167963,396.46366506832516,283691003766780.94,60.555745600405466,8746.590989395427,85.81717918329588,53.96759564792464,213.38415262741717,130.4767759839113,74.98362617064907,112.58533748346234,98.65357402166886,132.41412110617532,135.78244338228723,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,480.9112422358698,1921990815578099.8,63.146645356905935,13993.279842365291,92.03948649568609,55.04586267592278,254.97097210356606,146.26950316196346,76.70387843889442,123.32916735444404,104.39027272593486,152.24090718643248,160.49109203825927,133.16229041170772,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,1.3021381172183392e+16,65.84839770850995,22387.222745885076,98.71295182396877,56.145673368590586,304.662721270354,163.97376003439692,78.46359622804786,135.09826288502865,110.46056007460517,175.03642079354512,189.69603125431058,143.78958838221712,167.20014879187622,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,68.66574552410323,35816.316683420104,105.87028707790425,57.267458166139406,364.03898438350586,183.8209154921769,80.26368494446713,147.99046345701802,116.88383422494967,201.2451789103986,224.2154615351365,155.26502032372392,181.36513460398854,212.93812475240523,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,57300.92362630492,113.54657599486644,58.411656108931865,434.9871937018966,206.07034299447582,82.10507076607597,162.11294510027366,123.68062133578086,231.3782574567582,265.01647324407,167.6562733599689,196.7301601559404,239.29788345563907,237.9402026345811,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,121.77944611287249,59.578715009312,519.7626265359519,231.01281020259168,83.98870111889921,177.58311147337687,130.87264116066774,266.02325736986694,313.2421404387345,181.03643652863212,213.39689130157007,268.9207350394955,263.62562241856153,2609342451898.3223,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,60.769091626868594,621.0600952282091,258.97427889043337,85.91554516453061,194.52956986907867,138.48287645539074,305.855762937882,370.24354503531,195.48443189248954,231.47560689768008,302.21062004331895,292.08375896992436,2969578499117.78,3.934706687616478e+20,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,742.0996089225209,290.32016479087685,87.88659429878376,213.09320035831206,146.5356464214355,351.6525158258972,437.617628484838,211.08548005630652,251.08592848679,339.6214830870285,323.61392444073033,3379547385973.48,4.971674268037063e+20,3.274555717137609e+21,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,325.460113047989,89.90286266178299,233.42832696082382,155.0566844202209,404.3065616906411,517.2519314075539,227.93160283529076,272.3576117976916,381.66346291106356,358.547741446707,3846115042061.795,6.281928232478996e+20,4.169444315799715e+21,298275991725055.6,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,91.96538765975673,255.70400057865498,164.07322020640424,464.84466474580535,611.3774746030701,246.12216604006323,295.43140530093365,428.9098486856834,397.25263095123614,4377095281507.0493,7.937491515025877e+20,5.308892993199907e+21,346911933063284.5,17584748420050.494,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,280.1054043578107,173.61406694304745,534.4473298654406,722.63126294161,265.76446557973065,320.45998150004436,482.0048974466378,440.1356766631178,4981380664349.73,1.0029368248010856e+21,6.759736472902435e+21,403478297417375.9,20092880438370.426,7.041859636449919e+33,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,183.70971327670958,614.47182266036,854.1301632344502,286.974360340152,347.60894712057285,541.6726192566413,487.6479065924178,5669091424167.894,1.2672546139267326e+21,8.607074439363605e+21,469268194522230.6,22958750086541.73,1.048084177391694e+34,1276.1786121089356,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,706.4786364235523,1009.5582258331615,309.87695557039285,377.0579388810721,608.7266498881025,540.2890367962176,6451744956088.259,1.601231719492502e+21,1.0959263086914059e+22,545785584502842.25,26233381876383.137,1.5599294783055508e+34,1470.8871531849845,2034.7074114620482,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,1193.2698963444034,334.60734080827945,409.00181209641823,684.0813456521219,598.6127272072317,7342448703677.413,2.0232264229555612e+21,1.3954270786703862e+22,634779658473098.5,29975078001984.09,2.3217409725070353e+34,1695.3026769735188,2708.5744761824885,1900.7653151964487,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,361.31138669766085,443.6519299781044,768.7642516640935,663.2324048241509,8356119675074.864,2.5564352171607877e+21,1.7767770665270813e+22,738284825126459.9,34250456363535.754,3.455592844667082e+34,1953.9576236900666,3605.6170296031187,2301.5329647991193,2053.478280797012,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,481.2375621624307,863.9301135645877,734.8277155098757,9509734264701.371,3.2301678869896154e+21,2.2623444767494577e+22,858667217413846.8,39135636645643.36,5.143175767458765e+34,2252.0759549512404,4799.747719134942,2786.8006353585856,2419.522181740896,2339.441082297313,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,970.8766237609151,814.151672255264,10822612564416.76,4.08145862961749e+21,2.880610419788288e+22,998678782453568.1,44717595567293.44,7.654911375279087e+34,2595.6786602625057,6389.358042797156,3374.3847687677435,2850.815439676378,2725.9837809106557,2730.448712402378,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,902.0385750911904,12316741925611.492,5.157101775537721e+21,3.6678394806238018e+22,1161520191171162.0,51095715432615.23,1.1393285163250444e+35,2991.7053607936728,8505.425407320028,4085.85832198456,3358.9891146398036,3176.3944089118845,3226.6824740282073,2710.9693099519377,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,14017145191068.863,6.516224011254241e+21,4.670206829499498e+22,1350914005786458.8,58383553553141.375,1.6957341561176485e+35,3448.154466430155,11322.305132209314,4947.342811005778,3957.74756767471,3701.22577823854,3813.102125269469,3018.587272900853,3189.421685761269,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,,8.233534495335603e+21,5.946506641177849e+22,1571189777760039.2,66710864044712.78,2.523867600101097e+35,3974.2447168019175,15072.09661688705,5990.467353680072,4663.238038243767,4312.774327729119,4506.098116181553,3361.111131236137,3649.9036180369826,3379.046546092647,,,,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,,,,7.571600685908352e+22,1827383021542129.5,76225907995500.88,3.756430593710428e+35,4580.601368876607,20063.767384482322,7253.529922300105,5494.486100865661,5025.368220247116,5325.03970929444,3742.501711955811,4176.868954153278,3804.0845797970815,4072.693911607218,,,,,,
