data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_43,yhat_model_39_to_43,yhat_model_40_to_43,yhat_model_41_to_43,yhat_model_42_to_43,yhat_model_43_to_43
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,32.4,31.14285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,34.9,35.42857142857142,40.499999999999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,37.39999999999999,39.714285714285715,45.85714285714285,44.85714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,39.89999999999999,44.0,51.214285714285694,50.28571428571429,48.96428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,42.39999999999999,48.285714285714285,56.571428571428555,55.71428571428571,54.21428571428571,50.21428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,44.89999999999999,52.57142857142856,61.9285714285714,61.14285714285714,59.46428571428571,54.571428571428555,52.32142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,47.39999999999999,56.857142857142854,67.28571428571426,66.57142857142857,64.71428571428571,58.928571428571416,56.357142857142854,52.49999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,49.89999999999999,61.142857142857146,72.64285714285712,72.0,69.96428571428571,63.28571428571428,60.39285714285713,55.71428571428571,55.535714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,52.39999999999999,65.42857142857143,77.99999999999997,77.42857142857143,75.21428571428571,67.64285714285712,64.42857142857142,58.928571428571416,58.785714285714285,61.57142857142856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,54.89999999999999,69.71428571428572,83.35714285714283,82.85714285714285,80.46428571428571,71.99999999999999,68.46428571428572,62.14285714285713,62.035714285714285,65.28571428571428,71.10714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,57.39999999999999,74.0,88.71428571428568,88.28571428571428,85.71428571428571,76.35714285714283,72.5,65.35714285714285,65.28571428571428,69.0,75.64285714285714,81.24999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,59.89999999999999,78.28571428571429,94.07142857142854,93.71428571428571,90.96428571428571,80.7142857142857,76.53571428571428,68.57142857142856,68.53571428571428,72.7142857142857,80.17857142857142,86.78571428571426,91.21428571428572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,62.39999999999999,82.57142857142857,99.42857142857139,99.14285714285714,96.21428571428571,85.07142857142856,80.57142857142856,71.78571428571428,71.78571428571428,76.42857142857142,84.71428571428571,92.32142857142856,97.71428571428572,100.85714285714283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,64.89999999999999,86.85714285714286,104.78571428571425,104.57142857142857,101.46428571428571,89.4285714285714,84.60714285714286,74.99999999999999,75.03571428571428,80.14285714285714,89.25,97.85714285714285,104.21428571428572,107.99999999999997,110.17857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,91.14285714285715,110.14285714285711,110.0,106.7142857142857,93.78571428571426,88.64285714285714,78.2142857142857,78.28571428571428,83.85714285714283,93.78571428571428,103.39285714285712,110.7142857142857,115.14285714285714,117.78571428571428,119.35714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,115.49999999999997,115.42857142857142,111.9642857142857,98.14285714285712,92.67857142857142,81.42857142857142,81.53571428571428,87.57142857142856,98.32142857142856,108.9285714285714,117.2142857142857,122.28571428571428,125.39285714285711,127.14285714285712,143.1071428571428,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,120.85714285714286,117.2142857142857,102.49999999999997,96.7142857142857,84.64285714285712,84.78571428571428,91.28571428571428,102.85714285714285,114.46428571428568,123.7142857142857,129.42857142857142,132.99999999999997,134.9285714285714,153.3571428571428,186.5714285714285,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,122.4642857142857,106.85714285714283,100.75,87.85714285714283,88.03571428571428,94.99999999999997,107.39285714285714,119.99999999999999,130.2142857142857,136.57142857142856,140.60714285714283,142.71428571428572,163.6071428571428,202.42857142857133,230.57142857142856,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,111.2142857142857,104.78571428571428,91.07142857142856,91.28571428571428,98.7142857142857,111.92857142857142,125.53571428571426,136.7142857142857,143.7142857142857,148.2142857142857,150.5,173.8571428571428,218.28571428571422,251.57142857142856,269.50000000000006,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,108.82142857142856,94.28571428571426,94.53571428571428,102.42857142857142,116.4642857142857,131.07142857142856,143.2142857142857,150.85714285714283,155.82142857142856,158.28571428571428,184.1071428571428,234.14285714285705,272.57142857142856,294.14285714285717,375.21428571428567,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,97.49999999999997,97.78571428571428,106.14285714285711,121.0,136.60714285714283,149.7142857142857,157.99999999999997,163.4285714285714,166.07142857142856,194.3571428571428,249.9999999999999,293.57142857142856,318.7857142857143,413.42857142857144,471.42857142857133,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,101.03571428571428,109.85714285714283,125.53571428571428,142.1428571428571,156.2142857142857,165.1428571428571,171.03571428571425,173.85714285714283,204.6071428571428,265.8571428571428,314.57142857142856,343.4285714285715,451.642857142857,520.1428571428571,623.7857142857142,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,113.57142857142856,130.07142857142856,147.6785714285714,162.7142857142857,172.28571428571425,178.6428571428571,181.6428571428571,214.8571428571428,281.7142857142856,335.57142857142856,368.0714285714286,489.8571428571428,568.8571428571429,690.1428571428569,800.6428571428569,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,134.60714285714283,153.21428571428567,169.2142857142857,179.4285714285714,186.24999999999997,189.4285714285714,225.1071428571428,297.5714285714285,356.57142857142856,392.7142857142857,528.0714285714286,617.5714285714287,756.4999999999995,886.7142857142853,992.0714285714284,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,158.74999999999994,175.7142857142857,186.57142857142853,193.85714285714283,197.21428571428567,235.3571428571428,313.4285714285713,377.57142857142856,417.35714285714295,566.2857142857141,666.2857142857144,822.8571428571427,972.7857142857138,1098.1428571428569,1181.2142857142853,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,182.2142857142857,193.71428571428567,201.46428571428567,204.99999999999994,245.6071428571428,329.28571428571416,398.57142857142856,442.00000000000006,604.4999999999999,715.0,889.2142857142853,1058.8571428571427,1204.2142857142858,1303.4285714285706,1379.0357142857147,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,200.8571428571428,209.07142857142856,212.78571428571422,255.8571428571428,345.14285714285705,419.57142857142856,466.64285714285717,642.7142857142857,763.7142857142858,955.5714285714284,1144.928571428571,1310.2857142857142,1425.6428571428569,1514.2142857142853,1572.5357142857142,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,216.6785714285714,220.57142857142856,266.1071428571428,360.99999999999983,440.57142857142856,491.2857142857143,680.9285714285712,812.4285714285716,1021.9285714285711,1230.9999999999995,1416.3571428571427,1547.8571428571422,1649.3928571428569,1719.7857142857142,1763.3214285714284,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,228.35714285714283,276.3571428571428,376.8571428571427,461.57142857142856,515.9285714285716,719.142857142857,861.1428571428571,1088.2857142857138,1317.0714285714284,1522.4285714285716,1670.0714285714275,1784.5714285714284,1867.0357142857142,1917.7857142857138,1983.75,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,286.6071428571428,392.7142857142856,482.57142857142856,540.5714285714287,757.3571428571428,909.8571428571429,1154.6428571428569,1403.1428571428569,1628.5,1792.2857142857138,1919.75,2014.2857142857142,2072.25,2150.0714285714284,2295.642857142857,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,408.5714285714284,503.57142857142856,565.2142857142858,795.5714285714286,958.5714285714287,1220.9999999999995,1489.2142857142853,1734.5714285714284,1914.499999999999,2054.9285714285716,2161.535714285714,2226.7142857142853,2316.392857142857,2486.5714285714284,2573.7857142857156,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,524.5714285714286,589.8571428571429,833.7857142857141,1007.2857142857144,1287.3571428571422,1575.2857142857138,1840.6428571428569,2036.7142857142853,2190.107142857143,2308.7857142857133,2381.1785714285716,2482.7142857142853,2677.5,2781.0,2868.8214285714275,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,614.5,871.9999999999999,1056.0000000000002,1353.7142857142853,1661.3571428571422,1946.7142857142853,2158.9285714285706,2325.2857142857138,2456.0357142857133,2535.642857142857,2649.0357142857138,2868.4285714285706,2988.2142857142862,3092.2142857142862,3163.7857142857138,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,910.2142857142857,1104.714285714286,1420.071428571428,1747.428571428571,2052.7857142857138,2281.142857142856,2460.4642857142853,2603.2857142857133,2690.107142857142,2815.357142857142,3059.357142857142,3195.4285714285725,3315.607142857143,3402.2857142857138,3406.6785714285706,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,,1153.4285714285713,1486.4285714285706,1833.4999999999995,2158.857142857143,2403.357142857142,2595.642857142857,2750.5357142857133,2844.5714285714284,2981.6785714285716,3250.2857142857147,3402.642857142857,3539.0,3640.7857142857138,3647.3571428571413,3738.500000000001,,,,,,,
